	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	34126772.32	31656859.2	28874566.3	20968517.22	27136468.55	26641081.73	22676579.28	20695203.8	21569657.55	24021076.14	25436975.9	34867790.35	24917401.33	26405072.77	25897101.43	23016339.97	24561714.09	29565889.09	30174092.49	28095027.09	25258248.32	25258248.32	26445382.8
-4	35485148.36	32498777.67	28365587.11	22160334.28	25619344.09	23749370.65	22882018.77	22335736.85	22649849.5	22786572.05	21673892.64	39324794.54	27030212.21	24388822.32	23184694.38	20646232.24	24332502.16	24715843.21	34290605.0	38826352.84	29462177.95	29462177.95	30659308.46
-3	27529106.38	29774853.26	23995556.28	18690641.37	26663094.4	26350499.96	17538746.68	14777697.04	17904405.58	17704908.46	17387272.62	30266473.75	17471233.01	22827740.74	17142979.54	18437023.52	25031860.39	28297837.41	31883368.02	41542145.91	28165658.78	28165658.78	26009909.56
-2	38932565.92	29849229.13	28266675.7	18549033.1	29139840.24	26376576.65	22898668.78	20322017.9	23216622.5	18451654.85	15037784.93	35890438.77	14007286.1	24192154.74	18297373.96	20576154.08	25228180.23	28382051.32	27001082.15	28618161.06	24285175.32	24285175.32	24639038.62
-1	20817663.6	12973153.55	17479253.68	12849486.48	13589039.17	21399940.32	22121577.09	32067100.16	24335834.2	18001190.07	20485759.19	56105819.82	13405787.67	35050628.1	10587398.94	9382681.57	18171835.65	22759940.5	22395115.85	21036131.55	20132697.32	20132697.32	37067005.63
1	10580825.13	8315930.99	16694344.95	12491774.57	13499780.29	17578274.72	29283705.83	31256672.51	24304574.38	22548681.7	35433010.81	51022623.02	22535534.16	32592678.3	12633293.9	13951759.32	18234966.84	9593299.79	6204918.16	11953784.24	13838176.19	13838176.19	30098025.42
2	16972212.07	10180777.61	17656838.13	14859841.58	17905052.16	22342221.97	22339881.44	20942953.48	24153593.35	21066895.62	21770645.51	27507224.18	29856288.96	19912856.83	19062572.69	26179441.34	19828248.42	19344978.43	12754890.52	18532008.24	23386430.39	23386430.39	25116357.71
3	19490231.37	10888869.66	11001144.43	10415812.71	10390228.9	14717641.69	25337797.34	36857305.9	33206176.08	28697002.43	33853857.67	17851715.73	15651035.59	14840715.02	10859873.33	15976996.75	8922012.15	8997901.51	5499470.71	4235262.88	3981316.23	3981316.23	5860965.98
4	18072026.35	22479154.46	18782378.52	13310460.25	19956285.28	20366614.01	16689055.39	17473950.18	17125463.73	20791040.43	24832201.03	20780820.11	19845209.49	22517119.69	19805704.43	26634905.54	18923844.73	19108496.26	14067937.45	15369905.0	8461368.63	8461368.63	13682397.82
5	28545662.53	30594991.97	18640139.03	16561014.33	26417846.37	22910511.59	16150547.45	16684306.61	14701954.31	19788183.79	20858686.01	24246241.23	19823318.04	22385340.77	22427415.29	25713690.68	19889784.2	23047136.15	18016369.4	17768560.93	12112582.53	12112582.53	16514903.44
