	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	34790065.13	50893747.84	36041760.02	36989266.37	27206937.48	29701040.88	26877120.63	21966847.38	17753152.41	30411967.8	27711838.7	58837244.43	20063187.69	37044333.47	27204436.71	26139745.7	28442933.35	40620886.51	50303253.38	44899839.48	93763091.85	93763091.85	69839728.67
-4	51478959.06	41739631.79	45572166.7	37825651.61	25680367.1	19341373.31	19787729.46	16432906.87	16712316.52	18105309.09	14461086.84	48250359.98	18295949.28	24991676.09	17829595.21	20038220.55	30115776.03	24071576.25	48959777.24	73377378.88	75439674.32	75439674.32	88803386.67
-3	27027397.88	28044447.52	24694328.43	34481789.89	34659733.55	24656216.57	17009918.51	15005688.07	14268822.94	13797468.48	15758081.58	56865478.51	18197645.35	21638893.72	16283100.41	18191465.22	25741019.66	38997222.94	52118837.4	53473523.81	114768762.46	114768762.46	109997747.51
-2	19656194.28	36227052.4	20900291.62	30628984.49	32397859.71	29378014.36	16135929.72	9616165.56	10816833.14	14739908.48	11458833.09	47403468.26	10800630.6	23306731.7	14643703.79	13407105.55	33920457.98	35431173.6	35102054.36	51043435.16	98305567.43	98305567.43	84298011.41
-1	10201473.74	12805905.03	17140533.2	24634000.79	15444852.89	17934511.61	13743360.31	16425284.25	13680265.24	11523548.37	9936240.35	58068718.61	9847734.79	16240873.33	8526765.3	6874229.81	16448315.83	20552362.03	58273975.99	33564326.78	113109570.2	113109570.2	280509656.43
1	5150115.57	7904296.55	17475015.64	25535415.68	16107605.3	21439703.73	25701932.19	12625779.39	12506666.56	15931158.73	24568139.2	50066827.99	33734089.25	21790510.69	9079338.11	7361703.1	23028277.46	10432974.78	9634651.04	21158072.52	28808972.78	28808972.78	243535415.16
2	19240725.01	10605012.03	15993538.25	16594591.09	16792563.26	21072960.8	19277029.16	14103250.35	18494591.92	16116868.44	23370359.48	36431785.88	52607756.05	15065190.41	15807750.86	15008176.74	22195724.13	19736225.95	14062208.3	21100501.01	42648207.93	42648207.93	50973073.4
3	50280490.68	16194823.09	18523719.84	24815538.0	20950947.73	15050336.77	29796006.69	21443062.96	18395099.07	38166550.13	17784918.54	30661080.28	30396900.85	18213790.5	7484113.68	8317140.76	12044214.04	9595410.26	8345465.51	5280276.61	6996614.41	6996614.41	9647949.46
4	28270683.89	18119187.37	14104967.1	19268395.82	16759293.88	15234200.11	14469410.83	8742150.95	12193221.43	15915298.46	11280299.9	10736057.63	15475267.84	19273055.44	16133586.74	16016448.4	20460518.69	11665059.2	17140116.43	16040747.79	12641195.81	12641195.81	9148528.89
5	29627838.63	21104038.28	17219477.25	13780241.68	14907697.28	16167215.98	8005754.61	5490106.94	7130396.43	10772302.73	8016008.44	13795861.38	8041973.26	11312099.69	11130069.73	6765750.09	12140300.06	12544036.18	16553272.02	16570389.04	20127135.45	20127135.45	14125398.31
