	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	8783675.1	9440893.72	8181196.36	6674399.05	8507807.71	6974725.46	8204452.51	7310230.68	8521690.66	9374191.51	8697641.67	11576935.7	7924987.58	10473713.17	9822976.32	10599655.82	11139452.47	11165255.67	11640977.5	9801265.96	9247712.28	9247712.28	8274065.39
-4	8109743.36	8479205.87	8981568.45	7793851.45	6319755.14	5130803.18	6436061.92	7026666.08	7830900.23	7744796.91	7981995.69	14674077.37	8047832.5	7928973.9	7579244.28	7308985.73	10500553.52	8257649.35	11534821.9	12405579.28	8430707.85	8430707.85	8327101.05
-3	8454531.59	8059612.82	8099566.54	7591617.45	9713472.06	6855148.44	6811287.15	6554003.01	7156718.87	8193787.29	11569680.8	15836855.84	9242816.99	8300926.54	6000152.56	6798163.49	8500041.08	10989302.91	12459971.54	14494660.61	8171010.65	8171010.65	9472433.72
-2	9467371.47	9337777.34	8856418.66	8817777.68	7901485.52	7179500.78	6563462.82	6171744.84	7553009.73	6759711.9	4907797.38	12781986.54	4944729.46	8762093.07	7679468.47	7398529.62	10207092.32	9996961.37	12072034.11	15269997.63	10540806.45	10540806.45	8010619.65
-1	1809686.36	1251546.95	1905971.24	3637342.34	1946959.69	3812923.45	8097121.6	24198587.63	13713984.54	6000420.77	6330189.32	8317039.48	2837110.0	2644074.06	1328753.14	1306292.15	2099611.34	2061812.6	2204643.11	2159303.01	3742226.51	3742226.51	9814897.21
1	825489.22	3250658.44	9803619.43	6152543.74	6997987.31	6034497.75	9027609.58	6955594.06	5382259.0	9081464.66	3895098.84	6696874.32	7910994.64	3348680.56	1696424.03	2377158.63	7634720.79	2678926.79	4378983.43	12279150.56	10979533.32	10979533.32	6208578.69
2	4761590.64	3659798.79	6778733.53	7705289.05	9313011.39	8049885.99	7346019.92	5509563.53	6521453.84	6110167.52	7591775.48	15389769.43	9290505.41	7391710.01	6620779.58	11765936.1	7615027.34	8529008.76	5056121.4	5954178.32	11770961.52	11770961.52	9262416.6
3	4745072.39	3734596.85	3698887.66	6134685.1	4409199.24	4616470.46	8320703.33	11486732.36	9209058.03	8246929.32	10853901.55	11498261.68	14309570.35	7886499.76	5129616.97	8662008.86	4232448.46	4554007.89	2323218.6	1977553.28	1962379.65	1962379.65	2633654.13
4	7398441.74	6159054.97	5205001.68	6800200.25	6536061.6	6128163.34	5890603.83	5920731.51	6672029.81	7352642.67	8417531.26	9647807.64	11336172.46	11626919.47	9203087.6	12087243.63	7872151.81	6725196.73	5443261.51	5060235.35	3940142.09	3940142.09	5124408.24
5	12970478.23	11113211.5	10213016.68	8713238.85	12024125.79	11152452.9	7920458.84	7687917.13	10109171.01	11533813.09	13354773.53	17603333.34	16540213.57	14913918.05	14857693.82	16420014.92	12471572.63	12127920.24	10501528.3	11270161.33	6792287.33	6792287.33	9402855.89
