adapter_type,spark_type,spark_version,is_complex,cast_expression,notes
VARCHAR2,StringType,all,false,,Variable-length string (max 4000/32767)
NVARCHAR2,StringType,all,false,,Unicode VARCHAR2
CHAR,StringType,all,false,,Fixed-length string
NCHAR,StringType,all,false,,Unicode fixed-length
CLOB,StringType,all,false,,Character large object
NCLOB,StringType,all,false,,Unicode CLOB
LONG,StringType,all,false,,Legacy long text (deprecated)
NUMBER,DecimalType,all,false,,Numeric with precision and scale
FLOAT,DoubleType,all,false,,Floating point (binary precision)
BINARY_FLOAT,FloatType,all,false,,32-bit IEEE floating point
BINARY_DOUBLE,DoubleType,all,false,,64-bit IEEE floating point
INTEGER,LongType,all,false,,Alias for NUMBER(38)
INT,LongType,all,false,,Alias for NUMBER(38)
SMALLINT,LongType,all,false,,Alias for NUMBER(38)
DATE,TimestampType,all,false,,Date and time (second precision)
TIMESTAMP,TimestampType,all,false,,Timestamp (fractional seconds)
TIMESTAMP WITH TIME ZONE,TimestampType,all,false,,Timestamp with timezone
TIMESTAMP WITH LOCAL TIME ZONE,TimestampType,all,false,,Timestamp with session timezone
INTERVAL YEAR TO MONTH,StringType,all,false,,Year-month interval
INTERVAL DAY TO SECOND,StringType,all,false,,Day-second interval
RAW,BinaryType,all,false,,Raw binary data
LONG RAW,BinaryType,all,false,,Legacy raw (deprecated)
BLOB,BinaryType,all,false,,Binary large object
BFILE,StringType,all,false,,External file pointer
ROWID,StringType,all,false,,Physical row address
UROWID,StringType,all,false,,Universal ROWID
XMLTYPE,StringType,all,true,XMLSERIALIZE(CONTENT {} AS CLOB),XML document
JSON,StringType,all,true,,JSON document (21c+)
SDO_GEOMETRY,StringType,all,false,,Spatial geometry
