adapter_type,spark_type,spark_version,is_complex,cast_expression,notes
VARCHAR,StringType,all,false,,Variable-length string
CHAR,StringType,all,false,,Fixed-length string
TEXT,StringType,all,false,,Variable unlimited length text
TINYTEXT,StringType,all,false,,Tiny text (255 chars)
MEDIUMTEXT,StringType,all,false,,Medium text (16MB)
LONGTEXT,StringType,all,false,,Long text (4GB)
TINYINT,ByteType,all,false,,8-bit signed integer
SMALLINT,ShortType,all,false,,16-bit signed integer
MEDIUMINT,IntegerType,all,false,,24-bit signed integer
INT,IntegerType,all,false,,32-bit signed integer
INTEGER,IntegerType,all,false,,Alias for INT
BIGINT,LongType,all,false,,64-bit signed integer
FLOAT,FloatType,all,false,,32-bit floating point
DOUBLE,DoubleType,all,false,,64-bit floating point
DOUBLE PRECISION,DoubleType,all,false,,Alias for DOUBLE
REAL,DoubleType,all,false,,Alias for DOUBLE
DECIMAL,DecimalType,all,false,,Exact numeric with precision
NUMERIC,DecimalType,all,false,,Alias for DECIMAL
BIT,BooleanType,all,false,,Bit value (1 bit = boolean)
BOOLEAN,BooleanType,all,false,,Alias for TINYINT(1)
BOOL,BooleanType,all,false,,Alias for BOOLEAN
DATE,DateType,all,false,,Calendar date
TIME,StringType,all,false,,Time of day
DATETIME,TimestampType,all,false,,Date and time
TIMESTAMP,TimestampType,all,false,,Timestamp with auto-update
YEAR,IntegerType,all,false,,Year in 4-digit format
BINARY,BinaryType,all,false,,Fixed-length binary
VARBINARY,BinaryType,all,false,,Variable-length binary
TINYBLOB,BinaryType,all,false,,Tiny binary (255 bytes)
BLOB,BinaryType,all,false,,Binary large object (64KB)
MEDIUMBLOB,BinaryType,all,false,,Medium blob (16MB)
LONGBLOB,BinaryType,all,false,,Long blob (4GB)
ENUM,StringType,all,false,,Enumeration type
SET,StringType,all,false,,Set of values
JSON,StringType,all,true,CAST({} AS STRING),JSON document
GEOMETRY,StringType,all,false,,Spatial geometry
POINT,StringType,all,false,,Spatial point
LINESTRING,StringType,all,false,,Spatial line
POLYGON,StringType,all,false,,Spatial polygon
