fn,status,median_s,mean_s,cv
mean_np,subproc_failed,,,
std_np,subproc_failed,,,
var_np,subproc_failed,,,
zscore_np,subproc_failed,,,
percentile_np,subproc_failed,,,
iqr_np,subproc_failed,,,
iqr_width_np,subproc_failed,,,
mad_np,subproc_failed,,,
skew_np,subproc_failed,,,
kurtosis_np,subproc_failed,,,
trimmed_mean_np,subproc_failed,,,
mean_nan_np,subproc_failed,,,
std_nan_np,subproc_failed,,,
var_nan_np,subproc_failed,,,
mean_axis_np,subproc_failed,,,
mean_over_last_axis_dyn_np,subproc_failed,,,
rolling_mean_np,subproc_failed,,,
rolling_std_np,subproc_failed,,,
rolling_var_np,subproc_failed,,,
rolling_mean_std_np,subproc_failed,,,
rolling_zscore_np,subproc_failed,,,
ewma_np,subproc_failed,,,
rolling_mean_axis0_np,subproc_failed,,,
rolling_std_axis0_np,subproc_failed,,,
rolling_mean_std_axis0_np,subproc_failed,,,
rolling_mean_nan_np,subproc_failed,,,
rolling_std_nan_np,subproc_failed,,,
rolling_zscore_nan_np,subproc_failed,,,
welford_np,subproc_failed,,,
sign_mask_np,subproc_failed,,,
demean_with_signs_np,subproc_failed,,,
iqr_outliers_np,subproc_failed,,,
zscore_outliers_np,subproc_failed,,,
minmax_scale_np,subproc_failed,,,
robust_scale_np,subproc_failed,,,
winsorize_np,subproc_failed,,,
quantile_bins_np,subproc_failed,,,
cumsum_np,subproc_failed,,,
cummean_np,subproc_failed,,,
ecdf_np,subproc_failed,,,
cov_np,subproc_failed,,,
corr_np,subproc_failed,,,
cov_matrix_np,subproc_failed,,,
corr_matrix_np,subproc_failed,,,
rolling_cov_np,subproc_failed,,,
rolling_corr_np,subproc_failed,,,
cov_nan_np,subproc_failed,,,
corr_nan_np,subproc_failed,,,
rolling_cov_nan_np,subproc_failed,,,
rolling_corr_nan_np,subproc_failed,,,
kde_gaussian_np,subproc_failed,,,
t_test_1samp_np,subproc_failed,,,
t_test_2samp_np,subproc_failed,,,
chi2_gof_np,subproc_failed,,,
chi2_independence_np,subproc_failed,,,
cohens_d_2samp_np,subproc_failed,,,
hedges_g_2samp_np,subproc_failed,,,
mean_diff_ci_np,subproc_failed,,,
mann_whitney_u_np,subproc_failed,,,
ks_1samp_np,subproc_failed,,,
pad_nan_np,subproc_failed,,,
