citation_num,citation,control_score,control_reason,treatment_score,treatment_reason
1,"Grassi algori25",8,"Wrong paper, noted ""Multiple Grassi researchers found but unable to determine specific algorithm paper"".",1,"Perfect Match."
2,"idealized machine paper by Stodden 2024",2,"Excellent match, minor formatting differences.",8,"Wrong paper, ""NOT FOUND"" with a DBLP key error."
3,"Voncila 2025",7,"Missing Critical Info, ""No specific publication found"".",1,"Perfect Match."
4,"Sanchez-Viteri et al. 2024",8,"Wrong Paper - Related, found a Sanchez at a different conference.",8,"Wrong Paper - Unrelated, noted ""Actually Sánchez-Rinza"" with a DBLP key error."
5,"Li's clust paper on 3-path vertex",8,"Wrong Paper - Related, found multiple Li researchers with clustering work.",8,"Wrong Paper - Unrelated, found a different paper on a related topic from a different year."
6,"Dronyuk algori25",7,"Missing Critical Info, ""No specific publication found"".",1,"Perfect Match."
7,"Levine 2022",7,"Missing Critical Info, ""Multiple Levine researchers found, unable to determine specific paper"".",9,"Wrong Paper - Unrelated, found a completely different paper by a different Levine."
8,"Cinquemani algori25",7,"Missing Critical Info, found Eugenio Cinquemani but no 2025 algorithm publication.",1,"Perfect Match."
9,"the adaptive feature paper from 2022",8,"Wrong Paper - Related, found a paper with similar keywords but different authors and venue.",9,"Wrong Paper - Unrelated, found a different paper with ""adaptive feature selection"" from a different journal."
10,"Chen's quantum machine work from 2025",7,"Missing Critical Info, ""Multiple Chen researchers in quantum ML but unable to determine specific paper"".",8,"Wrong Paper - Related, found a different paper by a different Chen with ""Quantum Machine Learning""."
11,"Leoreanu-Fotea's algorithm determining work from 2025",3,"Good, correct paper but slightly different volume/number and authors.",1,"Perfect Match."
12,"Parallel CUDA-Based Optimization of the Intersection...",6,"Missing Critical Info, ""Author Unknown"".",1,"Perfect Match."
13,"Waern et al. 2023",2,"Excellent Match, minor differences in author list and venue.",8,"Wrong Paper - Unrelated, noted ""Warncke-Wang"" with a DBLP key error."
14,"bringing machine paper by Buxmann 2023",3,"Good, correct paper, but the control output is an `inproceedings` not an `article`.",1,"Perfect Match."
15,"Model and Data Management for...",7,"Wrong Paper - Related, found a conference series but unable to determine specific paper.",8,"Wrong Paper - Unrelated, noted ""Zheng2024"" with a DBLP key error."
16,"Garc'{}a-Sanchez algori25",2,"Excellent Match, different paper by same author but correct year and similar journal.",8,"Wrong Paper - Unrelated, noted ""GarciaSanchez2025"" with a DBLP key error."
17,"Assigning Candidate Tutors to...",6,"Missing Critical Info, ""Author Unknown"".",1,"Perfect Match."
18,"Triantafillou algori25",7,"Missing Critical Info, found unlearning papers but no 2025 algorithm paper.",1,"Perfect Match."
19,"McShane's paper on hybrid machine from 2023",2,"Excellent Match, minor formatting differences.",8,"Wrong Paper - Unrelated, noted ""McShane2023"" with a DBLP key error."
20,"Tuma's paper on machine learning from 2025",7,"Missing Critical Info, ""No specific publication found"".",1,"Perfect Match."
21,"Chaki ieee25",8,"Wrong paper, different authors and venue.",10,"NOT FOUND, completely fabricated."
22,"Ethics in the Age of Algorithms:...",7,"Correct paper, but wrong year and placeholder author.",1,"Perfect match, all fields correct."
23,"Yap ieee25",10,"NOT FOUND, no paper found.",9,"Wrong paper, different authors and venue, though contains ""Yap""."
