	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0593	0.063	0.0554	0.054	0.056	0.0501	0.0443	0.0399	0.042	0.0498	0.052	0.052	0.0384	0.0626	0.0591	0.0633	0.0688	0.069	0.0671	0.0599	0.0493	0.0493	0.1149
-4	0.0641	0.0648	0.0571	0.0557	0.0581	0.0448	0.0467	0.0422	0.0413	0.0453	0.0373	0.0373	0.0392	0.056	0.0529	0.0583	0.0773	0.0638	0.074	0.0766	0.0564	0.0564	0.0686
-3	0.0706	0.0671	0.0526	0.0614	0.0729	0.0609	0.0418	0.0284	0.037	0.0418	0.0441	0.0441	0.0422	0.0573	0.0385	0.043	0.0646	0.0774	0.0755	0.0843	0.0484	0.0484	0.0668
-2	0.0796	0.0792	0.0561	0.0601	0.071	0.0585	0.0424	0.0305	0.0538	0.0359	0.0348	0.0348	0.0336	0.0451	0.0391	0.0356	0.0688	0.0739	0.0784	0.0837	0.0599	0.0599	0.0567
-1	0.0267	0.0213	0.0306	0.0374	0.0272	0.0661	0.087	0.1392	0.1199	0.0676	0.1006	0.1006	0.0756	0.0551	0.0162	0.0171	0.036	0.0325	0.0419	0.0394	0.0932	0.0932	0.0821
1	0.0096	0.0603	0.1005	0.0554	0.0777	0.0757	0.1156	0.0841	0.0337	0.0648	0.0318	0.0318	0.0683	0.0337	0.0187	0.024	0.0571	0.0201	0.0407	0.0838	0.121	0.121	0.0618
2	0.0439	0.0355	0.059	0.062	0.0679	0.0806	0.0692	0.0625	0.0504	0.0542	0.0595	0.0595	0.0708	0.0445	0.0387	0.0548	0.0501	0.0587	0.0372	0.0625	0.1498	0.1498	0.2073
3	0.0482	0.0438	0.0429	0.0484	0.0554	0.0426	0.0579	0.0507	0.0462	0.0589	0.1028	0.1028	0.0916	0.117	0.0401	0.0782	0.0491	0.0421	0.0172	0.0152	0.0197	0.0197	0.0288
4	0.0602	0.0699	0.0476	0.0598	0.0595	0.0619	0.0643	0.0553	0.0429	0.0576	0.0424	0.0424	0.0436	0.0533	0.0746	0.0736	0.066	0.047	0.0346	0.0456	0.0257	0.0257	0.0419
5	0.0827	0.0611	0.0615	0.0232	0.0632	0.056	0.0429	0.0184	0.04	0.069	0.0392	0.0392	0.0352	0.0515	0.0774	0.0861	0.064	0.0587	0.0492	0.044	0.0291	0.0291	0.0361
