	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0526	0.0564	0.0728	0.0674	0.0597	0.0488	0.058	0.0639	0.0554	0.0567	0.0735	0.0735	0.0786	0.0721	0.0748	0.082	0.0534	0.0553	0.0463	0.0482	0.0449	0.0449	0.0531
-4	0.071	0.0794	0.0747	0.0695	0.0579	0.0553	0.0585	0.0563	0.0474	0.0547	0.0661	0.0661	0.0717	0.0632	0.0641	0.0786	0.058	0.0544	0.0495	0.0525	0.057	0.057	0.0525
-3	0.0695	0.0715	0.0748	0.0682	0.063	0.0596	0.065	0.0623	0.0542	0.0552	0.0683	0.0683	0.0636	0.0664	0.0589	0.0768	0.0542	0.0581	0.049	0.0523	0.0555	0.0555	0.0658
-2	0.0625	0.0873	0.0654	0.0701	0.0653	0.0643	0.0681	0.0679	0.0494	0.056	0.0631	0.0631	0.0622	0.0714	0.0611	0.0676	0.0486	0.0614	0.0509	0.0572	0.0609	0.0609	0.0608
-1	0.0906	0.1268	0.065	0.0576	0.0595	0.068	0.0632	0.0539	0.044	0.0469	0.045	0.045	0.0639	0.0591	0.064	0.0737	0.0518	0.0521	0.0472	0.0528	0.0649	0.0649	0.1142
1	0.0842	0.1025	0.054	0.0515	0.0576	0.0573	0.0866	0.0809	0.0432	0.0523	0.0496	0.0496	0.062	0.0508	0.0626	0.0737	0.054	0.0484	0.0431	0.0521	0.0543	0.0543	0.0519
2	0.0713	0.0678	0.0614	0.0548	0.0659	0.0665	0.0666	0.0647	0.0584	0.0585	0.0701	0.0701	0.0601	0.0591	0.0822	0.0783	0.0513	0.0545	0.0472	0.0484	0.0456	0.0456	0.0544
3	0.0679	0.0631	0.0508	0.0518	0.0576	0.0471	0.0604	0.0774	0.0608	0.0617	0.0966	0.0966	0.1199	0.0569	0.0519	0.0586	0.0417	0.0455	0.0455	0.0413	0.0432	0.0432	0.0438
4	0.0578	0.0739	0.0696	0.0761	0.0814	0.0644	0.0623	0.0687	0.058	0.0604	0.0633	0.0633	0.0725	0.0692	0.068	0.0702	0.0492	0.0491	0.0556	0.0521	0.0524	0.0524	0.0552
5	0.0639	0.0642	0.0592	0.0519	0.0601	0.0613	0.0574	0.0627	0.057	0.0585	0.0645	0.0645	0.07	0.0705	0.0626	0.0803	0.0533	0.0565	0.0583	0.0612	0.0397	0.0397	0.0493
