	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0692	0.0647	0.0586	0.0479	0.0502	0.0447	0.0529	0.0579	0.0604	0.0593	0.0571	0.0571	0.0636	0.0518	0.056	0.0506	0.053	0.0508	0.0509	0.0484	0.0457	0.0457	0.0514
-4	0.0739	0.066	0.0667	0.0525	0.0469	0.0377	0.0512	0.0478	0.0621	0.0546	0.0681	0.0681	0.068	0.0438	0.0473	0.0516	0.0606	0.0435	0.0535	0.0566	0.0485	0.0485	0.0516
-3	0.0786	0.0618	0.0575	0.053	0.0627	0.0546	0.0532	0.0442	0.0638	0.0606	0.0609	0.0609	0.06	0.0503	0.0406	0.0472	0.0469	0.0566	0.051	0.0495	0.0391	0.0391	0.0519
-2	0.0627	0.0675	0.0574	0.0614	0.0741	0.0584	0.0517	0.0523	0.058	0.0573	0.045	0.045	0.0494	0.0508	0.0458	0.0568	0.0589	0.0586	0.0503	0.045	0.0386	0.0386	0.0417
-1	0.0904	0.08	0.0755	0.0718	0.0452	0.048	0.0751	0.0689	0.0691	0.0652	0.0614	0.0614	0.042	0.0471	0.0202	0.023	0.0367	0.0416	0.0504	0.0602	0.0472	0.0472	0.1466
1	0.0206	0.0214	0.0399	0.046	0.0297	0.0451	0.1001	0.1167	0.1132	0.1145	0.1196	0.1196	0.1091	0.0483	0.0159	0.0283	0.0389	0.0161	0.0095	0.0131	0.0194	0.0194	0.0338
2	0.0861	0.0438	0.0569	0.0576	0.0793	0.0605	0.0462	0.0386	0.0484	0.0506	0.0448	0.0448	0.0434	0.0303	0.1046	0.1184	0.0496	0.0577	0.0183	0.0223	0.019	0.019	0.0213
3	0.042	0.0488	0.0416	0.069	0.0464	0.0665	0.0927	0.1319	0.1182	0.0748	0.0568	0.0568	0.0529	0.0397	0.0396	0.0547	0.0274	0.0418	0.0133	0.0108	0.0104	0.0104	0.0151
4	0.0494	0.0662	0.053	0.0535	0.0644	0.0531	0.0493	0.0464	0.0486	0.0618	0.0602	0.0602	0.0549	0.0582	0.0696	0.0804	0.0572	0.049	0.0343	0.0439	0.0229	0.0229	0.0408
5	0.0783	0.066	0.0588	0.0636	0.067	0.0664	0.0465	0.0435	0.0492	0.0498	0.0607	0.0607	0.0539	0.0504	0.0642	0.0742	0.0474	0.0513	0.0364	0.036	0.0269	0.0269	0.0338
