	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0519	0.0614	0.0517	0.0599	0.0446	0.0449	0.0491	0.0619	0.0576	0.0579	0.0564	0.0564	0.0593	0.0519	0.0448	0.0482	0.0505	0.0542	0.0771	0.0764	0.0773	0.0773	0.0862
-4	0.0497	0.0598	0.052	0.0558	0.0436	0.0402	0.0462	0.0538	0.0601	0.0477	0.0672	0.0672	0.0703	0.0495	0.0393	0.0403	0.0556	0.051	0.0841	0.0895	0.0966	0.0966	0.1118
-3	0.0369	0.0473	0.0374	0.0423	0.0412	0.039	0.0399	0.0421	0.0445	0.0646	0.0587	0.0587	0.0583	0.0787	0.039	0.0433	0.0472	0.0618	0.0989	0.1211	0.1045	0.1045	0.0978
-2	0.0697	0.0574	0.0585	0.0487	0.0567	0.0425	0.049	0.0466	0.0452	0.0422	0.0477	0.0477	0.0463	0.0445	0.0382	0.0383	0.0526	0.0788	0.0873	0.0984	0.1163	0.1163	0.0736
-1	0.0307	0.032	0.0351	0.0357	0.032	0.0422	0.0536	0.065	0.0436	0.0354	0.0364	0.0364	0.0321	0.0317	0.0282	0.0284	0.0321	0.049	0.3155	0.0768	0.4173	0.4173	0.0752
1	0.0281	0.0604	0.11	0.0645	0.0612	0.0489	0.0707	0.055	0.0367	0.0463	0.0441	0.0441	0.0506	0.0402	0.0292	0.0299	0.0508	0.0388	0.0964	0.1028	0.2818	0.2818	0.2116
2	0.0363	0.0347	0.0406	0.0553	0.0447	0.0453	0.0536	0.0627	0.0505	0.0507	0.0654	0.0654	0.0842	0.0458	0.0319	0.034	0.0376	0.0579	0.0943	0.1299	0.2288	0.2288	0.6798
3	0.0831	0.0406	0.0478	0.0577	0.0396	0.0442	0.0894	0.1217	0.0878	0.0571	0.0715	0.0715	0.0655	0.0418	0.0312	0.0328	0.0351	0.0341	0.0376	0.0392	0.0508	0.0508	0.0658
4	0.0592	0.0634	0.0468	0.0536	0.0471	0.0453	0.0519	0.0536	0.044	0.0576	0.0534	0.0534	0.1218	0.0647	0.0413	0.0421	0.0458	0.0422	0.0539	0.066	0.0609	0.0609	0.0752
5	0.0907	0.0674	0.0568	0.0577	0.0594	0.0671	0.0482	0.0451	0.0518	0.05	0.0524	0.0524	0.0594	0.0478	0.0365	0.0377	0.0467	0.0473	0.0673	0.0684	0.1052	0.1052	0.0877
