	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0671	0.0658	0.0565	0.0518	0.054	0.0488	0.0502	0.0512	0.051	0.0553	0.0559	0.0559	0.0534	0.0483	0.0505	0.0526	0.0563	0.0598	0.0634	0.0597	0.0575	0.0575	0.0672
-4	0.0682	0.0601	0.0625	0.054	0.049	0.0419	0.0471	0.0453	0.0573	0.0551	0.061	0.061	0.0664	0.0468	0.0426	0.0482	0.0621	0.0525	0.068	0.0657	0.0532	0.0532	0.0705
-3	0.0513	0.0595	0.0513	0.0556	0.0576	0.0563	0.044	0.0432	0.0466	0.0575	0.0584	0.0584	0.0552	0.0534	0.0344	0.0373	0.0455	0.07	0.0741	0.1042	0.0565	0.0565	0.0836
-2	0.0679	0.0558	0.0602	0.0571	0.0622	0.0554	0.0629	0.0535	0.0511	0.0465	0.0399	0.0399	0.0476	0.0513	0.0336	0.032	0.0581	0.06	0.0723	0.0896	0.0662	0.0662	0.0802
-1	0.0303	0.0164	0.0377	0.0405	0.0278	0.0698	0.1016	0.1474	0.11	0.0664	0.0827	0.0827	0.0613	0.0625	0.0176	0.0195	0.0328	0.0313	0.0422	0.0425	0.0668	0.0668	0.0769
1	0.0089	0.0462	0.0892	0.0497	0.0621	0.0621	0.0749	0.07	0.0438	0.0622	0.0315	0.0315	0.0562	0.0367	0.0152	0.0201	0.0666	0.03	0.0705	0.1539	0.1256	0.1256	0.118
2	0.0412	0.0324	0.0473	0.0555	0.0592	0.0702	0.0596	0.0594	0.0595	0.0561	0.0542	0.0542	0.0644	0.0435	0.0251	0.0353	0.0476	0.065	0.0762	0.1037	0.1352	0.1352	0.1699
3	0.0557	0.0536	0.0414	0.0721	0.0436	0.0559	0.0891	0.1215	0.0865	0.0725	0.0788	0.0788	0.0706	0.0465	0.0161	0.0221	0.0471	0.0297	0.0359	0.0334	0.0322	0.0322	0.0566
4	0.0706	0.0639	0.0538	0.0574	0.054	0.0513	0.0491	0.0451	0.0442	0.063	0.0512	0.0512	0.0605	0.0617	0.0409	0.0484	0.0581	0.0454	0.0604	0.0784	0.0593	0.0593	0.0817
5	0.0885	0.0653	0.0576	0.0601	0.0557	0.0556	0.0498	0.048	0.0511	0.0564	0.0553	0.0553	0.0523	0.0498	0.0396	0.0427	0.0495	0.0532	0.0611	0.0684	0.054	0.054	0.0597
