	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0552	0.0614	0.0509	0.0504	0.0509	0.0422	0.04	0.0487	0.0468	0.0496	0.0501	0.0501	0.0548	0.0602	0.059	0.0761	0.067	0.0621	0.0627	0.0621	0.0469	0.0469	0.0559
-4	0.0644	0.0637	0.0568	0.0543	0.0483	0.0422	0.0431	0.0453	0.0441	0.0453	0.0564	0.0564	0.0708	0.0601	0.0584	0.0634	0.0632	0.0572	0.0619	0.0553	0.0484	0.0484	0.0716
-3	0.0601	0.0571	0.0491	0.0537	0.06	0.0513	0.0413	0.0393	0.0418	0.0476	0.0449	0.0449	0.0513	0.0598	0.0554	0.0662	0.0622	0.0727	0.0701	0.0698	0.048	0.048	0.0662
-2	0.0583	0.0653	0.0512	0.0596	0.0642	0.0532	0.0418	0.0414	0.0489	0.0422	0.0416	0.0416	0.0437	0.0704	0.0567	0.0664	0.0686	0.071	0.0552	0.0598	0.0464	0.0464	0.06
-1	0.0412	0.0296	0.0417	0.049	0.0387	0.0485	0.0581	0.0622	0.0499	0.0455	0.0741	0.0741	0.0554	0.1091	0.0297	0.0311	0.0618	0.0876	0.0811	0.0549	0.0379	0.0379	0.0587
1	0.0144	0.0298	0.0612	0.0708	0.046	0.0708	0.1473	0.1059	0.0533	0.0536	0.0829	0.0829	0.0781	0.0693	0.0312	0.0371	0.0586	0.0251	0.0146	0.0209	0.0481	0.0481	0.0639
2	0.0406	0.0251	0.0343	0.0514	0.0368	0.0417	0.0533	0.0579	0.0623	0.0667	0.0786	0.0786	0.1188	0.0548	0.0568	0.093	0.0538	0.0499	0.0301	0.0453	0.0244	0.0244	0.1025
3	0.0476	0.0343	0.0345	0.0568	0.0407	0.0395	0.0878	0.1183	0.0873	0.0724	0.0857	0.0857	0.079	0.0542	0.0431	0.0607	0.0397	0.043	0.0185	0.0136	0.0151	0.0151	0.0222
4	0.0505	0.0564	0.045	0.0594	0.0532	0.0536	0.0489	0.0499	0.0475	0.0543	0.0478	0.0478	0.0667	0.0694	0.0648	0.0836	0.0635	0.0542	0.0453	0.0454	0.028	0.028	0.0449
5	0.0602	0.0618	0.0533	0.0601	0.0665	0.0533	0.0427	0.0427	0.0503	0.0473	0.0517	0.0517	0.0641	0.058	0.064	0.0782	0.0557	0.0621	0.0458	0.0421	0.0319	0.0319	0.0417
