	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.064	0.0691	0.0547	0.0532	0.0486	0.0416	0.0416	0.0504	0.0522	0.0525	0.0592	0.0592	0.0766	0.0537	0.0551	0.061	0.0524	0.0587	0.0614	0.0472	0.0569	0.0569	0.0585
-4	0.0649	0.0636	0.0574	0.0534	0.0467	0.0378	0.0407	0.0461	0.0597	0.0461	0.0594	0.0594	0.0804	0.0519	0.0476	0.0486	0.0575	0.0443	0.0719	0.0754	0.0585	0.0585	0.0769
-3	0.0567	0.0642	0.0489	0.0543	0.0662	0.0504	0.033	0.0353	0.0414	0.0444	0.0509	0.0509	0.07	0.0555	0.044	0.0491	0.0512	0.0699	0.0846	0.0844	0.0968	0.0968	0.1108
-2	0.0488	0.0834	0.0529	0.0672	0.0797	0.0572	0.041	0.0348	0.0415	0.032	0.0395	0.0395	0.0477	0.0553	0.0356	0.041	0.0645	0.0869	0.0824	0.0759	0.0819	0.0819	0.1123
-1	0.1164	0.031	0.0516	0.0461	0.0318	0.0675	0.0769	0.1032	0.0566	0.0419	0.0334	0.0334	0.0309	0.0804	0.0178	0.0162	0.0418	0.038	0.0595	0.1052	0.0621	0.0621	0.0536
1	0.0125	0.1484	0.1222	0.0579	0.0846	0.0636	0.053	0.0459	0.0372	0.0561	0.0357	0.0357	0.0651	0.0423	0.027	0.0288	0.0532	0.042	0.0415	0.0406	0.0747	0.0747	0.087
2	0.0466	0.0493	0.0584	0.0568	0.0632	0.0664	0.0502	0.0504	0.0502	0.0566	0.0623	0.0623	0.0824	0.047	0.0526	0.0676	0.0548	0.0564	0.0327	0.0527	0.0619	0.0619	0.063
3	0.0565	0.0515	0.0483	0.0604	0.049	0.0442	0.0581	0.0725	0.053	0.0448	0.1293	0.1293	0.1207	0.0538	0.0369	0.0544	0.0403	0.037	0.0258	0.024	0.0437	0.0437	0.0325
4	0.0665	0.0726	0.0472	0.0627	0.0479	0.0496	0.0434	0.044	0.0491	0.0582	0.0673	0.0673	0.0736	0.053	0.0643	0.0773	0.0588	0.0516	0.0333	0.0422	0.0293	0.0293	0.0329
5	0.0543	0.0498	0.04	0.04	0.0614	0.059	0.0395	0.0394	0.0462	0.0417	0.0692	0.0692	0.0845	0.052	0.0706	0.0775	0.0528	0.0633	0.0501	0.0486	0.0535	0.0535	0.0522
