	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0679	0.0818	0.0627	0.0617	0.0529	0.0528	0.0419	0.0463	0.0437	0.0453	0.0539	0.0539	0.0598	0.0583	0.0624	0.0727	0.0537	0.0553	0.0451	0.0435	0.043	0.043	0.0555
-4	0.0723	0.0682	0.0665	0.0567	0.0458	0.0423	0.0436	0.0426	0.0433	0.0495	0.0584	0.0584	0.0697	0.0556	0.0664	0.0757	0.0647	0.0532	0.0409	0.0413	0.0398	0.0398	0.0493
-3	0.0755	0.0653	0.0572	0.0544	0.0624	0.0568	0.0458	0.0413	0.0506	0.0513	0.0501	0.0501	0.0611	0.054	0.0593	0.0732	0.0571	0.0577	0.044	0.0373	0.04	0.04	0.0502
-2	0.0938	0.0695	0.0688	0.0542	0.0643	0.0548	0.0529	0.0411	0.0385	0.0383	0.0409	0.0409	0.0421	0.0558	0.0497	0.0582	0.067	0.0575	0.0509	0.0557	0.0538	0.0538	0.0397
-1	0.045	0.0313	0.0369	0.0301	0.0348	0.052	0.0528	0.0908	0.0961	0.0701	0.0519	0.0519	0.0365	0.0885	0.0722	0.1014	0.0637	0.0389	0.0192	0.0179	0.027	0.027	0.0372
1	0.0129	0.0831	0.1315	0.0599	0.0654	0.0585	0.0576	0.0422	0.038	0.0759	0.0398	0.0398	0.0575	0.038	0.0326	0.0494	0.0831	0.034	0.0444	0.0561	0.0371	0.0371	0.0404
2	0.0698	0.0272	0.0557	0.0395	0.0564	0.0696	0.0736	0.0696	0.0536	0.057	0.0771	0.0771	0.0616	0.0402	0.0508	0.0733	0.057	0.042	0.0256	0.04	0.0581	0.0581	0.12
3	0.049	0.0273	0.0365	0.0321	0.0302	0.0522	0.1328	0.1752	0.1289	0.0596	0.0573	0.0573	0.1148	0.0285	0.0175	0.0204	0.0243	0.02	0.0143	0.0112	0.0173	0.0173	0.0275
4	0.0862	0.095	0.058	0.0648	0.067	0.0571	0.047	0.0493	0.0412	0.0568	0.0516	0.0516	0.0499	0.0559	0.043	0.0553	0.0485	0.0502	0.0416	0.0464	0.0452	0.0452	0.0533
5	0.0644	0.0599	0.0609	0.0629	0.0564	0.0634	0.0527	0.0502	0.0641	0.0539	0.0679	0.0679	0.068	0.0499	0.0385	0.0302	0.0531	0.0465	0.063	0.0572	0.0364	0.0364	0.0572
