	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0491	0.053	0.0483	0.0475	0.0484	0.0431	0.0448	0.0497	0.0513	0.0544	0.0587	0.0587	0.0694	0.0605	0.0586	0.0591	0.0607	0.0627	0.0671	0.0611	0.0507	0.0507	0.0548
-4	0.061	0.0553	0.054	0.054	0.043	0.0353	0.045	0.0458	0.0512	0.0455	0.0733	0.0733	0.0948	0.0582	0.0418	0.0467	0.0622	0.0512	0.0618	0.0739	0.0518	0.0518	0.0703
-3	0.0438	0.048	0.0487	0.0551	0.0614	0.0517	0.0427	0.0367	0.0488	0.0545	0.0639	0.0639	0.0809	0.0659	0.0406	0.0436	0.0536	0.0699	0.0697	0.0754	0.0461	0.0461	0.0679
-2	0.0492	0.0565	0.0534	0.0514	0.0642	0.0493	0.0446	0.0414	0.0575	0.0449	0.0533	0.0533	0.0619	0.0627	0.0467	0.0487	0.0601	0.0676	0.0668	0.0712	0.046	0.046	0.0628
-1	0.0429	0.025	0.038	0.0535	0.0396	0.0447	0.0649	0.0727	0.0769	0.0532	0.0622	0.0622	0.0456	0.0754	0.0144	0.0143	0.0504	0.1183	0.1147	0.0467	0.0458	0.0458	0.1929
1	0.0145	0.0415	0.0791	0.0588	0.0458	0.0431	0.1213	0.0877	0.0581	0.0896	0.1007	0.1007	0.1027	0.0683	0.0143	0.0148	0.045	0.0205	0.0226	0.0303	0.0648	0.0648	0.0985
2	0.0401	0.0273	0.0387	0.0589	0.0508	0.0498	0.0691	0.0708	0.0609	0.0652	0.0748	0.0748	0.1084	0.0449	0.0496	0.0647	0.0515	0.051	0.0387	0.0437	0.0315	0.0315	0.0721
3	0.0436	0.0316	0.0075	0.056	0.0404	0.039	0.0937	0.1341	0.1176	0.0903	0.1042	0.1042	0.0953	0.0484	0.0215	0.0361	0.0303	0.0259	0.0233	0.0171	0.0168	0.0168	0.0315
4	0.059	0.0656	0.0497	0.0576	0.0536	0.0466	0.0506	0.0471	0.0499	0.0569	0.0604	0.0604	0.098	0.0618	0.0539	0.0554	0.0551	0.043	0.0438	0.0497	0.0383	0.0383	0.057
5	0.0682	0.0583	0.0544	0.0566	0.0591	0.0508	0.0461	0.0412	0.055	0.0512	0.0645	0.0645	0.0787	0.056	0.0544	0.0575	0.0506	0.0515	0.0563	0.0462	0.0448	0.0448	0.0431
