	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0553	0.0599	0.049	0.0501	0.0494	0.0522	0.0436	0.0526	0.0517	0.0554	0.0579	0.0579	0.0667	0.0576	0.0434	0.0569	0.0577	0.0685	0.0649	0.0573	0.0572	0.0572	0.0682
-4	0.0621	0.0585	0.0565	0.054	0.0446	0.0373	0.044	0.0465	0.0521	0.0491	0.0739	0.0739	0.092	0.0535	0.0401	0.0439	0.0611	0.0516	0.0599	0.0734	0.0533	0.0533	0.0802
-3	0.0486	0.053	0.044	0.0557	0.0564	0.0548	0.0386	0.0432	0.0441	0.0544	0.0624	0.0624	0.0696	0.0639	0.0384	0.0475	0.0484	0.0773	0.0721	0.0832	0.0529	0.0529	0.0821
-2	0.052	0.0585	0.0524	0.0536	0.0618	0.0498	0.042	0.0475	0.0562	0.0566	0.0451	0.0451	0.055	0.0526	0.0451	0.0484	0.0655	0.0692	0.0676	0.0746	0.0466	0.0466	0.0734
-1	0.0523	0.0321	0.0376	0.0622	0.0381	0.0485	0.0528	0.0735	0.0651	0.0491	0.0536	0.0536	0.0341	0.0789	0.0152	0.0194	0.0483	0.1175	0.1243	0.0596	0.0545	0.0545	0.2295
1	0.0149	0.0395	0.0745	0.0735	0.0409	0.0509	0.1024	0.0925	0.0666	0.0992	0.0922	0.0922	0.0832	0.0544	0.0131	0.0152	0.0547	0.0245	0.0294	0.052	0.0855	0.0855	0.1371
2	0.0382	0.0243	0.038	0.0681	0.0413	0.053	0.0588	0.0709	0.0669	0.0778	0.07	0.07	0.1143	0.0406	0.032	0.0546	0.0512	0.0529	0.0439	0.0711	0.0534	0.0534	0.1296
3	0.0492	0.0495	0.0417	0.0758	0.0403	0.0482	0.0764	0.1121	0.1065	0.0909	0.1013	0.1013	0.0948	0.0392	0.015	0.0233	0.0302	0.0264	0.0301	0.025	0.025	0.025	0.0491
4	0.0639	0.0695	0.0422	0.0554	0.0461	0.0472	0.0436	0.0498	0.0408	0.0578	0.0529	0.0529	0.0763	0.0606	0.0365	0.0446	0.056	0.0499	0.0777	0.0844	0.0598	0.0598	0.0969
5	0.0787	0.0597	0.0505	0.0498	0.0438	0.0397	0.0413	0.0416	0.0546	0.0572	0.0691	0.0691	0.0796	0.0551	0.0435	0.049	0.0524	0.0557	0.0659	0.0624	0.0532	0.0532	0.0561
