	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.066	0.0627	0.0584	0.0462	0.0513	0.0437	0.0482	0.0475	0.0565	0.0521	0.0551	0.0551	0.0482	0.0512	0.0571	0.0586	0.0609	0.0637	0.0617	0.057	0.0547	0.0547	0.0581
-4	0.0707	0.0741	0.0576	0.0567	0.0443	0.0402	0.041	0.0469	0.0491	0.0532	0.0475	0.0475	0.0432	0.0481	0.0499	0.0548	0.0698	0.0572	0.0729	0.0794	0.0604	0.0604	0.068
-3	0.063	0.0532	0.0551	0.055	0.0601	0.0505	0.044	0.0353	0.0391	0.0447	0.0625	0.0625	0.0549	0.048	0.0373	0.0457	0.0601	0.0771	0.0823	0.0869	0.0693	0.0693	0.0812
-2	0.0766	0.0656	0.0583	0.071	0.0655	0.0571	0.0481	0.0413	0.0444	0.0394	0.031	0.031	0.0274	0.0506	0.044	0.045	0.0723	0.0707	0.0793	0.0834	0.0663	0.0663	0.0706
-1	0.0278	0.0163	0.0289	0.0394	0.0264	0.0609	0.0914	0.1824	0.1851	0.0691	0.0627	0.0627	0.0279	0.0357	0.0156	0.0166	0.0362	0.0315	0.0404	0.0451	0.1228	0.1228	0.5017
1	0.0092	0.0448	0.0963	0.0679	0.0766	0.0774	0.0967	0.0892	0.0397	0.0712	0.028	0.028	0.0709	0.025	0.014	0.0185	0.0698	0.0244	0.0456	0.1027	0.1277	0.1277	0.0715
2	0.0485	0.0336	0.0562	0.0609	0.0705	0.0753	0.079	0.0601	0.0558	0.0544	0.0567	0.0567	0.0616	0.0339	0.0427	0.051	0.0566	0.0511	0.0423	0.0708	0.1429	0.1429	0.1384
3	0.0316	0.0444	0.0471	0.0542	0.0481	0.0391	0.0689	0.0696	0.0612	0.0639	0.0848	0.0848	0.085	0.1131	0.0355	0.0817	0.0608	0.031	0.018	0.0162	0.0164	0.0164	0.028
4	0.0621	0.0617	0.047	0.0561	0.0519	0.052	0.0499	0.0401	0.0471	0.0588	0.0487	0.0487	0.0958	0.0609	0.049	0.0705	0.0662	0.0435	0.0414	0.0533	0.0407	0.0407	0.0473
5	0.0723	0.06	0.0522	0.0519	0.0613	0.0566	0.0438	0.0424	0.0423	0.0575	0.0618	0.0618	0.0646	0.0563	0.0508	0.0669	0.0529	0.055	0.0502	0.0532	0.0335	0.0335	0.0477
