	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0564	0.0639	0.0585	0.0607	0.0524	0.0498	0.0462	0.0583	0.0593	0.0562	0.076	0.076	0.0679	0.0552	0.0416	0.0408	0.0466	0.047	0.0597	0.0642	0.0564	0.0564	0.0966
-4	0.057	0.0681	0.0642	0.0602	0.0459	0.0397	0.0432	0.0507	0.0478	0.0481	0.0622	0.0622	0.0562	0.0483	0.0451	0.0421	0.0596	0.0392	0.0721	0.1104	0.0571	0.0571	0.1574
-3	0.0525	0.0508	0.0473	0.0492	0.0532	0.051	0.0427	0.043	0.0424	0.0462	0.0439	0.0439	0.0477	0.0466	0.0482	0.0542	0.0429	0.0501	0.0718	0.1654	0.075	0.075	0.119
-2	0.1135	0.0595	0.0745	0.0503	0.0817	0.0647	0.1004	0.0633	0.0423	0.031	0.0308	0.0308	0.032	0.038	0.0366	0.041	0.0529	0.0425	0.042	0.0532	0.0437	0.0437	0.0947
-1	0.0219	0.0201	0.0453	0.0538	0.0296	0.0514	0.0916	0.1355	0.0688	0.05	0.0765	0.0765	0.0643	0.0667	0.0262	0.0227	0.0384	0.0377	0.0542	0.0991	0.0567	0.0567	0.2624
1	0.0128	0.0286	0.0782	0.0848	0.0437	0.0446	0.093	0.0949	0.0628	0.0609	0.0729	0.0729	0.1499	0.0572	0.0222	0.0291	0.0549	0.0201	0.0268	0.0473	0.0681	0.0681	0.1781
2	0.0328	0.0269	0.0486	0.0433	0.0543	0.046	0.0571	0.0596	0.0601	0.0466	0.0755	0.0755	0.1055	0.0508	0.0337	0.0421	0.044	0.0592	0.0764	0.081	0.1037	0.1037	0.3903
3	0.0569	0.036	0.0404	0.0447	0.0408	0.0383	0.0888	0.1133	0.0594	0.0562	0.1115	0.1115	0.1397	0.0501	0.0216	0.0255	0.0337	0.0283	0.0314	0.0281	0.0323	0.0323	0.0582
4	0.0598	0.065	0.0545	0.0573	0.0482	0.0488	0.0462	0.0422	0.0414	0.0587	0.061	0.061	0.0745	0.0676	0.0453	0.0477	0.0551	0.0486	0.0602	0.0753	0.0623	0.0623	0.0755
5	0.0775	0.0631	0.0735	0.0659	0.0636	0.0595	0.0427	0.0483	0.0564	0.0521	0.0594	0.0594	0.0574	0.0627	0.038	0.0398	0.053	0.0541	0.0463	0.0527	0.0512	0.0512	0.0911
