	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.055	0.0563	0.0546	0.0528	0.0426	0.0428	0.0536	0.0576	0.0523	0.0657	0.0672	0.0672	0.0632	0.0565	0.0491	0.0547	0.052	0.0652	0.0609	0.0508	0.053	0.053	0.0606
-4	0.057	0.0572	0.0578	0.0565	0.0403	0.0366	0.0514	0.0561	0.0613	0.0571	0.0627	0.0627	0.0671	0.0547	0.0409	0.0535	0.0559	0.0457	0.0662	0.0785	0.0498	0.0498	0.0703
-3	0.0537	0.0433	0.0394	0.0516	0.0452	0.0414	0.0465	0.0444	0.0451	0.0615	0.0792	0.0792	0.0944	0.0557	0.0358	0.0405	0.0496	0.0613	0.0679	0.0951	0.047	0.047	0.064
-2	0.0664	0.0578	0.0536	0.0552	0.0636	0.0482	0.0597	0.0485	0.0724	0.0442	0.0519	0.0519	0.0501	0.0484	0.0393	0.0429	0.0536	0.0672	0.0634	0.0687	0.0559	0.0559	0.0635
-1	0.0292	0.0171	0.0246	0.0328	0.0208	0.0438	0.0863	0.1548	0.161	0.0863	0.1092	0.1092	0.0591	0.0723	0.0163	0.0155	0.027	0.0327	0.0208	0.0231	0.0506	0.0506	0.07
1	0.0101	0.0612	0.0773	0.0521	0.0494	0.0451	0.0878	0.0651	0.0575	0.0794	0.053	0.053	0.1342	0.0365	0.0221	0.0291	0.0535	0.0259	0.0372	0.0756	0.0607	0.0607	0.0676
2	0.0353	0.0303	0.0483	0.0584	0.0582	0.0707	0.0704	0.066	0.0491	0.0584	0.0731	0.0731	0.0928	0.0377	0.0485	0.0702	0.0513	0.046	0.0312	0.0625	0.0803	0.0803	0.0875
3	0.0307	0.0422	0.059	0.0627	0.0636	0.0525	0.072	0.0788	0.0445	0.0514	0.0783	0.0783	0.0999	0.0553	0.0563	0.0902	0.0401	0.0492	0.0192	0.0168	0.0199	0.0199	0.024
4	0.0429	0.0515	0.0419	0.0579	0.0416	0.0509	0.0524	0.0563	0.0508	0.0764	0.061	0.061	0.0931	0.0566	0.065	0.0851	0.0594	0.0433	0.035	0.0367	0.0291	0.0291	0.0335
5	0.0684	0.0523	0.0506	0.0559	0.042	0.0453	0.0495	0.0442	0.0584	0.0688	0.0812	0.0812	0.0835	0.0505	0.0582	0.0695	0.0453	0.0527	0.042	0.0375	0.0261	0.0261	0.038
