	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0681	0.0735	0.0662	0.0626	0.0513	0.0493	0.0445	0.0553	0.0565	0.0546	0.0732	0.0732	0.075	0.0692	0.0572	0.0606	0.0564	0.0615	0.062	0.0662	0.074	0.074	0.0741
-4	0.0675	0.0753	0.0697	0.0615	0.0525	0.0577	0.0482	0.0491	0.0566	0.0574	0.0665	0.0665	0.0773	0.0626	0.0549	0.0635	0.0611	0.0537	0.0683	0.0683	0.0804	0.0804	0.0735
-3	0.058	0.0601	0.0572	0.0637	0.0679	0.0649	0.046	0.0521	0.0619	0.0584	0.0656	0.0656	0.08	0.0631	0.067	0.0884	0.0653	0.0587	0.062	0.0562	0.0747	0.0747	0.0778
-2	0.0655	0.0639	0.0633	0.061	0.0762	0.0701	0.0495	0.045	0.0609	0.0577	0.066	0.066	0.0758	0.0621	0.0681	0.0599	0.0535	0.0615	0.074	0.0734	0.06	0.06	0.08
-1	0.0648	0.0985	0.0616	0.068	0.062	0.0531	0.0434	0.0561	0.0646	0.0693	0.0528	0.0528	0.0663	0.0541	0.0399	0.0482	0.0553	0.0566	0.0933	0.0752	0.0659	0.0659	0.1334
1	0.0691	0.0929	0.0713	0.0712	0.0664	0.0646	0.0484	0.0468	0.0558	0.0657	0.0542	0.0542	0.0624	0.0543	0.0491	0.054	0.0544	0.0598	0.0827	0.079	0.0734	0.0734	0.0782
2	0.0823	0.0779	0.0612	0.0719	0.0681	0.0794	0.0487	0.0494	0.0537	0.0567	0.0684	0.0684	0.0637	0.0599	0.0528	0.0588	0.0558	0.0645	0.0808	0.0654	0.0766	0.0766	0.0609
3	0.0837	0.0699	0.0622	0.0608	0.0713	0.0774	0.0516	0.0497	0.0503	0.0593	0.0672	0.0672	0.0792	0.0613	0.0577	0.0611	0.0534	0.0561	0.0645	0.0726	0.0719	0.0719	0.0738
4	0.0854	0.0719	0.0661	0.0624	0.0705	0.0708	0.0476	0.0497	0.0535	0.0565	0.07	0.07	0.0736	0.0761	0.0523	0.0567	0.0471	0.0527	0.0751	0.0659	0.0754	0.0754	0.0619
5	0.0764	0.0738	0.0564	0.0543	0.0604	0.0679	0.0485	0.0494	0.0588	0.055	0.0708	0.0708	0.0755	0.0653	0.0568	0.0657	0.0536	0.0562	0.064	0.0738	0.067	0.067	0.0762
