	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.054	0.0637	0.054	0.0472	0.0464	0.046	0.05	0.0576	0.0581	0.0543	0.062	0.062	0.0641	0.0509	0.0485	0.0511	0.0548	0.059	0.0685	0.057	0.07	0.07	0.078
-4	0.0597	0.07	0.0579	0.0726	0.0453	0.0439	0.0446	0.0555	0.0583	0.0548	0.0608	0.0608	0.0623	0.0469	0.0409	0.0484	0.0585	0.0446	0.0696	0.0782	0.0676	0.0676	0.0858
-3	0.06	0.0471	0.0439	0.0554	0.0513	0.0502	0.0493	0.0508	0.0485	0.0449	0.0733	0.0733	0.0747	0.059	0.0279	0.0337	0.043	0.0592	0.0854	0.0979	0.0463	0.0463	0.0793
-2	0.0688	0.0676	0.0615	0.0607	0.0774	0.0556	0.0466	0.0508	0.0456	0.0363	0.0343	0.0343	0.0339	0.0454	0.0365	0.0462	0.056	0.072	0.0692	0.0964	0.0531	0.0531	0.0637
-1	0.0143	0.011	0.0218	0.033	0.0203	0.0517	0.0541	0.1065	0.1018	0.0407	0.0524	0.0524	0.0308	0.0465	0.0095	0.0122	0.0195	0.1017	0.1932	0.1121	0.1959	0.1959	0.2638
1	0.0083	0.0287	0.0729	0.059	0.0339	0.0435	0.1006	0.1023	0.0496	0.0898	0.0403	0.0403	0.0544	0.0918	0.0092	0.01	0.0473	0.0179	0.0472	0.1523	0.1162	0.1162	0.2186
2	0.03	0.0166	0.0349	0.0536	0.0384	0.0454	0.0584	0.0599	0.0524	0.0549	0.075	0.075	0.1241	0.0452	0.0189	0.0267	0.0401	0.0594	0.1017	0.1182	0.1584	0.1584	0.3907
3	0.0741	0.0282	0.0329	0.0662	0.0237	0.0345	0.115	0.1817	0.1022	0.0908	0.0775	0.0775	0.0776	0.0403	0.0102	0.0146	0.0349	0.0219	0.021	0.0189	0.0252	0.0252	0.0599
4	0.0842	0.0641	0.0436	0.0556	0.0565	0.0492	0.0422	0.0432	0.0368	0.0549	0.0629	0.0629	0.1122	0.0717	0.0315	0.0384	0.0469	0.0399	0.0507	0.0712	0.0606	0.0606	0.0802
5	0.0928	0.0638	0.0551	0.0555	0.0567	0.0679	0.046	0.0432	0.0488	0.0484	0.0614	0.0614	0.0672	0.0551	0.0342	0.034	0.043	0.0444	0.0701	0.0679	0.0473	0.0473	0.073
