	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0682	0.0705	0.0602	0.0403	0.0538	0.0477	0.0418	0.0424	0.04	0.0453	0.047	0.047	0.044	0.0543	0.0523	0.0539	0.0621	0.0604	0.081	0.0751	0.0749	0.0749	0.0777
-4	0.0665	0.0743	0.0632	0.0539	0.0463	0.0455	0.0409	0.0463	0.0447	0.0507	0.0432	0.0432	0.0435	0.0488	0.0407	0.045	0.0605	0.0533	0.0934	0.0931	0.067	0.067	0.0784
-3	0.051	0.0606	0.049	0.0552	0.0603	0.0581	0.0345	0.0337	0.0406	0.0474	0.0553	0.0553	0.0529	0.0585	0.0261	0.0344	0.0514	0.0763	0.0943	0.1157	0.0644	0.0644	0.0863
-2	0.0751	0.0784	0.0651	0.0599	0.0646	0.0596	0.0423	0.0349	0.0379	0.0336	0.0259	0.0259	0.0266	0.0433	0.0331	0.0393	0.0641	0.0724	0.0911	0.1128	0.0896	0.0896	0.065
-1	0.0392	0.0256	0.0339	0.0438	0.0252	0.0857	0.1284	0.1795	0.0998	0.0553	0.036	0.036	0.0313	0.0329	0.0168	0.018	0.0327	0.0234	0.0484	0.088	0.156	0.156	0.0486
1	0.0123	0.1758	0.1189	0.0559	0.0642	0.0502	0.0394	0.031	0.0255	0.0616	0.0257	0.0257	0.0531	0.0335	0.011	0.0186	0.0644	0.0299	0.0738	0.1111	0.0434	0.0434	0.0676
2	0.0716	0.0439	0.0688	0.0747	0.0828	0.0987	0.0658	0.0481	0.0426	0.0461	0.0444	0.0444	0.0349	0.037	0.0475	0.0699	0.0532	0.0485	0.0308	0.0653	0.092	0.092	0.1028
3	0.0314	0.0429	0.0335	0.0585	0.0338	0.0402	0.0715	0.1232	0.1374	0.0515	0.1053	0.1053	0.1045	0.0457	0.0332	0.0722	0.023	0.0249	0.0131	0.0127	0.0142	0.0142	0.0275
4	0.0463	0.071	0.0481	0.0628	0.0512	0.0501	0.0422	0.0401	0.0625	0.0646	0.0632	0.0632	0.058	0.0665	0.0748	0.095	0.0555	0.0442	0.0311	0.0357	0.0207	0.0207	0.0349
5	0.0656	0.0623	0.052	0.0546	0.0587	0.0608	0.0437	0.0396	0.0463	0.0521	0.0568	0.0568	0.0545	0.06	0.0772	0.0988	0.0483	0.0517	0.0371	0.0344	0.0262	0.0262	0.0357
