	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0716	0.0653	0.0644	0.0624	0.0632	0.0631	0.0484	0.0511	0.0531	0.0465	0.0575	0.0575	0.0877	0.0707	0.0914	0.0953	0.0558	0.0532	0.0427	0.0452	0.0419	0.0419	0.0474
-4	0.0744	0.0795	0.0725	0.0626	0.0637	0.0565	0.0489	0.0432	0.051	0.0494	0.0536	0.0536	0.0723	0.062	0.0914	0.097	0.0617	0.058	0.0448	0.0402	0.0448	0.0448	0.0392
-3	0.0831	0.0774	0.0652	0.0678	0.0884	0.0728	0.0478	0.0395	0.0541	0.0418	0.0548	0.0548	0.06	0.071	0.0998	0.0993	0.0707	0.0682	0.0343	0.0331	0.0337	0.0337	0.0374
-2	0.0788	0.0676	0.0534	0.0623	0.0729	0.0804	0.0555	0.0513	0.0538	0.0535	0.0585	0.0585	0.0655	0.0737	0.0947	0.1002	0.0569	0.0671	0.0346	0.035	0.0354	0.0354	0.0412
-1	0.0799	0.0676	0.0634	0.0644	0.0811	0.0704	0.0447	0.0489	0.056	0.0577	0.0512	0.0512	0.0616	0.0658	0.0964	0.1034	0.059	0.0689	0.0371	0.0385	0.039	0.039	0.0542
1	0.077	0.0612	0.061	0.0492	0.0823	0.0639	0.0405	0.0434	0.0462	0.0514	0.0557	0.0557	0.0686	0.0834	0.1031	0.1119	0.0655	0.0599	0.0366	0.0347	0.0387	0.0387	0.0385
2	0.0821	0.0665	0.0603	0.0644	0.0771	0.0966	0.0525	0.0492	0.0582	0.0634	0.069	0.069	0.0767	0.0693	0.0918	0.0802	0.0484	0.0532	0.0377	0.0415	0.0387	0.0387	0.0433
3	0.0834	0.0685	0.0674	0.0584	0.0802	0.0752	0.0487	0.0465	0.0497	0.0691	0.0616	0.0616	0.0764	0.0784	0.0817	0.0814	0.0519	0.0549	0.0407	0.0397	0.0338	0.0338	0.0378
4	0.0878	0.0928	0.0814	0.0631	0.1374	0.1221	0.0446	0.0432	0.0557	0.0562	0.059	0.059	0.0635	0.0868	0.0891	0.0742	0.0412	0.0453	0.0361	0.0433	0.0386	0.0386	0.0311
5	0.0707	0.0666	0.0526	0.0502	0.0833	0.0792	0.0431	0.0331	0.0468	0.0469	0.0525	0.0525	0.0799	0.0705	0.1078	0.1249	0.0699	0.067	0.033	0.0346	0.0254	0.0254	0.0324
