	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0611	0.0684	0.0584	0.0478	0.0528	0.0496	0.043	0.0437	0.0485	0.0486	0.0506	0.0506	0.049	0.0578	0.0738	0.079	0.0583	0.0586	0.0514	0.0478	0.0487	0.0487	0.0637
-4	0.0681	0.0707	0.0601	0.0565	0.0495	0.0421	0.0408	0.0416	0.0493	0.0517	0.0489	0.0489	0.049	0.0557	0.0698	0.0726	0.0644	0.0477	0.0565	0.0613	0.0536	0.0536	0.0681
-3	0.0638	0.0655	0.0476	0.0547	0.0608	0.0576	0.0359	0.0336	0.0415	0.0427	0.0519	0.0519	0.0488	0.0618	0.0617	0.0724	0.0536	0.0634	0.0578	0.0796	0.0569	0.0569	0.1027
-2	0.0659	0.0743	0.0537	0.0605	0.069	0.0576	0.0393	0.0374	0.0427	0.0395	0.0347	0.0347	0.0371	0.0579	0.0723	0.0846	0.0701	0.0666	0.0481	0.0492	0.0401	0.0401	0.0518
-1	0.0498	0.0278	0.0481	0.049	0.0386	0.0547	0.0622	0.0812	0.0622	0.0422	0.0566	0.0566	0.0595	0.0776	0.0364	0.0373	0.0556	0.0714	0.0719	0.0668	0.0488	0.0488	0.0811
1	0.0274	0.0301	0.0532	0.0629	0.0494	0.0524	0.0789	0.0884	0.0784	0.0715	0.083	0.083	0.0924	0.0762	0.0349	0.0565	0.0588	0.0285	0.017	0.0231	0.0261	0.0261	0.065
2	0.0536	0.0358	0.0487	0.0533	0.0539	0.0561	0.0513	0.0445	0.0592	0.0553	0.0614	0.0614	0.0763	0.0523	0.0521	0.076	0.0617	0.0672	0.0403	0.0542	0.0575	0.0575	0.0803
3	0.0686	0.0489	0.0469	0.0686	0.0491	0.0535	0.0641	0.0712	0.0607	0.0665	0.0621	0.0621	0.0869	0.0649	0.0323	0.0454	0.0562	0.0481	0.0391	0.0353	0.0218	0.0218	0.0255
4	0.0649	0.0583	0.0477	0.0564	0.0493	0.0486	0.0431	0.0405	0.0461	0.0564	0.0635	0.0635	0.0615	0.0611	0.0623	0.0747	0.0676	0.0599	0.0483	0.0462	0.033	0.033	0.0325
5	0.0857	0.08	0.0513	0.0541	0.0557	0.0529	0.0353	0.0425	0.0422	0.054	0.0469	0.0469	0.0455	0.0634	0.0651	0.0716	0.0584	0.0604	0.0457	0.0435	0.0337	0.0337	0.0346
