 	1	2	3	4	5	6	7	8	9	10	11	12
A	7352961.89	1987353.82	6014212.19	2005576.15	5347328.21	1766593.22	4366375.53	6768788.26	2076803.32	11756381.23	2411633.26	8885143.37
B	8340723.60	2355087.71	9127291.89	2546145.68	3736960.08	1890905.08	6541615.81	5900289.50	2286110.70	6566687.82	2763534.50	5643637.95
C	8071685.39	6581613.92	6305721.89	5385053.39	6018225.30	3140221.75	4991393.43	4507382.68	5515051.04	7009366.99	8178473.95	6198302.51
D	9143389.68	7968472.79	6943922.53	6876856.87	6882447.64	5030590.67	4863454.77	4834321.31	6099176.20	8832345.51	6978556.19	8123425.22
E	6876796.74	6536143.47	5558441.18	8954583.80	5425781.27	2742836.58	3501076.51	3012759.31	4244734.54	5378573.34	7253432.71	8245009.91
F	10611542.19	9905480.45	6640034.79	10119514.44	11786969.15	2660032.39	3759959.36	3556465.27	5155127.33	6295401.70	6751184.97	6416690.01
G	6988848.16	8610606.41	5456166.56	8155335.21	10195631.02	3986615.45	6487428.40	4506767.63	4990879.85	7173640.20	4924131.56	4277494.65
H	6359091.23	6049522.36	6363038.21	5919947.04	6856559.07	7121400.12	6354851.74	4838892.95	5513999.21	6965271.62	11567863.78	2668991.80
I	7659056.82	6375647.99	9301843.09	6501844.40	8940523.74	6661405.22	15652054.80	5791754.06	8836988.64	10985441.76	4855533.79	1982186.23
J	8077351.19	6126148.13	5990306.73	4222260.03	10953567.52	4142872.03	11423956.67	4922273.84	8573315.71	8331367.81	8434125.14	2857851.22
K	7928227.31	7086501.09	7461301.21	9067920.10	9938799.85	4653727.48	8092876.83	5338992.61	7355515.26	8569718.63	4135299.45	2934335.39
L	9222968.04	9483284.57	8075063.90	6968454.45	3958701.17	4683626.90	6795845.68	8991942.96	9695403.53	10022928.81	4627391.73	4606258.56
M	6670794.29	6655171.35	6507719.51	10558645.51	6458869.63	5011523.09	7329890.71	8059699.42	7757698.47	8322434.04	6632176.52	6501615.50
N	7710843.44	5599434.64	6480435.04	5690530.97	4022631.52	11146428.43	7137906.35	8487945.65	7948640.05	8290989.95	7744037.86	7605331.32
O	6746238.34	6198968.67	6491062.47	5206950.97	5465366.86	10232794.51	7619233.15	6431829.55	5712166.10	6629554.60	9176931.77	6090345.59
P	6873634.87	5577602.60	6134531.91	4145140.38	5751294.56	7510255.22	6728748.49	9317636.97	6946393.74	7051485.28	8351455.06	5153801.66
Q	6503316.16	5865141.82	5529396.79	4189167.37	5636605.55	10610709.26	5797158.97	11056463.55	7187670.94	6236311.79	6637852.39	4601078.57
R	6429472.82	5948629.28	4709995.52	4078111.12	6770691.63	7581345.48	5602659.58	6782788.61	5483929.10	6450166.51	14353178.29	6564839.42
S	13462324.06	10976807.78	7442959.19	10052161.95	8932093.85	7934660.11	7565064.89	5968912.63	6901218.32	10093973.92	6769599.53	7733260.12
T	8679090.17	10539176.66	8833633.50	9469872.22	7157854.48	6488191.37	9564455.88	5769969.44	6328313.40	9596554.20	15171353.92	7423392.30
U	9060761.54	10117258.40	10320710.18	10862496.53	7348792.76	8936170.04	9467709.98	8208711.39	8646260.64	8859874.13	5499014.87	4513488.17
V	7709082.03	6728265.10	6559048.96	6226006.42	4841142.31	4712363.11	5294729.52	4493564.38	6071149.44	8908409.15	7164005.44	6043754.40
W	7010133.34	7263697.16	6314062.76	8805360.82	3919990.70	6211802.07	5073492.02	5649476.93	6308186.96	7164887.92	7729963.74	7104781.19
X	6847501.78	5746443.31	7246409.90	3314406.86	3088926.89	2251655.44	4260483.09	4389367.26	9042229.45	9855755.67	8594608.26	7192360.83
