 	1	2	3	4	5	6	7	8	9	10	11	12
A	118399134.91	8011361.65	66556510.94	13063210.60	338363319.92	17511615.16	247836337.64	70707123.49	6791113.58	53826138.36	8791261.32	56088678.66
B	54588772.72	10824029.18	19095752.86	15084319.88	242485589.14	17559558.00	116219426.72	103021042.33	10037636.70	78794313.41	11571112.78	60692549.24
C	68752850.86	63528806.25	54973267.08	49513436.34	63801006.47	32243957.04	20549293.91	55021221.17	37397771.25	64381887.26	82460495.32	40805128.69
D	59037714.41	73528754.13	52838809.41	52542233.72	32443341.28	52290168.72	32751491.66	52477695.14	57808034.77	77635678.68	151480962.72	66881032.46
E	47286384.36	51567535.52	34756143.82	32563623.34	42622936.43	17861231.21	13417533.84	42460934.27	47027384.82	74128936.59	232018349.99	61678310.66
F	47388139.39	54744347.01	30090400.29	36946021.86	44968278.32	12631246.81	16561814.69	43000111.94	51983198.89	89505643.16	190025555.08	70374216.52
G	72677971.00	87528225.28	85012687.86	105457462.48	116357833.23	42885769.76	68675146.63	91817418.13	97131157.30	136850802.89	274507001.33	100201680.96
H	70034169.45	97717531.93	85962807.83	102538514.10	90326828.89	89902681.03	54968324.10	93284317.12	103170390.69	132413907.45	157772012.71	43026353.38
I	101028291.86	139988177.67	334040457.07	160102390.18	195804964.87	135341515.36	346408243.15	187608422.26	125403916.55	186129982.36	141084774.38	14358575.59
J	116788639.40	129617713.96	151817654.46	134140090.50	187465054.76	154467718.20	300067127.06	199718714.14	211314265.38	190315142.62	233839098.32	36725888.42
K	88250247.74	92320708.14	116678866.59	85732913.45	107874124.62	53459145.36	105257958.40	115147004.91	118039200.01	158329061.19	175803658.65	55933672.83
L	83288730.25	73538115.02	53974640.59	64856002.54	48468854.06	50475787.41	47424793.06	87187245.79	71429694.12	99562121.60	155392516.61	109019971.59
M	37155949.14	53509597.80	63916426.49	49819001.13	90573970.17	64086439.51	64999156.70	90355057.13	53192980.78	92982112.39	206418388.77	97622027.23
N	66258627.95	56791768.13	50747654.40	41526811.26	37872050.98	54709849.46	26464060.37	50798942.93	54767557.20	87597159.44	163443293.81	108750051.92
O	47884366.11	70783986.23	48109438.77	46025511.12	67888346.89	99962190.27	45610965.89	57415808.84	60686538.00	88906578.09	217836553.62	117883676.62
P	49708360.88	40757001.12	29488988.80	31149347.68	49066569.41	53671189.90	35448405.10	67264826.21	55439582.75	87279149.11	217191029.35	86590181.44
Q	31651821.93	30974629.79	17002503.14	22462625.56	18639647.49	65306317.61	31241786.84	44665684.13	48095330.20	63117685.96	254744262.46	124894547.27
R	48617102.17	39712014.59	28073048.24	32103959.19	43250102.92	68724826.49	33492849.31	52941391.82	58807429.23	73015730.84	345211007.72	77790388.46
S	70811999.29	84065987.85	81077334.67	82392453.25	88352485.32	88757609.92	59906743.47	62962815.96	82114645.09	104749731.44	193011136.88	104522551.44
T	151406681.90	124040010.51	111748597.86	93930751.26	128969365.35	110835276.84	147022386.96	83882846.48	87045430.33	127903890.21	234539256.07	143625195.55
U	86130225.68	82905629.04	55212858.65	66386269.93	72745081.13	81920380.00	47764137.67	92286351.11	72722045.99	86252623.34	163254292.24	99423043.68
V	94716875.69	102670965.99	66356253.70	81022137.25	101503809.77	38106796.49	44123187.29	68855928.38	92934683.14	104162867.05	217476734.17	114277158.26
W	101387618.42	123579863.70	75400012.81	95175478.83	144049139.41	36319461.86	27581610.70	92151014.82	104680370.28	117671244.48	217070018.16	120452500.57
X	85521054.44	94670470.92	77997469.33	60481662.65	94738032.19	17969006.48	23033983.44	51154027.10	108934147.53	158196685.95	202489238.87	104834212.65
