 	1	2	3	4	5	6	7	8	9	10	11	12
A	11707593.82	4517241.66	8159881.31	3834791.66	8523994.28	3367061.30	7898787.38	12979949.32	3747910.58	5298399.27	6565681.92	8784762.24
B	8371269.00	5078019.84	12159214.04	4771634.45	7393214.96	3811329.62	10032153.68	8881366.59	3991329.45	4900503.08	5100816.53	7741613.19
C	17281980.77	17592477.39	14863865.98	10262550.00	13487496.89	6848887.37	8894070.45	15407184.78	13812951.64	13988484.59	8729864.99	16254119.61
D	15000608.71	17036527.73	13827755.35	12295988.24	7726624.56	8359596.19	11796284.46	10940511.09	14281477.03	13697186.96	13818132.04	13076128.88
E	13489458.26	17724644.70	12749759.79	6097212.50	9229705.21	4476070.72	7861440.63	12884396.75	15725355.87	17316020.78	9041427.46	6169921.73
F	13815838.08	17688611.56	12596299.62	6178770.30	10632157.78	4942232.05	8769952.28	13496648.78	19806852.58	14524199.89	11691066.51	5717403.57
G	16684955.39	15135748.94	15442739.47	7687612.43	13534966.34	6131351.94	14588308.37	12299917.76	13224724.79	13965729.25	7189685.42	5068379.25
H	14436072.06	14928352.51	13534592.82	11692801.60	14539761.21	5794574.68	14041928.10	12752472.17	17623015.01	11839927.04	9978181.01	5041667.95
I	18547716.99	14184883.92	15187308.47	8757371.94	14025798.32	6232587.36	30334906.07	12376318.88	15533057.06	11568838.93	4803075.29	3762918.86
J	16446637.76	14969234.73	12083193.85	10035316.40	11901610.27	5934883.48	18723103.20	9188167.05	15657437.57	11821080.15	8374593.60	6515026.78
K	17885718.64	14485724.55	12015587.65	7149388.51	18308216.10	6162986.19	13895728.28	13809712.33	17357905.73	12058821.06	6962466.14	7946371.96
L	14847395.74	16299922.74	11564731.41	7952520.48	12054203.29	7058650.38	16608351.33	18633938.11	19939342.66	12888415.77	8044109.63	8410885.15
M	19645484.44	14767583.26	10772065.84	6711947.64	17185344.19	5672394.33	14308849.81	17171203.67	16048267.37	13009071.12	8704854.83	9453915.76
N	17073503.19	14584760.15	11378707.18	8289379.62	13645010.66	6220914.62	13759921.23	14670107.21	15247223.70	13031908.02	9608160.60	9607714.19
O	16412204.89	15490694.45	16460436.78	24083634.04	23700468.07	6921157.26	16384558.48	17459071.44	16427537.06	13802936.60	15974507.84	13010165.85
P	17659082.37	14883089.81	15574652.53	33256876.65	22990411.19	7146640.49	15446951.72	19750157.74	15188517.56	13221704.22	13675927.01	10468650.01
Q	16977303.24	14143875.34	14445067.93	18025771.82	9758562.41	4918256.16	16372101.99	22579299.06	16507183.64	12462237.48	8084817.72	9483040.13
R	16782903.42	15578346.04	14036205.12	12414708.25	9844392.69	5641196.41	17532574.70	16903547.07	16131396.54	15143057.97	21006212.25	15569594.87
S	17028667.46	14958493.91	15708249.48	13861124.16	16871469.88	11947004.48	18302307.50	15898078.93	29820720.82	22307782.27	8112881.34	5587555.03
T	17645578.06	18857429.47	25234488.34	21679911.12	27315856.81	23803947.14	15422759.85	19384651.67	36785659.47	24868083.73	13712705.07	13217088.71
U	27472919.72	29560226.52	27674850.02	29057035.00	23833787.66	21861749.51	24011093.34	25649691.63	27503686.54	22423107.18	13053314.48	10093749.11
V	18916418.95	19154343.46	17482439.98	10918413.67	13656582.81	69469164.59	12239338.13	15541131.92	15600255.83	14747372.26	10438918.31	8756443.62
W	16265853.95	17267030.21	15789265.32	8382994.10	11538086.17	22072149.49	15194875.13	17770574.28	17897176.81	15083082.40	13610869.87	12061164.64
X	17200553.31	18467571.42	27366577.13	26486697.73	16144307.91	50065886.01	11481503.57	17628789.58	17266593.02	14661414.22	11951256.11	10335080.25
