 	1	2	3	4	5	6	7	8	9	10	11	12
A	8708097.61	2013629.96	9461263.35	2758684.58	7438388.20	1672686.06	5230021.26	2799787.62	1687386.19	2182803.23	2009080.13	2943396.48
B	2735466.70	4048806.90	95314290.60	5077515.68	4272085.16	1952316.39	4133455.98	3389307.86	1736511.72	2765626.71	1998763.08	2873688.24
C	6497071.15	11860177.19	9284779.61	9644608.50	6732236.31	3548118.26	4459412.24	4035777.75	5374925.27	15710880.63	3283738.77	2379034.77
D	4894764.78	6052598.89	4635447.14	5470690.63	3378824.33	2859780.50	5176601.68	3288200.18	5083191.40	6716821.02	10423144.28	2865285.10
E	4073939.95	4400323.84	3245271.26	8243008.65	3576689.68	2384837.07	5859971.34	2164407.58	3894259.56	5150410.91	10945796.71	3450048.17
F	3913122.73	3760977.16	3905213.53	17178691.97	2926761.84	1846131.71	7029630.17	2452084.73	4459999.60	6127597.01	8711141.15	3408682.32
G	4882715.35	4460034.66	2997528.86	5064328.23	4078135.30	3209333.93	6670544.33	3403337.85	6058023.31	8293916.28	4682004.78	7180746.35
H	4408840.96	5118290.82	4087613.95	3934745.46	5237778.58	4404687.58	4608637.32	3652538.13	6219866.24	7666395.68	5547545.60	2748692.08
I	11966275.45	14155422.98	70490747.78	7099556.38	8621710.40	7025205.82	6882520.98	42193415.00	12037303.41	12800076.46	3633007.42	1925625.42
J	7535457.52	7315435.20	5211004.16	4901525.16	6567082.71	4580481.70	5496410.08	6087761.94	7747954.12	9912286.02	6471761.06	2492163.77
K	6175167.75	5076019.77	3192859.61	4341654.43	6356369.85	3087651.79	7857877.45	3314703.12	5812048.67	7846208.52	3221639.95	2376258.94
L	5542548.51	4738178.67	2803573.80	3447356.00	2833697.88	2729394.62	3570042.73	3110210.26	6886331.78	7144160.11	3327395.81	3697700.45
M	6254372.33	4663613.82	3085233.09	3904117.70	4004014.98	2557463.40	3739379.38	2851771.61	5093428.27	7120839.06	7349837.37	4489559.31
N	6255851.82	4434651.01	2794923.70	4221600.11	3558037.70	2663879.94	3745500.04	2904619.34	4934408.52	6996818.48	7887943.84	5192898.46
O	5140601.45	4617894.25	2897639.63	3595128.33	4971566.78	4785154.55	4052847.88	2683801.41	5230730.12	7338309.10	11755469.59	6910728.45
P	4452005.51	4254533.38	2486756.90	2977516.97	4523749.58	5207957.75	3058276.53	2359577.24	4921967.36	6613325.32	9581167.72	6276606.75
Q	5217964.38	4648994.32	2526381.09	2543507.73	3408180.71	4170954.80	3954359.12	2376629.16	4296211.17	6160435.32	7015791.70	3328691.31
R	5086173.76	4581698.96	2445714.98	2954273.94	4393635.85	5379417.56	4628811.41	2620240.36	4331599.73	6388083.93	5753522.51	4934406.82
S	5049325.66	4467787.50	3300319.68	5587337.95	5145205.39	4712149.41	7059243.65	3058969.88	4994503.85	8298602.90	7094758.50	4237233.33
T	6453369.61	6147524.07	4075551.19	13132274.25	7831790.72	7392401.21	10475825.48	3684484.07	5625663.35	12392082.53	10774550.36	6590734.76
U	8358274.39	6075466.94	6101707.96	10431679.71	6825519.02	6825380.25	8384517.51	4045746.76	6832221.87	9742790.84	4836765.42	4354912.12
V	5362658.36	4863705.54	4276732.82	7892570.66	5293362.66	4305521.42	5815785.28	3395432.13	5030411.21	8500733.65	4526419.53	3431477.89
W	5958603.68	4998226.34	3085712.03	5382735.00	5133100.54	3648209.21	4899317.67	4130753.84	5962898.17	9032232.80	10928928.19	7085148.75
X	4198398.80	5322163.25	2781044.21	4115849.09	7723906.71	18900921.15	4697394.50	8010664.36	5957697.22	11754731.37	9946488.63	7925926.19
