Gewerbe Samstag;;6.00 Uhr - 7.00 Uhr;7.00 Uhr - 8.00 Uhr;8.00 Uhr - 9.00 Uhr;9.00 Uhr - 10.00 Uhr;10.00 Uhr - 11.00 Uhr;11.00 Uhr - 12.00 Uhr;12.00 Uhr - 13.00 Uhr;13.00 Uhr - 14.00 Uhr;14.00 Uhr - 15.00 Uhr;15.00 Uhr - 16.00 Uhr;16.00 Uhr - 17.00 Uhr;17.00 Uhr - 18.00 Uhr;18.00 Uhr - 19.00 Uhr;19.00 Uhr - 20.00 Uhr;20.00 Uhr - 21.00 Uhr;21.00 Uhr - 22.00 Uhr;22.00 Uhr - 23.00 Uhr;23.00 Uhr - 24.00 Uhr;0.00 Uhr - 1.00 Uhr;1.00 Uhr - 2.00 Uhr;2.00 Uhr - 3.00 Uhr;3.00 Uhr - 4.00 Uhr;4.00 Uhr - 5.00 Uhr;5.00 Uhr - 6.00 Uhr
GKO;Temp. <= -15 øC;3,94%;4,10%;4,62%;5,55%;5,33%;4,75%;4,22%;4,18%;4,36%;4,53%;4,69%;4,41%;4,24%;3,89%;3,81%;3,47%;3,57%;3,37%;3,54%;3,81%;3,77%;4,11%;3,42%;4,31%
;-15 øC < Temp. <= -10 øC;4,12%;4,21%;4,66%;4,80%;4,76%;4,64%;4,23%;4,19%;4,32%;4,53%;4,63%;4,44%;4,33%;4,01%;3,88%;3,57%;3,58%;3,47%;3,62%;3,86%;3,79%;4,15%;3,77%;4,45%
;-10 øC < Temp. <= -5 øC;4,32%;4,37%;4,63%;4,68%;4,42%;4,47%;4,19%;4,16%;4,24%;4,48%;4,52%;4,41%;4,38%;4,08%;3,91%;3,63%;3,55%;3,53%;3,65%;3,86%;3,76%;4,13%;4,08%;4,54%
;-5 øC < Temp. <= 0 øC;4,40%;4,57%;4,48%;4,54%;4,43%;4,40%;4,31%;4,28%;4,42%;4,46%;4,52%;4,48%;4,63%;4,27%;3,98%;3,67%;3,60%;3,53%;3,51%;3,59%;3,44%;3,76%;4,27%;4,45%
;0 øC < Temp. <= 5 øC;4,84%;4,80%;4,65%;4,44%;4,19%;4,13%;4,04%;4,04%;4,03%;4,22%;4,39%;4,52%;4,49%;4,19%;3,91%;3,70%;3,43%;3,58%;3,66%;3,80%;3,64%;4,04%;4,64%;4,63%
;5 øC < Temp. <= 10 øC;5,23%;5,16%;4,94%;4,64%;4,52%;4,28%;4,15%;3,88%;3,85%;3,85%;3,90%;4,17%;4,40%;3,97%;3,97%;3,48%;3,75%;3,42%;3,55%;3,59%;3,37%;3,72%;4,77%;5,42%
;10 øC < Temp. <= 15 øC;6,11%;6,17%;5,42%;4,58%;4,47%;4,70%;4,36%;3,60%;3,91%;4,13%;3,28%;3,39%;4,33%;3,91%;3,50%;3,65%;3,23%;3,33%;3,31%;3,68%;3,48%;3,53%;4,71%;5,20%
;15 øC < Temp. <= 20 øC;7,29%;6,52%;5,84%;4,56%;4,73%;4,32%;4,42%;3,59%;3,87%;3,69%;3,25%;3,29%;4,17%;3,75%;3,27%;3,54%;3,01%;3,89%;3,27%;3,28%;3,55%;3,22%;4,49%;5,17%
;20 øC < Temp. <= 25 øC;7,92%;7,34%;6,39%;4,85%;4,61%;3,96%;4,50%;3,74%;3,86%;3,18%;3,02%;3,14%;3,97%;3,92%;3,32%;3,75%;3,09%;3,62%;2,97%;3,82%;3,67%;3,03%;3,39%;4,93%
;Temp > 25 øC;8,52%;8,13%;6,78%;4,22%;4,50%;4,85%;4,56%;3,30%;3,84%;3,10%;2,81%;2,76%;3,84%;3,59%;2,96%;3,90%;3,89%;3,42%;2,76%;3,84%;3,70%;2,84%;3,22%;4,68%
GH;Temp. <= -15 øC;5,42%;5,66%;5,56%;5,74%;5,68%;5,83%;5,67%;5,69%;5,39%;4,84%;3,81%;3,61%;3,38%;3,28%;3,79%;3,75%;3,55%;2,88%;2,59%;2,87%;2,74%;2,84%;2,60%;2,84%
;-15 øC < Temp. <= -10 øC;5,38%;5,71%;5,73%;5,74%;5,64%;5,69%;5,47%;5,47%;5,17%;4,62%;3,79%;3,64%;3,34%;3,28%;3,68%;3,69%;3,44%;2,94%;2,75%;3,00%;2,95%;2,99%;2,84%;3,06%
;-10 øC < Temp. <= -5 øC;5,35%;5,79%;5,96%;5,76%;5,62%;5,54%;5,26%;5,24%;4,94%;4,41%;3,79%;3,69%;3,29%;3,26%;3,54%;3,60%;3,31%;3,01%;2,92%;3,12%;3,14%;3,14%;3,08%;3,26%
;-5 øC < Temp. <= 0 øC;5,30%;6,38%;6,11%;5,68%;5,83%;5,54%;5,17%;5,19%;4,86%;3,92%;4,06%;3,57%;2,93%;2,86%;3,07%;3,08%;2,66%;2,88%;3,37%;3,46%;3,54%;3,39%;3,62%;3,55%
;0 øC < Temp. <= 5 øC;5,70%;6,23%;6,47%;5,98%;5,67%;5,19%;4,77%;4,63%;4,47%;4,08%;3,99%;3,89%;3,14%;3,08%;3,00%;3,19%;2,85%;3,18%;3,22%;3,28%;3,43%;3,34%;3,60%;3,61%
;5 øC < Temp. <= 10 øC;5,18%;6,44%;6,91%;6,54%;5,62%;5,04%;4,93%;4,27%;4,03%;3,95%;3,86%;3,57%;3,31%;3,03%;3,00%;3,04%;2,73%;2,73%;3,35%;3,76%;3,44%;3,55%;3,78%;3,96%
;10 øC < Temp. <= 15 øC;5,08%;5,89%;6,36%;6,10%;6,33%;4,16%;4,41%;3,95%;4,42%;3,67%;3,79%;2,82%;2,39%;2,93%;2,94%;2,85%;2,79%;2,38%;5,27%;3,86%;4,69%;3,93%;4,24%;4,75%
;15 øC < Temp. <= 20 øC;6,44%;5,94%;6,15%;4,93%;6,54%;3,94%;4,00%;4,36%;5,28%;4,95%;4,51%;3,53%;1,89%;2,88%;2,58%;2,70%;2,35%;1,77%;4,66%;4,19%;3,23%;3,99%;4,43%;4,76%
;20 øC < Temp. <= 25 øC;7,92%;6,11%;5,22%;2,76%;7,37%;1,94%;2,18%;3,99%;6,86%;6,30%;5,18%;3,03%;0,83%;2,56%;2,17%;2,62%;2,07%;1,22%;5,95%;4,88%;2,83%;4,71%;5,24%;6,04%
;Temp > 25 øC;10,15%;7,07%;1,83%;1,51%;8,14%;1,17%;1,22%;1,79%;9,53%;8,31%;5,41%;1,52%;0,84%;1,18%;0,85%;1,41%;0,77%;0,36%;8,65%;5,99%;1,61%;5,78%;6,52%;8,40%
GMK;Temp. <= -15 øC;5,69%;5,07%;4,46%;5,03%;3,91%;4,22%;3,83%;3,94%;3,47%;3,96%;3,89%;3,76%;3,67%;3,99%;3,35%;4,24%;3,94%;4,23%;4,11%;4,22%;4,14%;4,17%;4,47%;4,23%
;-15 øC < Temp. <= -10 øC;5,43%;5,09%;4,58%;5,09%;4,05%;4,31%;3,86%;3,90%;3,48%;3,94%;3,88%;3,76%;3,69%;3,98%;3,41%;4,21%;3,93%;4,19%;4,10%;4,19%;4,13%;4,16%;4,43%;4,22%
;-10 øC < Temp. <= -5 øC;5,37%;5,09%;4,75%;5,17%;4,23%;4,43%;3,89%;3,84%;3,48%;3,89%;3,84%;3,76%;3,71%;3,96%;3,48%;4,14%;3,91%;4,11%;4,06%;4,14%;4,10%;4,12%;4,34%;4,18%
;-5 øC < Temp. <= 0 øC;4,76%;4,47%;4,49%;4,52%;4,39%;4,57%;3,96%;3,95%;3,77%;3,78%;3,93%;3,91%;3,99%;3,92%;4,03%;4,10%;4,10%;4,07%;3,97%;4,31%;4,16%;4,32%;4,32%;4,19%
;0 øC < Temp. <= 5 øC;5,07%;5,10%;5,53%;5,53%;5,10%;5,02%;4,04%;3,53%;3,47%;3,67%;3,67%;3,75%;3,79%;3,85%;3,84%;3,84%;3,81%;3,74%;3,88%;3,90%;3,96%;3,94%;3,95%;4,02%
;5 øC < Temp. <= 10 øC;5,27%;6,03%;6,33%;5,65%;5,42%;5,08%;4,05%;3,53%;3,45%;3,36%;3,48%;3,55%;3,59%;3,53%;3,63%;3,78%;3,43%;3,62%;3,60%;3,82%;3,62%;3,83%;3,93%;4,41%
;10 øC < Temp. <= 15 øC;6,57%;6,46%;7,18%;5,85%;6,45%;6,41%;4,15%;3,80%;4,26%;3,67%;2,58%;3,11%;2,35%;3,24%;2,72%;3,95%;3,28%;2,97%;3,24%;3,36%;3,43%;3,16%;3,55%;4,28%
;15 øC < Temp. <= 20 øC;7,24%;7,05%;7,93%;7,08%;7,03%;5,86%;4,14%;3,19%;4,15%;2,58%;3,03%;2,53%;1,52%;2,67%;3,20%;3,73%;3,20%;2,96%;3,29%;3,25%;3,21%;4,02%;3,45%;3,69%
;20 øC < Temp. <= 25 øC;7,57%;7,80%;8,29%;8,04%;8,08%;6,45%;4,32%;3,13%;3,78%;2,27%;2,90%;1,74%;0,54%;1,90%;2,86%;3,83%;3,19%;2,74%;3,25%;3,18%;3,11%;4,26%;3,32%;3,46%
;Temp > 25 øC;7,87%;8,53%;8,63%;8,99%;9,12%;7,03%;4,49%;3,06%;3,38%;1,94%;2,75%;0,92%;0,00%;1,08%;2,50%;3,91%;3,16%;2,49%;3,19%;3,09%;2,99%;4,48%;3,18%;3,20%
Deutschland;Temp. <= -15 øC;5,81%;5,02%;4,87%;4,93%;4,68%;4,58%;4,36%;4,27%;4,28%;4,25%;4,10%;4,07%;4,05%;4,08%;4,10%;4,00%;3,96%;3,49%;3,30%;3,34%;3,28%;3,45%;3,41%;4,33%
