citation_num,web,mcp_m,mcp_u
1,PM,PM,PM
2,PM,PM,WP
3,NF,PM,PM
4,NF,IM,WP
5,IM,PM,PM
6,NF,PM,PM
7,PM,PM,PM
8,IM,PM,PM
9,NF,PM,PM
10,WP,WP,PM
11,IM,PM,PM
12,IM,PM,PM
13,WP,WP,PM
14,IM,PM,PM
15,NF,NF,PM
16,WP,PM,PM
17,IM,PM,PM
18,IM,PM,PM
19,IM,PM,PM
20,NF,PM,PM
21,NF,WP,WP
22,IM,PM,PM
23,NF,WP,PM
24,PM,PM,PM
25,PM,PM,PM
26,IM,PM,PM
27,NF,PM,PM
28,NF,PM,PM
29,PM,PM,PM
30,IM,PM,PM
31,WP,PM,PM
32,IM,PM,PM
33,IM,PM,PM
34,IM,PM,PM
35,IM,PM,PM
36,WP,WP,PM
37,IM,PM,PM
38,IM,PM,WP
39,NF,PM,PM
40,IA,PM,PM
41,NF,PM,PM
42,PM,PM,PM
43,WP,PM,PM
44,NF,PM,PM
45,PM,PM,WP
46,PM,PM,PM
47,WP,PM,PM
48,WP,WP,WP
49,IM,PM,PM
50,NF,PM,PM
51,NF,PM,PM
52,IM,PM,PM
53,PM,PM,PM
54,NF,PM,PM
55,IM,PM,PM
56,WP,WP,WP
57,PM,PM,PM
58,NF,PM,PM
59,WP,PM,PM
60,NF,NF,PM
61,IM,PM,PM
62,WP,WP,WP
63,WP,PM,PM
64,NF,PM,PM
65,PM,PM,PM
66,IM,PM,PM
67,IM,PM,PM
68,IM,PM,PM
69,IM,PM,PM
70,NF,WP,WP
71,NF,PM,PM
72,PM,PM,PM
73,NF,PM,PM
74,WP,WP,WP
75,IM,PM,PM
76,PM,WP,WP
77,NF,WP,PM
78,IM,PM,PM
79,NF,PM,PM
80,WP,WP,WP
81,WP,PM,PM
82,IM,PM,PM
83,WP,PM,PM
84,IA,PM,PM
85,IM,PM,PM
86,IM,PM,PM
87,WP,PM,PM
88,IM,PM,PM
89,WP,WP,WP
90,IM,PM,PM
91,IM,PM,PM
92,NF,PM,PM
93,WP,PM,PM
94,PM,PM,PM
95,PM,PM,PM
96,PM,PM,PM
97,PM,PM,PM
98,WP,PM,PM
99,PM,PM,PM
100,IM,PM,PM
101,PM,PM,PM
102,WP,WP,WP
103,WP,WP,WP
104,WP,PM,PM
