	s	t
AAK1	0.1013	1.0
ACVR2A	0.9833	1.0
ACVR2B	0.9593	1.0
AKT1	1.0	0.644
AKT2	1.0	0.6077
AKT3	1.0	0.5148
ALK1	1.0	0.9801
ALK2	0.7534	1.0
ALK4	0.7536	1.0
ALK7	1.0	0.8003
ALPHAK3	0.1319	1.0
AMPKA1	1.0	0.5548
AMPKA2	1.0	0.4713
ANKRD3	0.8446	1.0
ASK1	0.0917	1.0
ATM	1.0	0.49
ATR	1.0	0.7062
AURA	1.0	0.3991
AURB	1.0	0.4431
AURC	1.0	0.2264
BCKDK	1.0	0.2348
BIKE	0.13	1.0
BMPR1A	0.9818	1.0
BMPR1B	1.0	0.8919
BMPR2	1.0	0.9945
BRAF	0.4326	1.0
BRSK1	1.0	0.2293
BRSK2	1.0	0.2592
BUB1	0.5413	1.0
CAMK1A	1.0	0.7484
CAMK1B	1.0	0.7368
CAMK1D	1.0	0.7752
CAMK1G	1.0	0.5183
CAMK2A	1.0	0.3766
CAMK2B	1.0	0.3958
CAMK2D	1.0	0.4236
CAMK2G	1.0	0.4989
CAMK4	1.0	0.4513
CAMKK1	0.3856	1.0
CAMKK2	0.2541	1.0
CAMLCK	0.9543	1.0
CDC7	1.0	0.2991
CDK1	1.0	0.5909
CDK10	1.0	0.563
CDK12	1.0	0.4939
CDK13	1.0	0.5584
CDK14	1.0	0.7865
CDK15	1.0	0.3859
CDK16	1.0	0.637
CDK17	1.0	0.5286
CDK18	1.0	0.4277
CDK19	1.0	0.2391
CDK2	1.0	0.5966
CDK3	1.0	0.6899
CDK4	0.9307	1.0
CDK5	1.0	0.9974
CDK6	0.9478	1.0
CDK7	1.0	0.369
CDK8	1.0	0.3165
CDK9	1.0	0.4683
CDKL1	1.0	0.7185
CDKL2	1.0	0.6652
CDKL5	1.0	0.4611
CHAK1	1.0	0.6248
CHAK2	1.0	0.5794
CHK1	1.0	0.8192
CHK2	0.9782	1.0
CK1A	1.0	0.1435
CK1A2	1.0	0.4354
CK1D	1.0	0.2953
CK1E	1.0	0.2762
CK1G1	1.0	0.1205
CK1G2	1.0	0.5646
CK1G3	1.0	0.6146
CK2A1	1.0	0.4443
CK2A2	1.0	0.4259
CLK1	1.0	0.4171
CLK2	1.0	0.3074
CLK3	1.0	0.6429
CLK4	1.0	0.529
COT	1.0	0.2836
CRIK	0.4576	1.0
