Name,Sales First 180 Days,Sales Last 180 Days,Starting Size,Ending Size
Contoso Store Alaska,3323.76908,2361.54336,Medium,Medium
Contoso Store Arkansas,3907.927125,4869.36338,Medium,Medium
Contoso Store Armagh,4862.950182,1812.77948,Medium,Medium
Contoso Store Australian Capital Territory,245.9918,1005.9399999999999,Small,Medium
Contoso Store Ayrshire,1791.097146,3962.99651,Medium,Medium
Contoso Store Basse-Normandie,1547.151,489.0,Medium,Small
Contoso Store Belfast,1753.1409059999999,3195.0253350000003,Medium,Medium
Contoso Store Berlin,1664.217294,693.7508,Medium,Small
Contoso Store Blaenau Gwent,7746.041624,2566.8612000000003,Large,Medium
Contoso Store Connecticut,4425.690074,1233.414,Medium,Medium
Contoso Store Corse,5080.1554,460.737,Large,Small
Contoso Store Drenthe,534.3,84.59280000000001,Small,Small
Contoso Store Dungannon and South Tyrone,724.8140000000001,2469.00926,Small,Medium
Contoso Store Enna,5292.76845,356.334,Large,Small
Contoso Store Flevoland,2547.48716,3806.57032,Medium,Medium
Contoso Store Franche-Comté,1731.76305,315.56,Medium,Small
Contoso Store Freie Hansestadt Bremen,2861.3109999999997,85.76756,Medium,Small
Contoso Store Freistaat Thüringen,162.45165999999998,2469.2021799999998,Small,Medium
Contoso Store Friesland,1346.0696,560.4919500000001,Medium,Small
Contoso Store Groningen,1982.873724,1776.04485,Medium,Medium
Contoso Store Hamburg,557.343176,1221.273395,Small,Medium
Contoso Store Hawaii,1607.524084,3171.95514,Medium,Medium
Contoso Store Hessen,1979.6751840000002,817.08,Medium,Small
Contoso Store Idaho,3766.497446,14680.68202,Medium,Large
Contoso Store Iowa,5157.2103,5633.1881650000005,Large,Large
Contoso Store Kansas,4466.720624,1873.476735,Medium,Medium
Contoso Store La Réunion,1401.8826800000002,9938.6279,Medium,Large
Contoso Store Limousin,1371.056102,266.4,Medium,Small
Contoso Store Maine,2683.96181,1371.423,Medium,Medium
Contoso Store Martinique,2687.13691,180.392784,Medium,Small
Contoso Store Mayotte,2758.351584,993.387,Medium,Small
Contoso Store Mecklenburg-Vorpommern,229.78784000000002,4858.0469,Small,Medium
Contoso Store Montana,679.479,2410.64059,Small,Medium
Contoso Store Nebraska,2342.67516,2516.52819,Medium,Medium
Contoso Store Nevada,7519.8884880000005,7556.20087,Large,Large
Contoso Store New Brunswick,3680.6100799999995,3176.1865900000003,Medium,Medium
Contoso Store New Hampshire,2791.3423199999997,5627.04637,Medium,Large
Contoso Store New Mexico,503.70426,1950.33204,Small,Medium
Contoso Store Newfoundland and Labrador,6394.81848,3572.22313,Large,Medium
Contoso Store North Dakota,296.99056,1745.93617,Small,Medium
Contoso Store North Down,4601.07689,1162.06252,Medium,Medium
Contoso Store Northwest Territories,1238.0,1276.00126,Medium,Medium
Contoso Store Nunavut,1645.8588300000001,451.03470000000004,Medium,Small
Contoso Store Oregon,2711.734846,1780.09234,Medium,Medium
Contoso Store Pesaro,109.95381,1813.974,Small,Medium
Contoso Store Rhode Island,2065.805184,5248.094305,Medium,Large
Contoso Store Saarland,1889.98,420.0,Medium,Small
Contoso Store Sachsen-Anhalt,1058.4272839999999,1528.81609,Medium,Medium
Contoso Store South Australia,315.0796,415.20529999999997,Small,Small
Contoso Store South Carolina,6703.6121,5393.8913,Large,Large
Contoso Store South Dakota,7743.612824,3508.6334199999997,Large,Medium
Contoso Store Tasmania,1354.009058,414.96,Medium,Small
Contoso Store Victoria,2944.4213,1328.12994,Medium,Medium
Contoso Store Washington DC,3068.85446,1713.51501,Medium,Medium
Contoso Store West Virginia,698.0,3043.71401,Small,Medium
Contoso Store Western Australia,898.0585,884.739,Small,Small
Contoso Store Wyoming,5037.426046,37.786,Large,Small
Online store,11388.42485,37920.6274,Large,Large
