"county","season","count"
"Benton County","Spring",1
"Benton County","Summer",1
"Chelan County","Fall",2
"Chelan County","Spring",4
"Chelan County","Summer",14
"Chelan County","Winter",3
"Clallam County","Fall",6
"Clallam County","Spring",1
"Clallam County","Summer",5
"Clallam County","Unknown",2
"Clallam County","Winter",1
"Clark County","Spring",1
"Clark County","Summer",4
"Clark County","Winter",2
"Columbia County","Fall",1
"Columbia County","Summer",1
"Columbia County","Winter",1
"Cowlitz County","Fall",5
"Cowlitz County","Spring",3
"Cowlitz County","Summer",10
"Ferry County","Fall",4
"Ferry County","Spring",2
"Ferry County","Summer",3
"Grays Harbor County","Fall",9
"Grays Harbor County","Spring",8
"Grays Harbor County","Summer",14
"Grays Harbor County","Winter",5
"Island County","Fall",2
"Island County","Spring",1
"Island County","Winter",1
"Jefferson County","Fall",7
"Jefferson County","Spring",6
"Jefferson County","Summer",6
"Jefferson County","Winter",2
"King County","Fall",7
"King County","Spring",12
"King County","Summer",17
"King County","Winter",5
"Kitsap County","Fall",4
"Kitsap County","Spring",2
"Kitsap County","Summer",8
"Kitsap County","Winter",2
"Kittitas County","Fall",6
"Kittitas County","Spring",3
"Kittitas County","Summer",7
"Kittitas County","Unknown",1
"Kittitas County","Winter",5
"Klickitat County","Fall",3
"Klickitat County","Spring",4
"Klickitat County","Summer",2
"Klickitat County","Winter",1
"Lewis County","Fall",20
"Lewis County","Spring",8
"Lewis County","Summer",14
"Lewis County","Unknown",1
"Lewis County","Winter",3
"Lincoln County","Summer",1
"Mason County","Fall",8
"Mason County","Spring",3
"Mason County","Summer",9
"Mason County","Winter",2
"Okanogan County","Fall",11
"Okanogan County","Spring",4
"Okanogan County","Summer",7
"Okanogan County","Winter",3
"Pacific County","Fall",1
"Pacific County","Spring",3
"Pacific County","Summer",1
"Pacific County","Winter",1
"Pend Oreille County","Fall",3
"Pend Oreille County","Spring",3
"Pend Oreille County","Summer",4
"Pend Oreille County","Winter",1
"Pierce County","Fall",27
"Pierce County","Spring",19
"Pierce County","Summer",21
"Pierce County","Unknown",1
"Pierce County","Winter",8
"Skagit County","Fall",2
"Skagit County","Spring",3
"Skagit County","Summer",8
"Skamania County","Fall",10
"Skamania County","Spring",6
"Skamania County","Summer",22
"Skamania County","Unknown",1
"Skamania County","Winter",8
"Snohomish County","Fall",10
"Snohomish County","Spring",12
"Snohomish County","Summer",19
"Snohomish County","Unknown",4
"Snohomish County","Winter",6
"Spokane County","Fall",1
"Spokane County","Summer",2
"Spokane County","Winter",3
"Stevens County","Fall",7
"Stevens County","Summer",5
"Thurston County","Fall",1
"Thurston County","Spring",5
"Thurston County","Summer",6
"Thurston County","Winter",1
"Wahkiakum County","Fall",1
"Wahkiakum County","Spring",1
"Walla Walla County","Fall",1
"Walla Walla County","Spring",2
"Walla Walla County","Winter",2
"Whatcom County","Fall",3
"Whatcom County","Summer",13
"Whatcom County","Winter",2
"Yakima County","Fall",5
"Yakima County","Spring",1
"Yakima County","Summer",12
"Yakima County","Winter",2
