type,object id,property id,condition,function,replace,fallback,default,fixed,min,max,remappable,iterable,reference
color id,obj_id.trigger.COLOR,obj_prop.trigger.color.CHANNEL,,,,,,lambda x: not (1 <= x <= 999),1,1101,FALSE,FALSE,FALSE
color id,obj_id.trigger.COLOR,obj_prop.trigger.color.COPY_ID,,,,,,lambda x: not (1 <= x <= 999),1,1101,FALSE,FALSE,TRUE
color id,obj_id.trigger.shader.GRAY_SCALE,obj_prop.trigger.shader.GRAY_SCALE_TINT_CHANNEL,,,,,lambda x: 0 if x.get(obj_prop.trigger.shader.GRAY_SCALE_USE_TINT) else None,lambda x: not (1 <= x <= 999),1,1101,TRUE,FALSE,TRUE
color id,obj_id.trigger.shader.LENS_CIRCLE,obj_prop.trigger.shader.LENS_CIRCLE_TINT_CHANNEL,,,,,0,lambda x: not (1 <= x <= 999),1,1101,TRUE,FALSE,TRUE
color id,obj_id.trigger.shader.RADIAL_BLUR,obj_prop.trigger.shader.RADIAL_BLUR_REF_CHANNEL,,,,,0,lambda x: not (1 <= x <= 999),1,1101,TRUE,FALSE,TRUE
color id,obj_id.trigger.shader.MOTION_BLUR,obj_prop.trigger.shader.MOTION_BLUR_REF_CHANNEL,,,,,0,lambda x: not (1 <= x <= 999),1,1101,TRUE,FALSE,TRUE
color id,,obj_prop.COLOR_1,,,,"lambda x: COLOR_1_DEFAULT.get(x.get(obj_prop.ID,0))",0,lambda x: not (1 <= x <= 999),1,1101,FALSE,FALSE,TRUE
color id,,obj_prop.COLOR_2,,,,"lambda x: COLOR_2_DEFAULT.get(x.get(obj_prop.ID,0))",0,lambda x: not (1 <= x <= 999),1,1101,FALSE,FALSE,TRUE
color id,obj_id.trigger.PULSE,obj_prop.trigger.pulse.COPY_ID,,,,,,lambda x: not (1 <= x <= 999),1,1101,FALSE,FALSE,TRUE
color id,obj_id.trigger.PULSE,obj_prop.trigger.pulse.TARGET_ID,"lambda x: x.get(obj_prop.trigger.pulse.TARGET_TYPE,0) == 0",,,,0,lambda x: not (1 <= x <= 999),1,1101,TRUE,FALSE,FALSE
