id,alias,type,format,bounds,values,map to,comment
1,ID,int,object id,,"[1,4383]",objects,
2,X,float,units,,,,
3,Y,float,units,,,,
4,FLIP_X,bool,,,"[0,1]",,
5,FLIP_Y,bool,,,"[0,1]",,
6,ROTATION,float,degrees,,"[0,360)",,
7,trigger.color.RED,int,,,"[0,255]",,
7,trigger.pulse.RED,int,,,"[0,255]",,
8,trigger.color.GREEN,int,,,"[0,255]",,
8,trigger.pulse.GREEN,int,,,"[0,255]",,
9,trigger.color.BLUE,int,,,"[0,255]",,
9,trigger.pulse.BLUE,int,,,"[0,255]",,
10,trigger.move.DURATION,float,seconds,,,,
10,trigger.alpha.DURATION,float,seconds,,,,
10,trigger.rotate.DURATION,float,seconds,,,,
10,trigger.follow.DURATION,float,seconds,,,,
10,trigger.shake.DURATION,float,seconds,,,,
10,trigger.follow_player_y.DURATION,float,seconds,,,,
10,trigger.collision.m_10,float,#N/A,,,,
10,trigger.zoom_camera.DURATION,float,seconds,,,,
10,trigger.song.DURATION,float,seconds,,,,
10,trigger.rotate_camera.DURATION,float,seconds,,,,
10,trigger.scale.DURATION,float,seconds,,,,
10,trigger.color.DURATION,float,seconds,,,,
10,trigger.mg_edit.DURATION,float,seconds,,,,
10,trigger.effect.DURATION,float,seconds,,,,
10,trigger.keyframe.DURATION,float,seconds,,,,
10,trigger.sfx.DURATION,float,seconds,,,,
10,trigger.bpm.DURATION,float,seconds,,,,
10,trigger.static_camera.DURATION,float,seconds,,,,
10,trigger.random.CHANCE,float,percent,,,,percent chance of random trigger
10,trigger.shader.FADE_TIME,float,,,,,
11,trigger.TOUCH_TRIGGER,bool,,,,,
12,trigger.collectible.coin.COIN_ID,int,coin id,,,,"official secret coin id, not used by user coins"
13,trigger.EDITOR_PREVIEW,bool,,,,,
14,trigger.color.TINT_GROUND,bool,,,,,legacy color trigger option
15,trigger.color.PLAYER_1,bool,,,,,
16,trigger.color.PLAYER_2,bool,,,,,
17,trigger.color.BLENDING,bool,,,,,
18,,,,,,,
19,OLD_COLOR_ID,int,,,"[0, 8]",old_colors,"1.9 and below color channel ID, converted automatically to new color ids"
20,EDITOR_L1,int,,,,,
21,COLOR_1,int,color id,,,colors,
22,COLOR_2,int,color id,,,colors,
23,trigger.color.CHANNEL,int,color id,,,colors,
24,Z_LAYER,int,,,,z_layers,
25,Z_ORDER,int,,,,,
26,,,,,,,
27,,,,,,,
28,trigger.move.MOVE_X,float,units,,,,
28,trigger.offset_camera.OFFSET_X,float,units,,,,
28,trigger.camera_guide.OFFSET_X,float,units,,,,
28,trigger.gameplay_offset.OFFSET_X,float,units,,,,
29,trigger.move.MOVE_Y,float,units,,,,
29,trigger.offset_camera.OFFSET_Y,float,units,,,,
29,trigger.camera_guide.OFFSET_Y,float,units,,,,
29,trigger.gameplay_offset.OFFSET_Y,float,units,,,,
29,trigger.mg_edit.OFFSET_Y,float,units,,,,
30,trigger.move.EASING,int,,,"[0, 18]",easing,
30,trigger.rotate.EASING,int,,,"[0, 18]",easing,
30,trigger.zoom_camera.EASING,int,,,"[0, 18]",easing,
30,trigger.static_camera.EASING,int,,,"[0, 18]",easing,
30,trigger.offset_camera.EASING,int,,,"[0, 18]",easing,
30,trigger.rotate_camera.EASING,int,,,"[0, 18]",easing,
30,trigger.scale.EASING,int,,,"[0, 18]",easing,
30,trigger.mg_edit.EASING,int,,,"[0, 18]",easing,
30,trigger.keyframe.EASING,int,,,"[0, 18]",easing,
30,trigger.shader.EASING,int,,,"[0, 18]",easing,
31,text.DATA,string,base64,,,,
32,OLD_SCALE,float,,,,,"old scale property, automatically replaced by scale_X and scale_Y"
33,,,,,,,
34,GROUP_PARENT,bool,,,,,
35,trigger.color.OPACITY,float,,,,,
35,trigger.alpha.OPACITY,float,,,,,
36,trigger.INTERACTIBLE,bool,,,,,"found on triggers, portals, pickups, anything that seems to trigger a secondary action on touch"
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,HSV_ENABLED_1,bool,,,,,whether the object has any hsv changes on color 1
42,HSV_ENABLED_2,bool,,,,,whether the object has any hsv changes on color 2
43,HSV_1,string,hsv,,,,
44,HSV_2,string,hsv,,,,
45,trigger.pulse.FADE_IN,float,seconds,,,,pulse fade in duration
46,trigger.pulse.HOLD,float,seconds,,,,pulse hold duration
47,trigger.pulse.FADE_OUT,float,seconds,,,,pulse fade out duration
48,trigger.pulse.USE_HSV,bool,,,,,color / hsv selector
49,trigger.pulse.HSV,string,hsv,,,,color HSV options
49,trigger.color.HSV,string,hsv,,,,
49,trigger.effect.HSV,string,hsv,,,,
50,trigger.pulse.COPY_ID,int,color id,,,colors,the channel id of the copied color
50,trigger.color.COPY_ID,int,color id,,,colors,the channel id of the copied color
51,trigger.move.TARGET_ID,int,group id,,,,
51,trigger.pulse.TARGET_ID,int,"color id, group id",,,,
51,trigger.alpha.GROUP_ID,int,group id,,,,
51,trigger.toggle.GROUP_ID,int,group id,,,,
51,trigger.toggle_block.GROUP_ID,int,group id,,,,
51,trigger.on_death.GROUP_ID,int,group id,,,,
51,trigger.spawn.GROUP_ID,int,group id,,,,
51,trigger.teleport.TARGET_ID,int,group id,,,,
51,trigger.collectible.GROUP_ID,int,group id,,,,
51,trigger.song.GROUP_ID_1,int,group id,,,,
51,trigger.sfx.GROUP_ID_1,int,group id,,,,
51,trigger.rotate.TARGET_ID,int,group id,,,,
51,trigger.follow.TARGET_ID,int,group id,,,,
51,trigger.animate.TARGET_ID,int,group id,,,,
51,trigger.touch.GROUP_ID,int,group id,,,,
51,trigger.count.TARGET_ID,int,group id,,,,
51,trigger.stop.TARGET_ID,int,"group id, control id",,,,
51,trigger.instant_count.TARGET_ID,int,group id,,,,
51,trigger.follow_player_y.TARGET_ID,int,group id,,,,
51,trigger.collision.TARGET_ID,int,group id,,,,
51,trigger.random.TRUE_ID,int,group id,,,,
51,trigger.end_wall.GROUP_ID,int,group id,,,,
51,trigger.camera_edge.TARGET_ID,int,group id,,,,
51,trigger.checkpoint.SPAWN_ID,int,group id,,,,
51,trigger.scale.TARGET_ID,int,group id,,,,
51,trigger.effect.TARGET_ID,int,"group id, effect id",,,,
51,trigger.adv_follow.TARGET_ID,int,group id,,,,
51,trigger.keyframe.GROUP_ID,int,group id,,,,
51,trigger.animate_keyframe.TARGET_ID,int,group id,,,,
51,trigger.end.SPAWN_ID,int,group id,,,,
51,trigger.event.SPAWN_ID,int,group id,,,,
51,trigger.spawn_particle.PARTICLE_GROUP,int,group id,,,,duplicated
51,trigger.instant_collision.TRUE_ID,int,group id,,,,
51,trigger.ui.GROUP_ID,int,group id,,,,
51,trigger.time.TARGET_ID,int,group id,,,,
51,trigger.time_event.TARGET_ID,int,group id,,,,
51,trigger.reset.GROUP_ID,int,group id,,,,
51,trigger.object_control.TARGET_ID,int,group id,,,,
51,trigger.link_visible.GROUP_ID,int,group id,,,,
51,trigger.item_edit.TARGET_ITEM_ID,int,item id,,,,
51,trigger.item_compare.TRUE_ID,int,group id,,,,
51,trigger.state_block.STATE_ON,int,group id,,,,
51,trigger.edit_adv_follow.TARGET_ID,int,"group id, control id",,,,
51,trigger.shader.SHOCKWAVE_CENTER_ID,int,group id,,,,
51,trigger.shader.SHOCKLINE_CENTER_ID,int,group id,,,,
51,trigger.shader.LENS_CIRCLE_CENTER_ID,int,group id,,,,
51,trigger.shader.RADIAL_BLUR_CENTER_ID,int,group id,,,,
51,trigger.shader.MOTION_BLUR_CENTER_ID,int,group id,,,,
51,trigger.shader.BULGE_CENTER_ID,int,group id,,,,
51,trigger.shader.PINCH_CENTER_ID,int,group id,,,,
51,trigger.shader.GRAY_SCALE_TINT_CHANNEL,int,color id,,,,
52,trigger.pulse.TARGET_TYPE,int,,,,,channel / group pulse option
53,,,,,,,
54,trigger.teleport.portal.DISTANCE,float,units,,,,"y distance between teleport portal entrance and end position, in units"
55,trigger.teleport.SMOOTH_EASE,bool,,,,,
56,trigger.toggle.ACTIVATE_GROUP,bool,,,,,
56,trigger.toggle_block.ACTIVATE_GROUP,bool,,,,,
56,trigger.on_death.ACTIVATE_GROUP,bool,,,,,
56,trigger.count.ACTIVATE_GROUP,bool,,,,,
56,trigger.instant_count.ACTIVATE_GROUP,bool,,,,,
56,trigger.collision.ACTIVATE_GROUP,bool,,,,,
56,trigger.adv_random.m_56,bool,#N/A,,,,
57,GROUPS,string,groups,,,,
58,trigger.move.LOCK_PLAYER_X,bool,,,,,
58,trigger.player_control.m_58,bool,#N/A,,,,
58,trigger.gameplay_offset.DONT_ZOOM_X,bool,,,,,
59,trigger.move.LOCK_PLAYER_Y,bool,,,,,
59,trigger.end_wall.LOCK_Y,bool,,,,,
59,trigger.player_control.m_59,bool,#N/A,,,,
59,trigger.gameplay_offset.DONT_ZOOM_Y,bool,,,,,
60,trigger.color.COPY_OPACITY,bool,,,,,
61,EDITOR_L2,int,,,,,
62,trigger.SPAWN_TRIGGER,bool,,,,,
63,trigger.spawn.DELAY,float,,,,,
64,DONT_FADE,bool,,,,,
65,trigger.pulse.MAIN_ONLY,bool,,,,,
65,trigger.effect.MAIN_ONLY,bool,,,,,
66,trigger.pulse.DETAIL_ONLY,bool,,,,,
66,trigger.effect.DETAIL_ONLY,bool,,,,,
67,DONT_ENTER,bool,,,,,
68,trigger.rotate.DEGREES,float,,,,,
68,trigger.rotate_camera.DEGREES,float,,,,,
69,trigger.rotate.FULL,int,,,,,
70,trigger.rotate.LOCK_ROTATION,bool,,,,,
70,trigger.rotate_camera.ADD,bool,,,,,
71,trigger.move.TARGET_POS,int,group id,,,,
71,trigger.rotate.CENTER_ID,int,group id,,,,
71,trigger.follow.FOLLOW_TARGET,int,group id,,,,
71,trigger.random.FALSE_ID,int,group id,,,,
