id,alias,name
0,LEVEL_START,
10,portal.GRAVITY_NORMAL,Blue Gravity Portal
11,portal.GRAVITY_INVERTED,Yellow Gravity Portal
12,portal.CUBE,Cube Portal
13,portal.SHIP,Ship Portal
22,trigger.enter_preset.FADE_ONLY,No Enter Effect
23,trigger.enter_preset.FADE_BOTTOM,Fade Bottom Enter Effect
24,trigger.enter_preset.FADE_TOP,Fade Top Enter Effect
25,trigger.enter_preset.FADE_LEFT,Fade Left Enter Effect
26,trigger.enter_preset.FADE_RIGHT,Fade Right Enter Effect
27,trigger.enter_preset.SCALE_UP,Small to Big Enter Effect
28,trigger.enter_preset.SCALE_DOWN,Big to Small Enter Effect
29,trigger.old_color.GROUND,Ground 1 Color Trigger
30,trigger.old_color.BACKGROUND,Background Color Trigger
31,trigger.START_POSITION,start pos
32,trigger.TRAIL_ENABLE,enable trail
33,trigger.TRAIL_DISABLE,disable trail
35,pad.YELLOW,Yellow Jump Pad
36,orb.YELLOW,Yellow Jump Orb
45,portal.MIRROR_ENTER,Orange Mirror Portal
46,portal.MIRROR_EXIT,Blue Mirror Portal
47,portal.BALL,Ball Portal
55,trigger.enter_preset.CHAOTIC,Chaotic Enter Effect
56,trigger.enter_preset.HALF_LEFT,Halve Left Enter Effect
57,trigger.enter_preset.HALF_RIGHT,Halve Right Enter Effect
58,trigger.enter_preset.HALF,Halve Enter Effect
59,trigger.enter_preset.HALF_INVERT,Inverse Halve Enter Effect
67,pad.BLUE,Blue Gravity Pad
84,orb.BLUE,Blue Gravity Orb
99,portal.SIZE_NORMAL,Green Size Portal
101,portal.SIZE_SMALL,Pink Size Portal
104,deprecated.OLD_COLOR_LINE,Old Line Color Trigger
105,trigger.old_color.OUTLINE,Outline Color Trigger
111,portal.UFO,UFO Portal
140,pad.PINK,Pink Jump Pad
141,orb.PINK,Pink Jump Orb
142,collectible.SECRET_COIN,Secret Coin
200,speed.SLOW,Yellow Slow Speed Portal
201,speed.NORMAL,Blue Normal Speed Portal
202,speed.FAST,Green Fast Speed Portal
203,speed.VERY_FAST,Pink Fast Speed Portal
221,deprecated.OLD_COLOR_1,Old Color 1 Trigger
286,portal.DUAL_ENTER,Dual Portal
287,portal.DUAL_EXIT,Exit Dual Portal
660,portal.WAVE,Wave Portal
717,deprecated.OLD_COLOR_2,Old Color 2 Trigger
718,deprecated.OLD_COLOR_3,Old Color 3 Trigger
734,deprecated.OLD_COLOR_4,Old Color 4 Trigger
744,trigger.COLOR,3DL Color Trigger
745,portal.ROBOT,Robot Portal
747,portal.teleport.LINKED,Linked Teleport Portals
899,trigger.COLOR,Color Trigger
900,trigger.old_color.GROUND_2,Ground 2 Color Trigger
901,trigger.MOVE,Move Trigger
914,TEXT,Text
915,trigger.old_color.LINE,Line Color Trigger
1006,trigger.PULSE,Pulse Trigger
1007,trigger.ALPHA,Alpha Trigger
1022,orb.GREEN,Green Gravity Orb
1049,trigger.TOGGLE,Toggle Trigger
1268,trigger.SPAWN,Spawn Trigger
1275,collectible.KEY,Key Collectable
1329,collectible.USER_COIN,User Coin
1330,orb.BLACK,Black Drop Orb
1331,portal.SPIDER,Spider Portal
1332,pad.RED,Red Jump Pad
1333,orb.RED,Red Jump Orb
1334,speed.SUPER_FAST,Red Fast Speed Portal
1346,trigger.ROTATE,Rotate Trigger
1347,trigger.FOLLOW,Follow Trigger
1520,trigger.SHAKE,Shake Trigger
1585,trigger.ANIMATE,Animate Trigger
1594,orb.TOGGLE,Toggle Orb
1595,trigger.TOUCH,Touch Trigger
1611,trigger.COUNT,Count Trigger
1612,trigger.PLAYER_HIDE,Hide Player Trigger
1613,trigger.PLAYER_SHOW,Show Player Trigger
1614,collectible.SMALL_COIN,Small Coin Collectable
1615,ITEM_LABEL,item label
1616,trigger.STOP,Stop Trigger
1704,orb.DASH_GREEN,Green Dash Orb
1751,orb.DASH_PINK,Pink Gravity Dash Orb
1755,modifier.WAVE_COLLISION,Allow Wave Drag Modifier
1811,trigger.INSTANT_COUNT,Instant Count Trigger
1812,trigger.ON_DEATH,On Death Trigger
1813,modifier.STOP_JUMP,Stop Jump Buffer Modifier
1814,trigger.FOLLOW_PLAYER_Y,Follow Player Y Trigger
1815,trigger.COLLISION,Collision Trigger
1816,trigger.COLLISION_BLOCK,collision block
1817,trigger.PICKUP,Pickup Trigger
1818,trigger.BG_EFFECT_ENABLE,Background Effect On Trigger
1819,trigger.BG_EFFECT_DISABLE,Background Effect Off Trigger
1829,modifier.STOP_DASH,Stop Dash Modifier
1859,modifier.HEAD_COLLISION,Allow Head Collision Modifier
1912,trigger.RANDOM,Random Trigger
