Here's the classification of each citation based on the provided criteria:

```csv
citation_num,web,mcp_m,mcp_u
1,PM,PM,PM
2,PM,PM,PM
3,NF,PM,PM
4,NF,PM,WP
5,PM,PM,PM
6,WP,PM,PM
7,IA,PM,PM
8,NF,PM,PM
9,NF,PM,PM
10,NF,WP,WP
11,IM,PM,PM
12,IM,PM,PM
13,PM,WP,NF
14,PM,PM,PM
15,NF,PM,NF
16,WP,PM,PM
17,IM,PM,NF
18,NF,PM,PM
19,PM,PM,PM
20,WP,PM,PM
21,WP,WP,NF
22,CM,NF,PM
23,NF,WP,WP
24,PM,PM,PM
25,PM,PM,PM
26,NF,PM,PM
27,NF,PM,PM
28,NF,PM,PM
29,NF,PM,WP
30,NF,PM,PM
31,IA,PM,WP
32,IA,PM,PM
33,IM,PM,PM
34,IM,PM,PM
35,IM,PM,PM
36,NF,WP,WP
37,IM,PM,PM
38,PM,PM,WP
39,NF,PM,PM
40,NF,PM,NF
41,NF,PM,PM
42,IM,PM,PM
43,WP,PM,PM
44,NF,PM,PM
45,WP,WP,WP
46,NF,PM,PM
47,NF,PM,PM
48,NF,WP,WP
49,PM,PM,PM
50,NF,PM,PM
51,PM,PM,PM
52,IM,PM,PM
53,PM,PM,PM
54,NF,PM,PM
55,NF,PM,PM
56,NF,PM,WP
57,IA,PM,PM
58,NF,PM,PM
59,PM,PM,PM
60,NF,PM,PM
61,PM,PM,PM
62,NF,PM,WP
63,NF,PM,PM
64,IA,PM,PM
65,PM,PM,PM
66,CM,PM,PM
67,IM,PM,PM
68,PM,PM,PM
69,NF,WP,PM
70,NF,WP,WP
71,NF,PM,PM
72,PM,PM,PM
73,NF,PM,PM
74,NF,WP,NF
75,PM,PM,PM
76,NF,WP,PM
77,NF,WP,PM
78,PM,PM,PM
79,NF,PM,PM
80,NF,NF,WP
81,NF,WP,WP
82,PM,PM,PM
83,NF,WP,NF
84,IM,PM,PM
85,IM,PM,PM
86,IM,PM,PM
87,WP,WP,PM
88,NF,WP,PM
89,NF,WP,WP
90,IM,PM,PM
91,IM,PM,PM
92,NF,WP,PM
93,NF,WP,WP
94,PM,PM,PM
95,IM,PM,PM
96,PM,PM,PM
97,NF,PM,PM
98,NF,PM,PM
99,NF,PM,PM
100,PM,PM,PM
101,PM,PM,PM
102,NF,WP,NF
103,NF,WP,NF
104,IM,PM,PM
```
