	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0491	0.0607	0.0556	0.0482	0.0432	0.0456	0.0585	0.0593	0.0605	0.0687	0.0636	0.0636	0.0598	0.0544	0.0426	0.0475	0.0655	0.0633	0.0522	0.05	0.0489	0.0489	0.0859
-4	0.0563	0.0779	0.07	0.057	0.0407	0.0369	0.0547	0.0611	0.0611	0.0661	0.063	0.063	0.0623	0.0411	0.0342	0.0344	0.063	0.0424	0.0643	0.0705	0.0526	0.0526	0.1017
-3	0.051	0.0547	0.0478	0.0522	0.0513	0.0448	0.0524	0.0457	0.0481	0.0657	0.0802	0.0802	0.0732	0.0459	0.0244	0.0298	0.039	0.0568	0.0842	0.105	0.0918	0.0918	0.1252
-2	0.0673	0.0702	0.0583	0.0593	0.0529	0.0509	0.06	0.0566	0.0687	0.051	0.0473	0.0473	0.0527	0.0509	0.0344	0.0365	0.061	0.0545	0.056	0.0708	0.0674	0.0674	0.1227
-1	0.0333	0.0152	0.0288	0.0364	0.024	0.0436	0.1218	0.2236	0.1338	0.0585	0.072	0.072	0.0464	0.0399	0.0152	0.0127	0.0229	0.0343	0.0428	0.0315	0.0848	0.0848	0.505
1	0.0185	0.0419	0.0805	0.0677	0.0718	0.0606	0.1043	0.0593	0.0474	0.1009	0.0485	0.0485	0.0545	0.0262	0.0116	0.0122	0.0528	0.0184	0.0438	0.147	0.2024	0.2024	0.1933
2	0.0357	0.0207	0.0297	0.0523	0.0455	0.0482	0.0701	0.0723	0.0868	0.0753	0.0877	0.0877	0.2053	0.0236	0.0164	0.0211	0.0307	0.0471	0.0397	0.0441	0.0752	0.0752	0.0703
3	0.02	0.0194	0.0238	0.0688	0.0268	0.0359	0.1399	0.1808	0.0807	0.1216	0.0735	0.0735	0.1451	0.0418	0.0117	0.014	0.0207	0.0152	0.0131	0.0161	0.0192	0.0192	0.0396
4	0.0469	0.0561	0.0454	0.0541	0.0513	0.0462	0.0609	0.0693	0.0442	0.0932	0.0596	0.0596	0.1189	0.0531	0.0329	0.0525	0.0477	0.0316	0.0345	0.0557	0.036	0.036	0.0632
5	0.08	0.0449	0.0656	0.0577	0.0433	0.0575	0.0704	0.0685	0.0752	0.0842	0.0949	0.0949	0.078	0.0688	0.0219	0.0298	0.0372	0.0329	0.0261	0.0208	0.0171	0.0171	0.0198
