	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.058	0.0617	0.0603	0.0661	0.07	0.0715	0.0566	0.058	0.0539	0.0558	0.0664	0.0664	0.0642	0.0659	0.0589	0.0609	0.0647	0.0658	0.0804	0.0685	0.0795	0.0795	0.0918
-4	0.0566	0.0603	0.0604	0.0648	0.0685	0.0719	0.0569	0.0538	0.056	0.0563	0.0706	0.0706	0.0713	0.0712	0.0547	0.0575	0.0617	0.0583	0.0819	0.0724	0.0765	0.0765	0.125
-3	0.0537	0.0634	0.0592	0.0646	0.0925	0.0961	0.0574	0.0534	0.0533	0.055	0.0618	0.0618	0.0602	0.0685	0.0545	0.0647	0.0632	0.0688	0.0832	0.0795	0.0764	0.0764	0.1435
-2	0.0515	0.0646	0.0593	0.0599	0.0939	0.0974	0.0458	0.0471	0.0658	0.0606	0.0678	0.0678	0.0663	0.068	0.0663	0.0655	0.0632	0.0626	0.0782	0.0674	0.0843	0.0843	0.1028
-1	0.0453	0.0915	0.055	0.054	0.1	0.1374	0.0488	0.048	0.052	0.0526	0.0472	0.0472	0.0527	0.0497	0.0442	0.0575	0.0575	0.0675	0.1403	0.0902	0.2053	0.2053	0.1588
1	0.0767	0.0579	0.0554	0.065	0.1754	0.2389	0.0787	0.0637	0.0684	0.066	0.0599	0.0599	0.0505	0.0642	0.0692	0.0748	0.0573	0.056	0.0522	0.0491	0.1291	0.1291	0.0927
2	0.0613	0.0577	0.0585	0.0608	0.0976	0.1162	0.0647	0.0606	0.054	0.0571	0.0532	0.0532	0.0493	0.0616	0.0561	0.0619	0.0621	0.0678	0.084	0.0901	0.1064	0.1064	0.1254
3	0.0655	0.0642	0.0571	0.0594	0.1396	0.1798	0.0651	0.0639	0.0517	0.0567	0.0595	0.0595	0.0547	0.0622	0.0604	0.0711	0.0612	0.0628	0.0736	0.0704	0.0867	0.0867	0.0732
4	0.067	0.0651	0.0611	0.0642	0.2534	0.2344	0.0607	0.0628	0.0521	0.0573	0.06	0.06	0.0575	0.0677	0.0648	0.0686	0.0598	0.0628	0.0657	0.067	0.0877	0.0877	0.0796
5	0.0721	0.0671	0.0567	0.0563	0.1633	0.1794	0.0612	0.06	0.0526	0.0547	0.0592	0.0592	0.055	0.066	0.0665	0.0766	0.0607	0.0619	0.0648	0.0649	0.0702	0.0702	0.0653
