	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0585	0.0639	0.0584	0.0632	0.0574	0.0447	0.0523	0.0591	0.0548	0.0527	0.0689	0.0689	0.1015	0.0681	0.0714	0.0837	0.0536	0.0564	0.0461	0.0508	0.0439	0.0439	0.0465
-4	0.066	0.0673	0.0659	0.0618	0.0599	0.0512	0.0505	0.048	0.0521	0.0523	0.064	0.064	0.0888	0.0596	0.0813	0.088	0.0625	0.0553	0.0508	0.0477	0.06	0.06	0.0417
-3	0.0639	0.0649	0.0566	0.066	0.072	0.0591	0.0512	0.0417	0.054	0.0501	0.0757	0.0757	0.0789	0.0597	0.0727	0.0888	0.0704	0.0804	0.0486	0.0425	0.0397	0.0397	0.0839
-2	0.0681	0.0637	0.0586	0.0698	0.0669	0.0676	0.0538	0.0533	0.0514	0.0521	0.0677	0.0677	0.0818	0.0637	0.0832	0.0822	0.0529	0.0788	0.0459	0.0431	0.0415	0.0415	0.0555
-1	0.0697	0.0821	0.0598	0.066	0.0646	0.0576	0.0506	0.047	0.0489	0.0496	0.0531	0.0531	0.0864	0.0665	0.0797	0.0955	0.0555	0.0629	0.0507	0.042	0.044	0.044	0.1008
1	0.0693	0.0762	0.0539	0.0554	0.0596	0.0564	0.0445	0.0481	0.0461	0.0501	0.0549	0.0549	0.0839	0.0666	0.0843	0.0997	0.0601	0.0682	0.0485	0.0455	0.0471	0.0471	0.0476
2	0.053	0.0462	0.0543	0.0565	0.0589	0.0588	0.0612	0.0533	0.0535	0.0579	0.075	0.075	0.0854	0.0668	0.0932	0.102	0.0575	0.0575	0.0414	0.0418	0.0321	0.0321	0.041
3	0.0606	0.0596	0.059	0.0601	0.0644	0.058	0.0489	0.0508	0.0518	0.0622	0.0757	0.0757	0.096	0.0691	0.0875	0.0869	0.054	0.0591	0.0375	0.0412	0.0325	0.0325	0.043
4	0.0544	0.0618	0.0676	0.0635	0.0701	0.0644	0.0567	0.0564	0.0627	0.0608	0.0767	0.0767	0.1027	0.0687	0.0855	0.0778	0.0462	0.0498	0.0383	0.034	0.0372	0.0372	0.0381
5	0.0556	0.0619	0.0513	0.0487	0.0522	0.0533	0.0471	0.0467	0.0516	0.0523	0.0736	0.0736	0.139	0.0663	0.0914	0.0895	0.0531	0.0524	0.035	0.0333	0.0256	0.0256	0.0324
