	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0653	0.073	0.0562	0.0463	0.0475	0.0448	0.0433	0.0516	0.0499	0.0505	0.0441	0.0441	0.0451	0.0599	0.0469	0.0481	0.0573	0.0609	0.0788	0.0769	0.0719	0.0719	0.0758
-4	0.061	0.0678	0.0633	0.0535	0.0472	0.0358	0.0412	0.0406	0.0449	0.0426	0.0489	0.0489	0.0567	0.0543	0.0388	0.0371	0.0595	0.0574	0.0913	0.1117	0.1027	0.1027	0.1359
-3	0.0479	0.0607	0.0525	0.0735	0.0594	0.0491	0.038	0.0348	0.0355	0.0463	0.0396	0.0396	0.0441	0.0557	0.0341	0.0405	0.0501	0.0694	0.1021	0.1402	0.1023	0.1023	0.1493
-2	0.066	0.06	0.059	0.1212	0.0594	0.0556	0.0694	0.0501	0.0466	0.0379	0.0329	0.0329	0.0355	0.0585	0.0385	0.0365	0.0615	0.0585	0.0768	0.0973	0.072	0.072	0.0993
-1	0.0361	0.0223	0.0325	0.0383	0.026	0.0537	0.0769	0.1052	0.0624	0.046	0.0506	0.0506	0.0529	0.0547	0.0173	0.0162	0.0359	0.0573	0.1412	0.1129	0.0717	0.0717	0.3979
1	0.0272	0.021	0.045	0.0594	0.0444	0.0448	0.0968	0.1001	0.0692	0.085	0.1079	0.1079	0.1232	0.0861	0.0161	0.0254	0.0377	0.0189	0.0195	0.0314	0.0459	0.0459	0.2138
2	0.0393	0.0239	0.0346	0.045	0.048	0.0519	0.0668	0.067	0.0583	0.0609	0.0652	0.0652	0.0981	0.0489	0.0206	0.0297	0.0392	0.058	0.0777	0.1119	0.1086	0.1086	0.3428
3	0.0495	0.0345	0.0318	0.0482	0.0322	0.0381	0.1064	0.1358	0.1128	0.0849	0.0786	0.0786	0.0834	0.0426	0.015	0.0202	0.0291	0.0236	0.0455	0.0359	0.0406	0.0406	0.0687
4	0.0759	0.0672	0.0457	0.0576	0.0521	0.0489	0.0454	0.0483	0.0467	0.0597	0.0503	0.0503	0.0794	0.0625	0.0334	0.0434	0.0522	0.0485	0.0632	0.077	0.0558	0.0558	0.0747
5	0.0427	0.0385	0.1631	0.0732	0.0509	0.0347	0.045	0.0417	0.0512	0.0467	0.0671	0.0671	0.0776	0.053	0.0507	0.048	0.0515	0.0462	0.0517	0.0394	0.0417	0.0417	0.0456
