	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0642	0.0688	0.0597	0.0618	0.0614	0.0557	0.0477	0.0466	0.0454	0.0501	0.0711	0.0711	0.0635	0.0774	0.0714	0.0695	0.0585	0.0596	0.0777	0.0688	0.111	0.111	0.104
-4	0.0561	0.0686	0.0569	0.0764	0.0542	0.0554	0.0438	0.0408	0.0433	0.0498	0.0597	0.0597	0.084	0.0698	0.0633	0.0685	0.0638	0.0581	0.0874	0.0861	0.1163	0.1163	0.1651
-3	0.0488	0.0643	0.0562	0.0714	0.0675	0.0567	0.0371	0.0374	0.0456	0.0456	0.0631	0.0631	0.0632	0.0761	0.0533	0.0632	0.0656	0.0733	0.1036	0.1037	0.1279	0.1279	0.1951
-2	0.0676	0.0692	0.0553	0.0605	0.071	0.0648	0.0409	0.0373	0.0396	0.0435	0.0498	0.0498	0.0452	0.0668	0.0629	0.0705	0.0711	0.0727	0.1094	0.0981	0.0887	0.0887	0.1438
-1	0.0328	0.0279	0.031	0.0434	0.0289	0.0441	0.0467	0.0592	0.0399	0.0349	0.0575	0.0575	0.0406	0.0736	0.027	0.0286	0.0507	0.0725	0.2233	0.1538	0.1595	0.1595	0.1588
1	0.026	0.0299	0.039	0.0727	0.0419	0.0617	0.1209	0.084	0.0546	0.0628	0.1438	0.1438	0.1021	0.0862	0.0427	0.0547	0.0598	0.0333	0.0299	0.0305	0.0592	0.0592	0.1614
2	0.0359	0.0274	0.0431	0.0522	0.0577	0.0692	0.0479	0.0436	0.0538	0.0542	0.0865	0.0865	0.0822	0.0731	0.0753	0.0955	0.0579	0.0743	0.0931	0.0562	0.1271	0.1271	0.173
3	0.0638	0.0395	0.0377	0.0632	0.0436	0.0416	0.0679	0.0911	0.1018	0.0999	0.1246	0.1246	0.0793	0.0437	0.0391	0.0455	0.0427	0.0472	0.0398	0.0364	0.0493	0.0493	0.055
4	0.0877	0.0528	0.0498	0.0557	0.0605	0.0518	0.0426	0.0443	0.0492	0.05	0.0613	0.0613	0.0615	0.0815	0.0868	0.0914	0.055	0.0664	0.0686	0.051	0.0677	0.0677	0.038
5	0.0797	0.057	0.0451	0.0655	0.0519	0.0524	0.0452	0.0399	0.0528	0.0492	0.0706	0.0706	0.07	0.0731	0.0795	0.0782	0.0684	0.0697	0.0633	0.0583	0.0602	0.0602	0.0424
