	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0646	0.0748	0.0684	0.0587	0.0656	0.0608	0.0482	0.046	0.0496	0.0518	0.0639	0.0639	0.0743	0.0701	0.0702	0.0713	0.0607	0.0591	0.0683	0.0588	0.0545	0.0545	0.0516
-4	0.0693	0.0667	0.0669	0.0684	0.0671	0.0524	0.0437	0.0426	0.0454	0.053	0.0654	0.0654	0.0745	0.0649	0.0569	0.0721	0.0694	0.065	0.0677	0.0765	0.0634	0.0634	0.0634
-3	0.0667	0.0671	0.0635	0.0628	0.0754	0.0666	0.045	0.0395	0.0442	0.045	0.0601	0.0601	0.0685	0.0691	0.0536	0.0632	0.0717	0.0881	0.0814	0.0734	0.0728	0.0728	0.0823
-2	0.0668	0.0774	0.0608	0.0635	0.0764	0.0618	0.042	0.0373	0.0538	0.0537	0.0524	0.0524	0.0682	0.0641	0.0614	0.0688	0.0816	0.0821	0.0639	0.0657	0.0625	0.0625	0.0659
-1	0.0474	0.0437	0.053	0.0613	0.0519	0.0584	0.0526	0.0511	0.0431	0.037	0.0477	0.0477	0.0494	0.0605	0.0308	0.0344	0.0546	0.0818	0.1873	0.1256	0.1391	0.1391	0.1483
1	0.0285	0.0225	0.0551	0.0539	0.0436	0.0456	0.1033	0.0733	0.0548	0.0661	0.1386	0.1386	0.1416	0.0903	0.0273	0.0416	0.0649	0.0337	0.0274	0.0311	0.0391	0.0391	0.065
2	0.0591	0.0333	0.0483	0.0586	0.053	0.0564	0.0504	0.0403	0.0624	0.0759	0.073	0.073	0.1405	0.0615	0.0512	0.0547	0.0635	0.073	0.0609	0.0521	0.0748	0.0748	0.0578
3	0.0483	0.0402	0.0449	0.0622	0.0572	0.0716	0.0747	0.096	0.1071	0.094	0.074	0.074	0.0855	0.0746	0.0496	0.0641	0.0552	0.0437	0.0268	0.0214	0.0245	0.0245	0.023
4	0.0638	0.0675	0.0583	0.0633	0.0694	0.0607	0.0512	0.0422	0.0524	0.0552	0.0669	0.0669	0.0818	0.0631	0.0804	0.0812	0.0764	0.0603	0.0564	0.0429	0.033	0.033	0.0364
5	0.076	0.0686	0.0677	0.0645	0.0876	0.06	0.0448	0.0413	0.0482	0.0532	0.0546	0.0546	0.0641	0.0604	0.0777	0.091	0.0708	0.0764	0.0525	0.0527	0.0427	0.0427	0.0453
