	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0614	0.0661	0.057	0.0578	0.0463	0.0473	0.0461	0.058	0.0534	0.0512	0.0575	0.0575	0.0638	0.0533	0.0551	0.0611	0.0522	0.0609	0.0583	0.051	0.0463	0.0463	0.0624
-4	0.0739	0.0745	0.0656	0.0591	0.0436	0.0374	0.0457	0.0522	0.0615	0.0491	0.0597	0.0597	0.0593	0.0474	0.0486	0.0525	0.058	0.0429	0.0647	0.0636	0.0487	0.0487	0.0601
-3	0.0639	0.0529	0.0454	0.0557	0.0487	0.0497	0.0487	0.0599	0.0524	0.0507	0.082	0.082	0.0755	0.0588	0.0328	0.0422	0.0392	0.0553	0.0622	0.0796	0.0429	0.0429	0.0569
-2	0.0839	0.0638	0.0673	0.053	0.0701	0.0511	0.052	0.0489	0.047	0.0368	0.0415	0.0415	0.0372	0.0433	0.0514	0.0583	0.0606	0.0547	0.0594	0.0727	0.0487	0.0487	0.0498
-1	0.0192	0.014	0.0274	0.0359	0.0254	0.0614	0.0612	0.1448	0.113	0.0485	0.0511	0.0511	0.0316	0.0347	0.0167	0.0272	0.0244	0.1106	0.1119	0.0772	0.1148	0.1148	0.1077
1	0.0113	0.0264	0.0907	0.0561	0.0403	0.0446	0.1125	0.0919	0.0503	0.0786	0.0367	0.0367	0.0587	0.0275	0.0151	0.0199	0.0602	0.0238	0.0447	0.1668	0.0997	0.0997	0.1101
2	0.0338	0.0217	0.0388	0.0546	0.0427	0.0552	0.0577	0.058	0.0497	0.052	0.0729	0.0729	0.1024	0.0509	0.029	0.0513	0.0412	0.0672	0.0762	0.0993	0.1174	0.1174	0.3722
3	0.0517	0.0258	0.0343	0.0553	0.0298	0.0342	0.1137	0.1538	0.1094	0.0639	0.0946	0.0946	0.0861	0.0475	0.0183	0.0253	0.0385	0.0266	0.0245	0.0221	0.0306	0.0306	0.0481
4	0.0779	0.067	0.0439	0.0554	0.0474	0.0502	0.0407	0.0405	0.0399	0.0574	0.0599	0.0599	0.1052	0.0719	0.0456	0.057	0.0432	0.044	0.052	0.0563	0.0473	0.0473	0.0633
5	0.0911	0.0623	0.0577	0.0654	0.0552	0.0562	0.0443	0.0454	0.057	0.0549	0.0628	0.0628	0.066	0.0529	0.045	0.0477	0.0435	0.0453	0.0545	0.058	0.0362	0.0362	0.0481
