	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0668	0.0689	0.0646	0.052	0.0564	0.0539	0.0485	0.0448	0.052	0.0536	0.0454	0.0454	0.0283	0.0597	0.06	0.0662	0.0594	0.0606	0.0575	0.0535	0.0507	0.0507	0.0658
-4	0.068	0.0758	0.0687	0.0518	0.0478	0.0442	0.0561	0.0443	0.0547	0.0491	0.039	0.039	0.0345	0.0496	0.0485	0.053	0.0655	0.0502	0.0667	0.0843	0.0618	0.0618	0.0925
-3	0.0634	0.0642	0.0568	0.0527	0.0591	0.0584	0.0485	0.0273	0.0491	0.0515	0.0442	0.0442	0.0444	0.0511	0.0439	0.0452	0.0541	0.0655	0.0672	0.1061	0.0837	0.0837	0.1313
-2	0.0714	0.0705	0.0625	0.0594	0.0622	0.0662	0.0777	0.0491	0.056	0.0433	0.0341	0.0341	0.0315	0.0519	0.0483	0.0459	0.0602	0.0533	0.0472	0.0686	0.0541	0.0541	0.077
-1	0.03	0.0279	0.039	0.0437	0.0262	0.0505	0.1007	0.1852	0.0857	0.0587	0.0442	0.0442	0.0287	0.0905	0.0223	0.0226	0.0414	0.0305	0.0492	0.0667	0.0436	0.0436	0.1861
1	0.0102	0.0754	0.1742	0.0598	0.0647	0.0468	0.0572	0.0225	0.0453	0.0637	0.0478	0.0478	0.0699	0.0651	0.0325	0.0538	0.0627	0.025	0.0347	0.0486	0.0426	0.0426	0.0816
2	0.0566	0.0349	0.0689	0.0789	0.0736	0.0758	0.077	0.0582	0.0534	0.053	0.0542	0.0542	0.0532	0.0416	0.0453	0.068	0.05	0.056	0.0285	0.0516	0.0512	0.0512	0.0984
3	0.1524	0.0757	0.0495	0.074	0.0652	0.0711	0.0577	0.0632	0.0828	0.0491	0.0712	0.0712	0.0802	0.0452	0.0224	0.0351	0.0233	0.0344	0.0128	0.0088	0.0219	0.0219	0.0258
4	0.0462	0.0745	0.0526	0.0584	0.0563	0.0522	0.0514	0.0429	0.051	0.0664	0.0645	0.0645	0.06	0.0647	0.0647	0.0757	0.0607	0.0499	0.0322	0.0342	0.0217	0.0217	0.0306
5	0.0769	0.0707	0.0624	0.0493	0.0591	0.0661	0.0553	0.0378	0.0548	0.0603	0.0392	0.0392	0.0413	0.0613	0.0652	0.0756	0.0526	0.0512	0.0362	0.0339	0.0254	0.0254	0.0337
