	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0718	0.0666	0.0607	0.0587	0.0571	0.056	0.0477	0.0435	0.0454	0.0505	0.0535	0.0535	0.0524	0.0555	0.0545	0.0484	0.0517	0.0622	0.0635	0.0591	0.0531	0.0531	0.0556
-4	0.0746	0.0684	0.0597	0.0621	0.0539	0.05	0.0481	0.047	0.0476	0.0479	0.0456	0.0456	0.0569	0.0513	0.0488	0.0434	0.0512	0.052	0.0721	0.0817	0.062	0.062	0.0645
-3	0.0652	0.0705	0.0568	0.0589	0.0631	0.0624	0.0415	0.035	0.0424	0.0419	0.0412	0.0412	0.0414	0.0541	0.0406	0.0437	0.0593	0.067	0.0755	0.0984	0.0667	0.0667	0.0616
-2	0.0887	0.068	0.0644	0.0563	0.0664	0.0601	0.0522	0.0463	0.0529	0.0421	0.0343	0.0343	0.0319	0.0551	0.0417	0.0469	0.0575	0.0647	0.0615	0.0652	0.0553	0.0553	0.0562
-1	0.0585	0.0364	0.0491	0.048	0.0382	0.0601	0.0621	0.0901	0.0683	0.0506	0.0575	0.0575	0.0377	0.0984	0.0297	0.0264	0.051	0.0639	0.0629	0.0591	0.0565	0.0565	0.1041
1	0.0314	0.0247	0.0495	0.0493	0.04	0.0521	0.0868	0.0927	0.0721	0.0669	0.1051	0.1051	0.0668	0.0967	0.0375	0.0414	0.0541	0.0285	0.0184	0.0355	0.041	0.041	0.0893
2	0.047	0.0282	0.0489	0.0548	0.0496	0.0619	0.0619	0.058	0.0669	0.0584	0.0603	0.0603	0.0827	0.0552	0.0528	0.0726	0.055	0.0536	0.0354	0.0514	0.0648	0.0648	0.0696
3	0.063	0.0352	0.0356	0.0448	0.0336	0.0476	0.0819	0.1191	0.1073	0.0927	0.1094	0.1094	0.0506	0.048	0.0351	0.0516	0.0288	0.0291	0.0178	0.0137	0.0129	0.0129	0.0189
4	0.0512	0.0637	0.0532	0.0502	0.0566	0.0577	0.0473	0.0495	0.0485	0.0589	0.0704	0.0704	0.0562	0.0638	0.0561	0.0755	0.0536	0.0542	0.0399	0.0436	0.024	0.024	0.0388
5	0.0743	0.0796	0.0485	0.0574	0.0687	0.0596	0.042	0.0434	0.0383	0.0515	0.0543	0.0543	0.0516	0.0582	0.0583	0.0669	0.0517	0.06	0.0469	0.0462	0.0315	0.0315	0.043
