	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0596	0.0692	0.0551	0.0549	0.0489	0.0446	0.0473	0.053	0.0556	0.0534	0.0549	0.0549	0.0558	0.0549	0.0441	0.0483	0.053	0.0611	0.0745	0.0668	0.0664	0.0664	0.0937
-4	0.0613	0.0609	0.0636	0.0579	0.0459	0.0373	0.0458	0.0445	0.0551	0.0475	0.0562	0.0562	0.0658	0.0428	0.0438	0.0424	0.0599	0.051	0.0876	0.0885	0.0783	0.0783	0.121
-3	0.0519	0.0572	0.0499	0.0613	0.0553	0.052	0.0389	0.0334	0.0415	0.0431	0.0471	0.0471	0.0468	0.0527	0.0312	0.0326	0.049	0.0669	0.1176	0.133	0.0894	0.0894	0.1215
-2	0.0616	0.0607	0.0599	0.0562	0.0625	0.0513	0.0544	0.0479	0.0462	0.0456	0.0354	0.0354	0.0393	0.0451	0.0336	0.0319	0.0625	0.059	0.0964	0.1067	0.0871	0.0871	0.1143
-1	0.0401	0.027	0.0355	0.0433	0.0303	0.0435	0.0642	0.0983	0.0592	0.0421	0.0398	0.0398	0.0332	0.0549	0.0175	0.0176	0.0427	0.0606	0.163	0.1305	0.1141	0.1141	0.2946
1	0.0174	0.0137	0.0442	0.0424	0.0424	0.0608	0.1467	0.103	0.0549	0.0459	0.1133	0.1133	0.1027	0.0779	0.0145	0.0166	0.0446	0.0213	0.0276	0.0527	0.0782	0.0782	0.6592
2	0.0346	0.0234	0.038	0.0549	0.0468	0.0504	0.0586	0.062	0.0536	0.057	0.0686	0.0686	0.1088	0.0464	0.0277	0.038	0.0503	0.0559	0.0718	0.1081	0.0833	0.0833	0.2951
3	0.0457	0.0491	0.039	0.0688	0.0439	0.0531	0.0818	0.0958	0.0838	0.0568	0.059	0.059	0.0761	0.049	0.0189	0.0369	0.0523	0.0339	0.0647	0.06	0.0442	0.0442	0.0511
4	0.0609	0.0664	0.0524	0.0576	0.0517	0.0535	0.0489	0.0457	0.042	0.0617	0.0537	0.0537	0.0624	0.0603	0.0497	0.0544	0.0538	0.0435	0.0603	0.0786	0.0568	0.0568	0.0806
5	0.092	0.0615	0.0599	0.0514	0.0632	0.0507	0.0499	0.0436	0.051	0.0501	0.059	0.059	0.0545	0.0502	0.0519	0.0459	0.0459	0.0489	0.0625	0.0591	0.0599	0.0599	0.056
