	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0582	0.0701	0.0612	0.0633	0.0474	0.0477	0.0622	0.0625	0.0697	0.0615	0.0695	0.0695	0.0836	0.0464	0.0669	0.0699	0.0536	0.053	0.0582	0.0536	0.0643	0.0643	0.0762
-4	0.0598	0.0744	0.0557	0.07	0.0407	0.0415	0.0545	0.0726	0.0631	0.0587	0.0678	0.0678	0.0709	0.0486	0.0593	0.0885	0.0568	0.0449	0.051	0.0733	0.0539	0.0539	0.0803
-3	0.0619	0.0652	0.0504	0.0585	0.057	0.0545	0.0693	0.0768	0.0684	0.0655	0.0776	0.0776	0.0752	0.0462	0.068	0.0745	0.0427	0.0504	0.0522	0.0556	0.0802	0.0802	0.1086
-2	0.056	0.1029	0.0592	0.0698	0.1185	0.0813	0.0616	0.0628	0.0577	0.0494	0.0578	0.0578	0.0598	0.0567	0.0692	0.1025	0.0489	0.0666	0.0395	0.0495	0.0748	0.0748	0.092
-1	0.0451	0.0415	0.0431	0.0653	0.0402	0.0381	0.0664	0.0687	0.0963	0.0721	0.1346	0.1346	0.0701	0.0624	0.0557	0.0584	0.0338	0.0868	0.0371	0.028	0.0518	0.0518	0.4317
1	0.0358	0.0618	0.038	0.0509	0.0378	0.0393	0.049	0.06	0.0488	0.0534	0.0597	0.0597	0.0541	0.0442	0.0859	0.25	0.0546	0.057	0.0212	0.0266	0.0584	0.0584	0.0636
2	0.0353	0.0439	0.0432	0.0583	0.0597	0.0481	0.0579	0.0641	0.0582	0.0637	0.0816	0.0816	0.0844	0.0422	0.1168	0.1462	0.0527	0.0538	0.0269	0.0292	0.0477	0.0477	0.0646
3	0.0383	0.0467	0.0336	0.0617	0.0444	0.0394	0.056	0.072	0.0485	0.0555	0.0583	0.0583	0.0539	0.056	0.1293	0.2072	0.0465	0.0445	0.0256	0.028	0.0352	0.0352	0.0423
4	0.0469	0.057	0.0502	0.0647	0.0604	0.0536	0.0465	0.0483	0.0466	0.0688	0.0505	0.0505	0.0762	0.0574	0.1239	0.1394	0.0606	0.0471	0.0374	0.0431	0.0415	0.0415	0.0516
5	0.047	0.0548	0.0441	0.0588	0.0565	0.0654	0.0421	0.0549	0.0519	0.0561	0.0465	0.0465	0.0506	0.0657	0.1187	0.186	0.0501	0.0555	0.035	0.041	0.0508	0.0508	0.055
