	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0703	0.0766	0.0586	0.0491	0.0529	0.0503	0.0444	0.0431	0.0466	0.0527	0.0497	0.0497	0.0539	0.0555	0.0582	0.0648	0.0504	0.0571	0.0623	0.0525	0.0499	0.0499	0.0614
-4	0.0747	0.0773	0.0653	0.0576	0.0508	0.0386	0.0486	0.0536	0.0443	0.0535	0.0502	0.0502	0.0477	0.0523	0.0529	0.055	0.0621	0.0494	0.0603	0.0634	0.0475	0.0475	0.06
-3	0.0673	0.0548	0.053	0.0526	0.0558	0.0468	0.0458	0.0553	0.0456	0.0445	0.0644	0.0644	0.061	0.0517	0.0375	0.0484	0.048	0.0627	0.0731	0.0844	0.0533	0.0533	0.0651
-2	0.0888	0.0649	0.0702	0.0577	0.0871	0.0479	0.0421	0.0429	0.0464	0.0401	0.0349	0.0349	0.0315	0.0506	0.055	0.0556	0.0627	0.0557	0.0638	0.0596	0.051	0.051	0.0517
-1	0.0285	0.02	0.0328	0.0357	0.0318	0.0601	0.0579	0.106	0.0981	0.0448	0.0519	0.0519	0.0429	0.032	0.0198	0.0216	0.0278	0.1151	0.1322	0.0765	0.0896	0.0896	0.1248
1	0.0177	0.057	0.1117	0.0618	0.0583	0.0463	0.0973	0.0564	0.043	0.0758	0.0362	0.0362	0.0532	0.0268	0.0224	0.0253	0.075	0.0272	0.0544	0.1161	0.0804	0.0804	0.0758
2	0.0456	0.03	0.0517	0.0628	0.052	0.0611	0.076	0.0659	0.053	0.0508	0.0637	0.0637	0.0758	0.0434	0.0419	0.0599	0.057	0.0585	0.0474	0.0661	0.0944	0.0944	0.1996
3	0.0808	0.0385	0.0545	0.0637	0.0525	0.0462	0.096	0.0819	0.0827	0.0693	0.059	0.059	0.0806	0.0602	0.0258	0.0347	0.0491	0.0388	0.0267	0.0227	0.026	0.026	0.04
4	0.0718	0.0645	0.0465	0.0535	0.0541	0.0547	0.044	0.0368	0.044	0.0538	0.0564	0.0564	0.0758	0.0642	0.0504	0.0632	0.0578	0.0526	0.0538	0.0557	0.0475	0.0475	0.0536
5	0.0807	0.0679	0.0549	0.0463	0.0656	0.0582	0.0398	0.0375	0.0428	0.0519	0.0488	0.0488	0.0551	0.0494	0.0533	0.0627	0.0569	0.0572	0.0654	0.0519	0.0379	0.0379	0.0577
