	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0656	0.0751	0.0594	0.0517	0.0452	0.0489	0.0408	0.0536	0.0548	0.0566	0.054	0.054	0.0528	0.0543	0.0398	0.0483	0.0524	0.0678	0.0653	0.0651	0.0541	0.0541	0.0669
-4	0.0636	0.068	0.0616	0.0571	0.0415	0.038	0.0457	0.0501	0.0534	0.0418	0.0736	0.0736	0.0852	0.0507	0.0365	0.0356	0.0561	0.0449	0.064	0.0894	0.0553	0.0553	0.0913
-3	0.0552	0.0602	0.0541	0.054	0.0632	0.0578	0.041	0.0419	0.0402	0.0431	0.0601	0.0601	0.0734	0.0703	0.031	0.0379	0.0439	0.0782	0.0668	0.0814	0.0545	0.0545	0.1033
-2	0.062	0.0663	0.0603	0.054	0.0667	0.0557	0.0483	0.0461	0.0431	0.0363	0.045	0.045	0.0549	0.0609	0.0353	0.0406	0.0615	0.0648	0.0683	0.0839	0.0557	0.0557	0.0904
-1	0.0617	0.0275	0.0435	0.0507	0.0389	0.0435	0.0484	0.0769	0.0688	0.0414	0.0496	0.0496	0.0267	0.0817	0.0083	0.0109	0.042	0.1389	0.1189	0.0724	0.0555	0.0555	0.4051
1	0.015	0.0419	0.0939	0.0705	0.0461	0.0484	0.1081	0.0985	0.0456	0.0848	0.0907	0.0907	0.1026	0.0793	0.0078	0.0096	0.0381	0.0179	0.0272	0.0444	0.0894	0.0894	0.1622
2	0.0486	0.0255	0.0496	0.0585	0.0564	0.0546	0.0542	0.0576	0.0604	0.0598	0.066	0.066	0.0978	0.0493	0.0397	0.0585	0.0569	0.0615	0.0436	0.0601	0.0414	0.0414	0.1008
3	0.0503	0.035	0.0408	0.0699	0.0428	0.0411	0.0911	0.1339	0.114	0.0862	0.0981	0.0981	0.0855	0.0491	0.015	0.0209	0.027	0.0224	0.0259	0.021	0.0208	0.0208	0.0465
4	0.0904	0.076	0.0529	0.0523	0.0483	0.0479	0.0437	0.044	0.04	0.0619	0.0587	0.0587	0.0674	0.0637	0.0375	0.0456	0.0505	0.0475	0.0525	0.0717	0.0508	0.0508	0.0652
5	0.089	0.0621	0.0568	0.0876	0.0534	0.0511	0.0448	0.0521	0.0557	0.0543	0.0669	0.0669	0.0863	0.0674	0.0482	0.0542	0.039	0.0382	0.0388	0.0418	0.0347	0.0347	0.0534
