	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0602	0.088	0.0623	0.0496	0.0471	0.0514	0.0465	0.038	0.0307	0.0526	0.0479	0.0479	0.0347	0.0641	0.0471	0.0452	0.0492	0.0703	0.087	0.0777	0.1622	0.1622	0.1208
-4	0.0977	0.0792	0.0865	0.0556	0.0487	0.0367	0.0375	0.0312	0.0317	0.0344	0.0274	0.0274	0.0347	0.0474	0.0338	0.038	0.0571	0.0457	0.0929	0.1392	0.1432	0.1432	0.1685
-3	0.0588	0.061	0.0537	0.0581	0.0754	0.0537	0.037	0.0327	0.031	0.03	0.0343	0.0343	0.0396	0.0471	0.0354	0.0396	0.056	0.0849	0.1134	0.1164	0.2497	0.2497	0.2394
-2	0.0469	0.0865	0.0499	0.0566	0.0773	0.0701	0.0385	0.023	0.0258	0.0352	0.0273	0.0273	0.0258	0.0556	0.035	0.032	0.081	0.0846	0.0838	0.1218	0.2346	0.2346	0.2012
-1	0.033	0.0414	0.0554	0.0617	0.05	0.058	0.0445	0.0531	0.0442	0.0373	0.0321	0.0321	0.0319	0.0525	0.0276	0.0222	0.0532	0.0665	0.1885	0.1086	0.3659	0.3659	0.9073
1	0.0174	0.0267	0.0591	0.0669	0.0545	0.0725	0.0869	0.0427	0.0423	0.0539	0.0831	0.0831	0.1141	0.0737	0.0307	0.0249	0.0779	0.0353	0.0326	0.0716	0.0974	0.0974	0.8238
2	0.0549	0.0302	0.0456	0.0367	0.0479	0.0601	0.055	0.0402	0.0527	0.046	0.0666	0.0666	0.15	0.043	0.0451	0.0428	0.0633	0.0563	0.0401	0.0602	0.1216	0.1216	0.1454
3	0.1452	0.0468	0.0535	0.0555	0.0605	0.0435	0.0861	0.0619	0.0531	0.1102	0.0514	0.0514	0.0878	0.0526	0.0216	0.024	0.0348	0.0277	0.0241	0.0152	0.0202	0.0202	0.0279
4	0.0984	0.0631	0.0491	0.052	0.0583	0.053	0.0504	0.0304	0.0424	0.0554	0.0393	0.0393	0.0539	0.0671	0.0562	0.0557	0.0712	0.0406	0.0597	0.0558	0.044	0.044	0.0318
5	0.1269	0.0904	0.0737	0.0457	0.0638	0.0692	0.0343	0.0235	0.0305	0.0461	0.0343	0.0343	0.0344	0.0484	0.0477	0.029	0.052	0.0537	0.0709	0.071	0.0862	0.0862	0.0605
