	P	G	A	C	S	T	V	I	L	M	F	Y	W	H	K	R	Q	N	D	E	s	t	y
-5	0.0688	0.073	0.0613	0.0498	0.0435	0.0486	0.0479	0.0494	0.0552	0.0556	0.0572	0.0572	0.0313	0.0552	0.0584	0.0629	0.0605	0.0628	0.0544	0.0541	0.0501	0.0501	0.0532
-4	0.0695	0.0813	0.0709	0.0507	0.0448	0.037	0.0481	0.0467	0.0569	0.0538	0.033	0.033	0.033	0.0495	0.0506	0.0665	0.0647	0.0514	0.0623	0.08	0.0501	0.0501	0.063
-3	0.0733	0.0709	0.0561	0.0598	0.0644	0.0648	0.0446	0.0268	0.0479	0.0537	0.0465	0.0465	0.0413	0.0486	0.0414	0.0431	0.053	0.067	0.0703	0.0863	0.0613	0.0613	0.0813
-2	0.0658	0.0904	0.0589	0.0606	0.0742	0.0611	0.0468	0.0296	0.0432	0.0378	0.0364	0.0364	0.0269	0.0549	0.0527	0.0604	0.066	0.07	0.0537	0.0713	0.0508	0.0508	0.0663
-1	0.0267	0.0166	0.0395	0.0424	0.0287	0.0522	0.0764	0.1317	0.1493	0.0635	0.0974	0.0974	0.0509	0.0778	0.0242	0.0244	0.035	0.0468	0.0328	0.026	0.0399	0.0399	0.1256
1	0.0095	0.0477	0.115	0.0726	0.0737	0.0723	0.085	0.0393	0.0462	0.0776	0.0561	0.0561	0.0744	0.044	0.0139	0.0196	0.0579	0.0248	0.0494	0.0937	0.105	0.105	0.1088
2	0.038	0.0178	0.0483	0.054	0.0403	0.054	0.0737	0.0746	0.0781	0.0667	0.0912	0.0912	0.1374	0.0382	0.033	0.0377	0.0386	0.0427	0.0334	0.0563	0.0654	0.0654	0.1454
3	0.0651	0.035	0.0321	0.0715	0.0312	0.0465	0.0861	0.088	0.1184	0.0911	0.1074	0.1074	0.0997	0.0471	0.0141	0.0218	0.04	0.0258	0.0268	0.0237	0.0166	0.0166	0.034
4	0.0667	0.076	0.0511	0.0571	0.0514	0.0557	0.0502	0.0305	0.0444	0.0605	0.0633	0.0633	0.0632	0.0623	0.0457	0.0595	0.0534	0.0422	0.0535	0.0704	0.0352	0.0352	0.0377
5	0.1475	0.0897	0.0639	0.0473	0.0602	0.0539	0.042	0.0345	0.0414	0.0509	0.0314	0.0314	0.0338	0.0564	0.0553	0.0551	0.045	0.0489	0.0466	0.0437	0.0315	0.0315	0.0339
