 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	40996244.23	35037181.66	26600258.34	26345533.7	8100927.03	9594148.04	12638009.39	6116420.34	23343955.96	17404080.87	21326940.94	2525044.38	23507416.23	26376704.19
B	36160069.64	30469086.42	28447026.84	31219767.23	39805161.16	30311142.47	29396506.4	19814329.67	28195583.92	25211956.98	25964151.04	3512424.5	18623364.35	3331793.47
C	26294459.56	29480899.9	31622200.36	34001412.34	53084406.32	56723976.98	64803165.74	12272867.01	26480403.86	25640592.17	26326963.31	16805182.54	25956758.94	4113324.15
D	24456848.23	23614322.5	29064886.47	27299630.91	26840778.58	15040118.59	32771167.44	15262730.96	16896284.8	23991587.03	23683644.3	15305265.85	14242485.93	10413071.92
E	25638226.25	30472774.2	40270746.3	38581183.82	30083622.09	15967848.21	35402089.99	10260178.54	25680037.89	29836821.32	30308260.76	14486006.56	24143519.16	33654955.07
F	31371838.1	26775400.25	33235400.74	32194692.21	48861003.95	7477345.87	22756113.86	13367925.46	21506212.54	31039174.1	32777724.96	6403550.73	15582320.86	34987342.71
G	30321923.33	25107177.64	33754168.75	30943242.36	27783431.49	9749559.53	23164525.53	9730039.0	19995122.36	30283562.87	33384170.89	4198617.55	17889225.63	2189677.59
H	27417666.25	27602363.03	23511766.55	30413498.85	22348667.67	19662196.68	17918657.96	15455212.99	22411702.98	25537457.48	28847070.78	8024011.66	28434744.66	2301667.51
I	38586376.2	33591987.57	29468270.82	33729923.7	10591569.62	14571834.88	17425251.54	10974294.28	32104589.85	27136871.64	29636174.86	10306372.11	30937967.6	1964156.74
J	38299896.45	30343418.14	26763195.64	32279926.84	10697037.61	11349968.57	12029826.56	6034517.03	20070316.63	25149671.31	27905822.67	28443512.5	27930280.28	2461386.93
K	34749460.38	32019899.22	30582442.68	34732540.73	32233754.36	37986968.5	22301584.26	19688016.66	26430605.17	28935028.9	28256120.36	27110329.55	30864254.24	2064326.15
L	27923051.94	29968605.01	24038298.04	18951872.92	23045253.34	35542339.21	50965549.28	36559288.72	26376937.74	29985161.46	30760116.18	26538805.93	3634454.48	1880873.15
M	55757251.85	49040060.42	49780897.51	51191437.54	67925758.21	62802106.75	46819274.41	25966024.55	21283607.57	51177447.66	32330000.44	16570260.69	17932618.11	1389605.89
N	27717161.6	25382930.65	22458115.69	17455619.89	21150939.98	34890939.95	36022823.0	30550332.47	24527716.41	30447992.89	32968663.41	16751665.18	5636002.1	1669831.41
O	24246462.18	21713952.4	20405090.02	18329859.64	14743923.64	21905278.41	32433946.52	37237803.17	23276590.01	30047509.93	27858065.39	13867201.25	37128025.03	2391319.18
P	23748216.06	21650708.26	18071775.66	21198369.6	20115155.96	19166811.02	28449654.45	39103370.66	20455946.16	28468128.53	29607288.42	15527657.68	2440747.97	5241097.47
Q	23215468.64	20674146.63	18382869.77	18446031.95	26334144.34	27485701.49	21281282.52	37707667.94	20403412.69	25646766.83	27960619.16	10520179.49	2719253.33	3875596.83
R	20569473.16	20231965.78	17460237.92	20438965.57	20776181.02	31971201.16	23469370.95	32176637.74	20142123.35	32126866.9	27277710.57	5231974.87	29561125.9	7402069.67
S	25438007.62	19270270.48	28594022.28	25515673.89	17231537.6	18595655.82	19005702.04	14672328.03	21207677.47	30186911.7	31962693.6	6906489.58	4262662.04	7387108.0
T	27057140.34	22825953.32	29924169.08	31104479.74	14584448.59	15131012.53	15268095.38	10863470.52	22325821.38	31370242.67	29279230.39	31567652.99	13229557.57	19159107.49
U	22437795.22	25898630.49	26412165.43	24320951.82	16684343.96	17428155.84	18928366.47	26440764.23	24425458.14	32456728.73	26430344.3	23420645.62	11006681.27	20977737.54
V	26765392.22	30339831.09	24644748.95	25783522.75	16540571.31	19954252.7	13456270.33	11037721.15	19589476.68	30756295.12	24593712.8	37118579.03	19119765.0	16410457.87
W	36514924.08	32012798.71	28680892.45	29691291.24	10838479.77	7128499.54	8099429.94	9865141.62	22661878.42	40415768.38	31914164.17	33295462.33	23559329.71	9502807.35
X	29037810.58	31321789.45	24375384.96	29455949.49	17448592.73	22933250.21	14068455.54	13266021.84	26853548.68	45181340.32	36313942.95	29361946.38	11121234.46	4136724.25
