 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	29341783.95	27458005.46	17885243.57	19168860.63	10108536.38	7538204.03	15120963.53	13162837.10	23136871.76	22454781.36	8247527.06	1807037.46	1685067.07
B	32575045.20	31219495.22	28126960.46	33511925.11	36027371.43	29044225.85	26727137.47	13344016.23	24261050.44	23937340.98	12157651.54	3693562.26	24615820.39
C	55664028.45	89166507.43	98397925.43	74289034.99	77539922.83	65111439.04	82354491.33	22566059.34	17939740.67	22662820.18	30338937.05	6656000.25	23778306.56
D	59388042.93	62814164.41	64529446.77	45798657.19	77904869.03	23872681.47	60473173.00	20220650.18	31927057.38	32169357.31	35243379.47	31036470.50	11784139.20
E	36806089.98	46519662.54	52304408.62	50681900.47	75127606.34	12292553.84	26755810.33	14926235.33	24066586.37	31145104.18	27570800.16	26687486.63	22489142.59
F	41576783.36	47226761.24	52230544.15	56529288.33	109088968.49	12058856.84	44290759.44	16320797.02	32370113.74	33801115.55	25682025.22	17127732.01	10699005.95
G	31871574.35	31374836.42	36952565.72	37577418.17	35398356.53	13453705.42	35359301.48	19360598.25	31298023.61	37223123.60	19727571.50	22049701.76	19455265.03
H	31289259.64	34485792.17	33071059.98	36750313.09	24742243.37	24135798.48	27538596.78	17540634.55	25935250.19	36559334.45	24145910.05	18136138.78	34178368.83
I	37197060.41	36973854.71	31863757.75	36407732.16	13968363.45	22062258.70	45457437.88	18696835.56	43092324.54	41763833.50	18239277.89	17169558.92	31742325.65
J	38206354.67	34179326.28	26873996.44	32515000.07	13190124.25	17214568.24	35859373.61	16036513.73	40934182.94	42504059.18	19452513.49	39219440.66	30496517.13
K	41423806.79	37675143.61	38394499.22	34510131.61	35934884.18	34776744.35	34798285.52	17955347.00	38446664.74	39086191.13	24527149.92	27390689.71	26176949.64
L	33973060.64	45370611.47	31856251.09	23368733.09	19827038.44	41183491.81	39139135.11	32540495.17	29024192.83	37428614.39	24832398.83	37692160.28	4516232.25
M	76853107.67	77614463.60	51384411.27	76431931.02	107589503.20	95014925.16	62250264.55	40330731.36	29623914.56	34775745.83	32346242.03	34288443.25	23762386.76
N	38048164.21	32264137.93	31848893.55	25730540.32	28074731.55	58034547.90	41169086.52	51150440.35	28910772.26	37722327.44	37003540.78	35717841.45	5831908.69
O	26782070.60	26903019.85	23012791.17	22467787.86	17067676.95	25345267.65	25793862.90	41004103.06	23566040.64	26267440.22	30250659.09	24020600.16	34640612.45
P	24312349.70	23385253.33	22977764.36	20446261.91	19495427.23	22020398.36	25582790.32	41780027.82	23196315.74	28192432.03	26305806.61	19787090.86	3457060.72
Q	24908387.98	22061897.02	18878092.19	19271860.22	28935957.79	33877225.30	20747150.50	37415306.52	20883923.48	21344927.10	13912734.86	14200083.31	4063556.63
R	25520573.07	23649771.30	18730334.99	21143642.84	22797174.31	48805219.53	22798066.37	27874724.77	20081163.57	24150731.74	29482233.13	27380807.55	31900209.71
S	29803336.54	29937486.91	28574425.00	33456143.93	21522806.03	24880439.29	32952495.98	17081977.30	24447168.18	28021549.08	13367381.23	8794397.81	8498975.96
T	32843488.90	29279828.42	34060676.52	36677921.78	14107202.86	16894031.82	27463266.94	17899222.63	28516011.40	27716274.64	12861031.42	56421855.63	29136840.97
U	26682851.16	33298335.71	29045268.87	25188914.33	17111786.08	23661475.02	20050606.85	20909525.78	21170920.33	28239998.35	22752386.74	55492931.58	29043760.59
V	31964719.11	30731559.59	28347100.99	28570181.63	15141532.45	15739435.43	20506556.33	15495292.70	23499507.45	24114346.22	19773807.02	47011654.75	31917759.91
W	36786226.11	37054029.28	32406555.51	35722784.44	13619312.62	12050246.01	13047367.38	16231829.88	24909991.80	30431230.94	25969858.19	32614174.41	24849832.57
X	34321348.46	30278295.99	24627881.20	34901808.79	16013613.13	10475114.11	17069994.22	26169530.89	41363199.40	42610435.34	27707686.74	41012087.07	37909586.79
