 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	4443260.87	4204137.87	2818341.62	2804157.76	3098235.06	3741666.87	3072325.81	3163391.10	2716920.19	3012217.74	5954561.84	1519434.24	967983.69
B	4839594.75	4537239.00	3820692.84	3788556.34	4361843.26	3692151.14	3258004.36	3135229.46	3582271.31	3594291.00	7829699.29	2111359.78	4104569.50
C	4471140.75	3906353.07	3795662.33	4184181.68	6005032.98	3848795.30	3644324.24	4313260.35	4425861.07	4733785.53	4904469.75	1616430.70	3242665.05
D	4749622.81	4579615.91	4507991.85	3811148.04	4492286.18	5109138.92	5344198.96	4076564.19	4950591.54	4179600.53	4684870.14	3495300.25	3144993.14
E	4327936.13	4182149.08	2957843.64	4529757.35	4563202.23	4006840.14	4075084.77	4277980.83	4048999.97	4368998.59	3384148.67	3022336.08	3199006.39
F	4455970.71	4248144.20	3337094.22	4767325.84	5064214.50	3937592.51	4519164.07	3837357.41	4520028.34	4241367.93	2868474.29	3534375.29	3287319.84
G	4117636.60	3430935.33	3200863.32	4104753.32	3524972.68	3778081.83	2993486.25	3324722.94	3119854.24	3472231.91	3132976.78	3039984.29	3753978.60
H	3570836.66	3803541.29	3582217.77	3497315.68	3591952.99	3476638.14	2730748.66	3247427.52	3040129.06	3642250.11	3036343.31	3156346.01	3772339.40
I	3296714.61	3391724.90	3401076.03	2983575.73	2460269.05	3570154.63	2403431.60	3059638.66	2823507.55	3122176.56	3014608.50	3981547.95	2518312.51
J	3277316.27	2987764.88	2930796.14	3153249.91	2345171.83	2736980.66	2805598.77	3076559.96	2840038.64	2838978.41	3352403.47	3808660.06	3199644.47
K	3916160.13	3689965.17	2897071.06	3709500.91	3497086.93	3315482.44	3119706.70	3089762.62	3314914.73	3349415.57	2951325.90	3043087.92	3030655.38
L	3826032.67	3965245.76	3208757.39	4679195.16	4055092.36	3895836.03	4774554.98	5038274.37	3816591.27	3833559.75	2811501.13	3582499.43	2230097.68
M	4646208.47	4250950.09	4259448.98	4953483.67	4043660.36	3930846.15	4755841.57	4615199.60	4412385.08	5648966.37	3546819.97	3411751.48	4769938.68
N	3676908.81	3288988.91	3017781.11	3190169.56	2414210.75	2495684.58	3205978.99	3571845.88	3614098.65	3546964.61	3382215.83	3164663.98	1868331.40
O	2826825.94	3148003.99	2446721.93	3071508.33	2884282.93	3306544.02	2652892.13	3073657.08	2922185.87	3117046.42	2760652.97	3755853.51	3382915.87
P	2808820.40	3210728.83	2460642.08	2821593.99	2636515.69	2769458.31	2537664.57	2525076.58	2702448.08	3009822.46	2589783.06	3052592.17	1252969.80
Q	2834456.74	2549822.69	2136104.86	2302017.21	2080412.83	2240463.50	2180007.62	2360821.89	2417365.57	2751035.43	2730568.49	3153082.47	1222807.43
R	2763839.37	2900727.03	2137238.88	2382263.15	1840486.40	2505636.54	2453855.61	2764191.70	2396451.23	2660544.56	2374672.92	3228857.46	2128936.62
S	2853827.44	3513598.80	2565745.39	3414044.60	3156224.20	3282508.21	3201294.96	3417453.63	3188555.54	3711266.65	2915138.28	3526417.56	3299106.20
T	3348119.90	3212343.33	2795060.03	3724814.47	3492685.62	3269585.05	3038679.53	3333390.08	3548903.48	3531511.52	2768627.04	5144115.53	4218467.15
U	3976429.27	3940440.97	3341562.41	3829014.51	3567749.56	3571919.15	3144664.42	3526493.42	3495384.62	3412208.14	2676895.64	4209498.71	2652395.74
V	3795161.36	3848413.99	2881211.96	3184228.31	3270362.00	3325082.61	2657353.51	2983161.52	3226782.49	2715812.16	2311842.41	2238615.86	2165802.55
W	3704910.41	4301087.66	2782494.54	3348896.48	4246965.90	4916580.51	2951108.52	3208128.77	3400527.09	3551837.32	2824106.93	2891090.43	2630848.28
X	3641933.04	3881208.27	2436090.85	3407827.95	3322090.35	4014231.64	3173081.01	3710886.87	3897528.76	3514490.20	2789303.97	3747636.29	2338646.39
