 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	7792619.68	8213605.62	5996312.65	4163457.62	1954230.77	3238997.16	4405397.56	2845104.18	4704946.99	5352391.6	4844964.03	2927598.79	2718039.06	2629565.77
B	6679490.86	6787602.38	6453112.93	5601699.73	5045408.37	8068375.8	4778392.42	2576107.63	3793426.44	5568413.22	5296315.94	3243427.29	2864551.69	2664686.3
C	9388568.54	14120879.06	18885245.09	9761156.35	26908918.71	9728635.57	9894547.21	1912866.8	2307871.46	7611122.93	7491005.19	6976163.55	5878101.53	2705437.14
D	4587282.87	6003382.03	8428591.27	5197911.89	2286287.52	3780403.67	4203479.68	1064835.78	1044353.23	6149572.15	6247474.34	5149107.44	4073612.11	2666102.82
E	6587033.22	8353883.71	9755179.37	5017368.34	5858711.38	2974364.64	2412303.48	885326.17	2213332.6	8307235.89	6993034.71	4865968.21	5299975.19	2724161.41
F	7006341.2	6055030.53	5642195.06	2684391.7	2941292.04	1536113.26	1918084.24	878704.12	1546442.79	7137511.1	7621071.34	4130672.43	4956560.14	2730289.84
G	5766350.57	4130053.93	4839617.34	3808987.93	2800709.73	2373719.49	3566091.09	1192035.54	2193774.09	8279488.93	7424238.08	5398562.09	5994410.83	2773167.86
H	5680544.45	5179776.42	3156722.12	3718530.15	2895524.49	3320321.28	2433889.8	1818305.85	1642463.16	7563981.59	7595111.83	5369370.66	5221102.32	2789297.25
I	5665324.57	4904577.61	3815502.81	3718799.03	2001741.54	3077837.43	3914841.65	2879237.4	2677103.73	9439819.52	8414928.38	4685222.42	6284875.83	2781270.56
J	5144921.86	4614870.1	2997237.55	3371750.63	1993933.99	2459203.71	2563203.03	2728930.69	2274995.73	7470631.3	8009526.09	6738065.94	5648367.05	2792419.68
K	5292515.89	4580735.62	4256352.11	4033921.48	4840416.85	4760922.3	1809930.45	2788307.31	2854625.53	7648152.63	6839716.73	7076238.98	6252461.38	2813473.65
L	5554206.16	4718090.88	3427317.27	2482896.63	1779455.46	4084430.04	5304699.6	3316849.24	2437858.97	8678067.84	9045488.93	6379635.68	3473067.55	2738905.93
M	8266925.69	10054725.87	7154216.86	5755954.22	3622084.16	3509161.76	4810392.01	3780160.13	1827767.34	13227513.3	11083743.98	5109094.08	8693340.05	2808896.6
N	4883140.69	4099253.47	3369777.46	1992446.18	1452085.09	2169731.58	3069252.32	3341810.19	1608981.53	8995017.0	8715851.78	4464705.74	3584773.27	2701342.13
O	4411648.17	3522799.71	2904698.5	2506669.67	2703965.61	3596457.39	3632447.8	2222041.57	1914454.61	7496070.88	8853683.31	4590541.46	4899921.47	2702011.36
P	3984902.67	3553186.62	2695624.29	2728512.75	2567659.9	2289251.38	3399198.77	3679561.6	1681763.87	6718699.97	9340805.89	3931201.6	2855424.07	2713711.17
Q	4813535.36	3403840.16	2363212.47	3042912.2	6591986.43	2845462.99	2672958.47	4739104.03	1541237.96	6578900.42	7358106.63	3574218.36	2834895.82	2657766.1
R	3778045.59	3141929.85	2744170.4	3282786.93	4875110.78	3668763.67	2330713.97	3554696.06	1277025.15	6344926.54	7566874.77	3954315.05	4281005.21	2623363.56
S	4818673.24	3352038.21	3423534.04	5222948.72	2319347.87	2736706.71	2306776.74	2044490.93	1481667.49	7689884.65	7267673.02	3510073.05	3155232.54	2649222.98
T	3854307.96	3772416.07	4164572.23	6551288.47	1200974.38	3238656.07	2322015.88	1637832.97	1514721.64	8463598.15	6768132.13	7269018.12	6649471.58	2696295.56
U	5655630.24	5758407.33	3794025.49	4483727.57	2136682.58	3237422.48	2825070.78	2775246.3	2115141.85	6477563.12	7067825.22	4877894.45	5034618.27	2644719.57
V	5068508.86	5509195.01	3452963.82	3648509.83	1546645.05	4552885.46	2471737.42	1769044.78	1631629.34	6803142.43	6443790.6	6196861.27	6448709.88	2657316.94
W	6134305.98	6550343.48	3748035.31	4556604.02	1153302.15	1897377.49	1265858.04	1621040.11	1846068.42	6446821.28	7291801.73	9915844.41	2889594.04	2633101.65
X	5527643.72	5167402.41	4239501.53	4258726.45	1520507.55	1536676.62	2098997.92	2622932.94	2200315.83	7266114.81	7268696.65	8355426.88	2776974.75	2551027.4
