 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	174310074.25	130166945.58	115619692.27	100456697.14	21966433.8	18727245.8	131786430.45	31966781.21	113119191.29	118589056.71	121829102.19	6061400.89	2073469.79
B	152505561.62	143023420.64	137010934.15	137818091.35	73094106.22	93742669.96	138661663.26	70403793.76	110255748.2	115450226.32	111041287.12	9844860.53	4397970.87
C	148676839.87	175453468.76	156261719.49	147880078.39	362910978.68	197344784.3	145570652.23	59857558.42	121684062.11	133384289.08	134367689.26	85697081.9	95442773.1
D	137651447.05	129348571.4	106076044.84	108270850.19	86102081.43	129866269.62	63568927.36	31845947.61	81708822.9	138655705.56	122528109.88	118828490.3	39127675.81
E	165982896.08	184465126.2	173586785.25	167545273.04	87816058.28	60739948.09	88181133.1	32539171.67	106108843.11	142789313.11	122819758.9	84966911.2	101152484.74
F	182314007.79	154383164.78	160405147.45	157176258.95	215859301.12	45344612.4	78048613.65	44299495.37	93452148.41	173945809.44	149043190.82	45733859.1	57560561.94
G	170338672.17	127828410.31	160818221.4	159138707.71	222666228.95	41144417.98	103051510.51	49229616.79	91804051.4	159377917.25	140742692.33	30233306.76	55925137.84
H	164679443.08	155426909.16	123244216.02	141543657.95	94863295.89	90224339.83	103978307.21	57632812.75	117745648.72	156586249.42	163465779.58	18472843.87	125019300.68
I	160510677.19	116527716.66	100372187.22	114695218.95	26941709.87	29627157.82	130625089.95	68561821.63	118242217.35	177709545.38	180052779.77	26989218.37	104132228.26
J	159051420.28	104288104.67	93502381.06	110002985.69	27078511.12	28605384.44	100185972.83	40819088.17	115052682.87	168172964.02	178818512.59	87697365.15	123367263.27
K	164156986.13	145267093.19	151688043.32	147647029.13	141896868.87	136803170.34	90687178.33	91963488.62	131995898.4	173143216.01	189352231.9	96927520.38	116397749.94
L	188525305.88	236836580.9	186231723.58	145762052.93	85889198.62	205645451.58	218821452.68	181022532.86	209326203.51	243303633.24	280346383.22	152775255.5	13856616.41
M	326067582.34	314785272.99	329827869.46	319395311.24	373318434.47	294949142.18	269589154.21	189096764.53	135701651.68	301346973.46	257931434.59	117690412.91	81785934.12
N	159447669.45	183105328.75	147043174.28	125402931.3	117052027.01	201784033.94	151105435.64	197900431.24	128928861.58	199299076.4	214090842.21	80319940.1	24864367.67
O	147606973.41	113737787.55	125492702.38	105758438.78	100182412.08	179522732.71	131570254.22	171596614.54	121447659.47	158446136.18	185239821.8	76382723.19	207477158.85
P	139204582.34	127765607.03	112200270.42	135240973.36	144634048.8	116335140.73	123034341.69	223369599.02	106534523.78	169903301.3	212197426.95	75384522.95	9965761.15
Q	134830613.13	114459017.43	84527622.99	97423968.05	136887284.34	175599135.28	142934343.8	254734288.26	100517717.75	127478955.07	179784489.02	40407024.05	9636071.59
R	121519270.0	112449836.36	98340998.77	104952096.33	122095824.11	242865227.34	139584003.97	177916494.21	108125373.6	142508862.43	176203101.2	31274095.53	137335223.13
S	117089634.27	88121540.74	118862045.53	116099739.63	84166700.28	86334331.06	100655104.02	74072654.12	99406598.11	157043090.02	163306146.91	20749649.9	30551705.23
T	131489622.37	107339211.17	141362569.44	151014867.11	74568624.07	91684546.35	102531052.44	76812280.39	114533373.27	182872259.59	164087241.54	111739234.34	54010980.77
U	128616901.21	134605635.51	126458863.67	120698342.94	100449436.12	117521641.84	118527619.96	106107993.62	122593900.46	174434215.37	155201626.47	67152491.96	45346451.72
V	131266895.76	134767909.99	111955766.05	125765628.45	71516197.43	158413171.88	78182459.84	14318921.72	106033285.92	168099597.29	135290649.64	147194909.09	129262592.5
W	143826622.0	138158011.65	110466797.44	132945898.93	46996777.91	83100220.28	55128647.41	60088880.64	140154619.61	180321489.67	144181687.8	149823251.05	10274187.63
X	133281295.62	152434806.68	100851751.71	115910814.32	80674307.51	29077864.87	81059695.82	82805052.17	126034547.16	210786448.16	185786450.58	138565321.14	7167253.56
