 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	2979717.24	3220667.35	2198933.99	2778561.34	3396515.70	1924088.73	2206354.39	2434408.54	2218942.60	2641510.85	1346216.93	845798.15	1016267.90
B	2825408.17	2593161.32	1910082.43	2269032.17	2512248.95	2426327.00	2595186.36	2058751.68	2235385.78	2583598.74	1330882.09	931861.52	2825639.87
C	2364730.30	2166112.23	1979768.42	2286297.37	4274483.51	1975533.76	2055821.38	1721087.48	1950616.29	2046987.34	1803619.27	1124995.24	2068562.60
D	2001729.94	2348942.43	1671016.98	2287788.34	2428744.79	2065151.98	1722429.57	1697671.72	1851358.98	1649218.15	1703807.56	2354002.36	1702230.27
E	2149426.69	2163426.63	1573934.92	2149258.63	1977389.32	1982502.76	1830301.92	1622334.32	1839333.62	2541988.68	2163504.22	2171937.97	2284912.01
F	2063631.04	2040545.81	1474207.36	1912483.11	1768051.79	1639989.63	1781827.70	1789325.28	1964009.65	2421016.96	1936977.94	2070904.99	2028100.57
G	2465807.15	2241628.29	1748784.77	2306248.87	1952322.59	1840856.54	2060906.85	1787990.42	1734474.48	2348118.50	2158287.26	2835662.15	2501355.99
H	2380749.93	2392493.87	1630346.35	1825201.49	1937440.22	2056161.67	1939771.06	1638872.28	1737474.59	2214051.99	2417013.62	2225805.33	2620162.01
I	3652015.80	3240340.60	2312070.44	2539701.53	2759649.73	2805445.79	2959493.02	2306149.11	2482172.72	3335883.15	2649855.24	4053287.55	2090705.06
J	3330997.76	2642192.14	1774305.22	2295906.28	2395003.26	2381834.94	3108173.84	2041204.94	2403697.12	2598324.27	3647826.35	3039366.05	2476145.72
K	3214295.79	2604844.17	1998498.56	2682656.86	2211825.86	1934145.45	2231528.62	2239085.21	2445249.51	2926266.81	3370371.54	2429861.61	2056004.58
L	3502934.56	2955548.48	1914550.32	2337419.88	2390524.78	2358053.05	2271860.91	4715963.12	2562985.30	2905168.62	2508064.88	3185241.48	1032533.52
M	5783067.30	4050795.27	3576633.18	3593449.45	2498265.57	2573573.20	3370669.97	4705461.00	2794060.93	3209822.73	3228089.88	3074386.58	1141748.67
N	3274318.80	2723636.69	2054810.41	2369582.29	1683817.97	1888583.05	2649230.86	3797595.22	2237777.20	2678887.40	2999578.85	1484494.68	900210.74
O	2527955.38	2255406.47	1660400.19	2105985.25	1757118.52	1991393.66	2208967.32	2427359.16	2134245.30	2429859.09	2021473.88	1705520.67	1353314.21
P	2468576.65	1952536.70	1631176.21	1857778.65	1648666.27	1642217.78	2208808.13	2392525.31	2049252.19	2367095.30	1874331.18	1465625.51	1016681.97
Q	2845641.66	2320842.38	1873965.26	2550629.25	2018412.72	3079620.00	2444528.37	3044352.48	2428825.18	2604981.26	2046364.19	1591148.20	1119806.47
R	2583246.52	2413230.27	1957788.52	2558307.84	2364656.29	3294359.77	2518452.82	2375677.52	2203105.89	2383612.78	2222530.93	1827968.80	2143130.83
S	2174027.19	2281843.63	1792611.94	2416423.78	2546242.25	2178908.24	2511719.62	1850571.16	2275211.94	2545631.46	2836394.09	1787489.02	5920108.62
T	2659770.50	2386918.90	1897015.16	2453933.45	2228037.25	2193213.65	2489758.31	2266709.28	2874556.87	2495298.72	3614668.87	2170904.13	9913943.33
U	3796172.26	3621243.05	2597566.12	3331143.90	2728615.71	2477225.11	2616970.03	2574877.18	3402290.57	2728467.96	2314986.38	2007404.88	5229185.22
V	3243083.08	3079267.00	2250818.19	2457299.62	2433797.14	2053976.67	2319187.79	1997972.49	2457992.62	2457739.98	1962235.83	1395612.03	2004910.26
W	2513461.68	3274686.76	2152395.14	3281562.21	4748106.07	3900802.58	2562509.31	2479644.78	2611496.22	2664403.95	3669213.51	2250503.95	7509032.56
X	2343767.96	2928779.14	2091509.90	2347583.13	3391634.69	3204005.59	2694566.53	2668937.57	2042946.36	2654501.47	3205050.49	2339607.36	2349230.02
