 	1	2	3	4	5	6	7	8	9	10	11	12	13
A	84019391.99	89899579.18	15787708.11	61528153.47	80616853.43	65643154.86	52691753.56	54168734.78	31858967.82	44110611.82	23663240.77	6046443.23	4563390.66
B	93917491.31	76064780.52	19643820.46	68646336.50	72539967.44	71718233.60	59210681.13	55554520.06	42553490.84	61169012.35	18881261.79	4680003.86	52822660.49
C	46881396.34	40236872.65	15016538.84	44058998.63	52177605.81	68190366.47	58333099.10	60700256.84	43349174.18	84373967.87	19399052.18	8616034.64	28268900.01
D	52176080.12	51296703.11	19199422.99	50078077.91	58048460.79	68577752.38	61933032.14	74001442.25	62108489.27	73149704.54	22721226.41	42995876.42	37130082.59
E	61788045.24	54678849.38	14862736.16	54939929.40	49919216.05	61117643.44	57109694.65	79434447.25	60329450.91	73084003.39	45715616.91	35593989.51	46113202.59
F	67704722.29	63656376.60	22350644.12	59571078.51	65634881.40	73441185.72	80958176.55	78017205.52	60177995.97	85477318.67	34849679.24	55390128.74	49085133.58
G	55754665.72	57171721.38	17754620.86	49344229.14	57001666.73	65808026.39	56987180.13	57518213.59	36218543.67	55930767.19	46611535.87	60290597.65	55740546.65
H	60798643.69	57685104.04	19744872.69	44610478.87	59388154.03	60978267.46	53736834.62	55147017.69	35292549.12	58456800.96	55692604.61	56449575.00	57027654.56
I	61996221.62	68639373.29	19226631.15	54934769.31	59898455.33	60723318.24	49906616.94	54515979.83	29449138.11	54864085.22	53090592.55	71569803.97	12649178.14
J	67734621.43	58049617.94	22357893.73	62312203.32	67231534.38	56556199.62	55816090.91	51871446.97	36568972.45	49878764.81	61883880.66	71357759.64	56647775.30
K	66015262.28	55584386.57	14465918.85	48726404.56	49978839.93	54352490.19	57566070.21	58431270.10	44191733.99	58802959.98	38164685.89	18191256.66	37719721.08
L	71428712.71	62168808.73	20827365.62	55471930.06	68089858.94	61389176.39	78205645.70	75836918.63	40056132.74	91069642.55	19239801.82	54275241.57	10240854.82
M	53673284.40	51032700.41	16135665.56	46771050.92	50951746.59	51666465.76	57347463.56	65326280.28	37912992.37	55701208.78	58763725.79	63311892.37	20404908.00
N	62081373.73	47021650.49	15613057.54	46706730.18	40425008.64	40803876.69	53723679.95	54305898.06	36445308.67	52371616.98	61428302.90	24278857.17	8347675.79
O	48401530.20	48895647.01	14184655.62	47339231.87	42091826.37	49820926.01	44017934.76	61822603.22	35276991.71	51753522.81	34862903.61	52834438.12	15075829.25
P	59055094.32	52215721.13	19062729.11	60379060.23	49904199.13	48797046.09	49306312.49	52285930.39	42403199.40	52518435.48	31333698.01	30609213.52	3819486.67
Q	54294954.57	47906457.84	12759862.87	42935490.60	42984486.37	41204815.27	40475104.31	52680397.04	35898092.21	45423105.43	42370690.77	55017854.28	7285633.49
R	52460803.39	47977813.88	16844682.25	49287072.57	49442897.74	40215039.91	50983269.79	50328781.45	32231790.69	46113998.34	50462501.33	60523085.05	7404049.91
S	45494475.80	52078545.89	17335001.35	54556948.52	49344371.02	50446429.69	52639859.86	55770289.86	34198255.92	56887490.74	50567879.14	60877116.89	12234218.13
T	55903069.89	51344321.57	23404013.06	62065414.63	60266371.32	52425237.02	70053044.31	61323389.15	41586802.46	50056467.42	61413937.02	51010782.05	12976660.28
U	56217193.20	54390585.36	17287241.07	52063540.67	47084111.29	44643893.65	45446118.75	52346710.39	36744784.84	43547267.21	41298576.81	49765592.95	12143812.36
V	68193415.61	66421961.83	18371313.95	56007012.96	52585033.47	48080232.79	52508593.91	54614233.46	47294630.17	47935973.91	15355535.76	16232470.88	8706510.70
W	69406003.52	76895908.61	23538853.55	58041167.05	56924656.60	63401544.40	53172100.27	66568227.81	43563625.61	64513070.53	62886133.55	46213423.22	5634498.25
X	67438303.97	63077021.63	32647193.42	75082919.10	69344539.07	64213865.64	63912741.20	59839847.45	45021651.73	60098431.83	63835063.35	56971001.29	5840024.65
