	1	2	3	4	5	6	7	8	9	10	11	12	13
A	22830947.95	20215997.0	16791044.57	16113366.99	7371572.93	11613782.31	17852147.33	9301869.36	18771250.36	19510229.69	13517588.01	1358571.22	1472215.9
B	24275116.65	24861357.8	22508575.88	23223594.37	23287399.22	24258139.59	20767795.17	11065845.58	19166735.3	18289794.5	13159374.8	1864489.98	2040349.72
C	26445382.8	30659308.46	26009909.56	24639038.62	37067005.63	30098025.42	25116357.71	5860965.98	13682397.82	16514903.44	12936155.51	11208418.06	18229929.66
D	25258248.32	29462177.95	28165658.78	24285175.32	20132697.32	13838176.19	23386430.39	3981316.23	8461368.63	12112582.53	12159108.32	10909859.67	7955543.42
E	28095027.09	38826352.84	41542145.91	28618161.06	21036131.55	11953784.24	18532008.24	4235262.88	15369905.0	17768560.93	16044033.13	11757279.83	16949961.14
F	30174092.49	34290605.0	31883368.02	27001082.15	22395115.85	6204918.16	12754890.52	5499470.71	14067937.45	18016369.4	18011350.2	4797243.27	15563475.24
G	29565889.09	24715843.21	28297837.41	28382051.32	22759940.5	9593299.79	19344978.43	8997901.51	19108496.26	23047136.15	16477211.62	4125457.1	16322594.66
H	24561714.09	24332502.16	25031860.39	25228180.23	18171835.65	18234966.84	19828248.42	8922012.15	18923844.73	19889784.2	19383200.0	4968794.03	21152858.16
I	23016339.97	20646232.24	18437023.52	20576154.08	9382681.57	13951759.32	26179441.34	15976996.75	26634905.54	25713690.68	22714120.55	8061085.1	18762782.88
J	25897101.43	23184694.38	17142979.54	18297373.96	10587398.94	12633293.9	19062572.69	10859873.33	19805704.43	22427415.29	22670831.74	16796917.25	21535511.7
K	26405072.77	24388822.32	22827740.74	24192154.74	35050628.1	32592678.3	19912856.83	14840715.02	22517119.69	22385340.77	18485816.7	20721522.65	20781117.08
L	24917401.33	27030212.21	17471233.01	14007286.1	13405787.67	22535534.16	29856288.96	15651035.59	19845209.49	19823318.04	19109900.75	24565836.87	4878017.72
M	34867790.35	39324794.54	30266473.75	35890438.77	56105819.82	51022623.02	27507224.18	17851715.73	20780820.11	24246241.23	21947788.46	15329755.75	9231462.53
N	25436975.9	21673892.64	17387272.62	15037784.93	20485759.19	35433010.81	21770645.51	33853857.67	24832201.03	20858686.01	21106375.18	10559172.76	3590004.19
O	24021076.14	22786572.05	17704908.46	18451654.85	18001190.07	22548681.7	21066895.62	28697002.43	20791040.43	19788183.79	22883512.9	10419548.99	7032419.28
P	21569657.55	22649849.5	17904405.58	23216622.5	24335834.2	24304574.38	24153593.35	33206176.08	17125463.73	14701954.31	21332486.71	12756878.95	2252843.79
Q	20695203.8	22335736.85	14777697.04	20322017.9	32067100.16	31256672.51	20942953.48	36857305.9	17473950.18	16684306.61	23576935.58	5090566.99	2444645.34
R	22676579.28	22882018.77	17538746.68	22898668.78	22121577.09	29283705.83	22339881.44	25337797.34	16689055.39	16150547.45	18576123.87	3928535.76	15607397.26
S	26641081.73	23749370.65	26350499.96	26376576.65	21399940.32	17578274.72	22342221.97	14717641.69	20366614.01	22910511.59	23226922.1	4867022.91	4111006.35
T	27136468.55	25619344.09	26663094.4	29139840.24	13589039.17	13499780.29	17905052.16	10390228.9	19956285.28	26417846.37	22778041.26	15195528.1	13163757.99
U	20968517.22	22160334.28	18690641.37	18549033.1	12849486.48	12491774.57	14859841.58	10415812.71	13310460.25	16561014.33	15499373.92	20871590.5	15188328.28
V	28874566.3	28365587.11	23995556.28	28266675.7	17479253.68	16694344.95	17656838.13	11001144.43	18782378.52	18640139.03	20816232.07	31091036.51	19889217.89
W	31656859.2	32498777.67	29774853.26	29849229.13	12973153.55	8315930.99	10180777.61	10888869.66	22479154.46	30594991.97	21830014.83	33494473.15	4040234.83
X	34126772.32	35485148.36	27529106.38	38932565.92	20817663.6	10580825.13	16972212.07	19490231.37	18072026.35	28545662.53	22989808.35	34661153.74	5138716.23
