 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	61304299.11	48464473.76	33578173.7	24267166.85	11213482.83	11718003.22	32380870.37	27717697.82	49900274.66	73854042.0	60077810.31	19701947.57	63372828.56	49078502.22
B	88065549.66	81093829.55	67403724.71	58075654.39	54459247.08	64297254.61	67554960.63	47938244.18	63861382.87	76163634.56	73487977.58	14223960.33	44662067.11	21650114.74
C	140856247.95	170457195.46	195892880.25	125453551.03	186848587.7	263681609.45	146286392.89	63978407.27	74350202.69	96084005.33	96392404.36	60394920.68	65333685.56	62734592.66
D	118894959.24	134496838.48	149540095.79	188965043.73	258372221.99	133532015.34	94267798.98	39625255.59	66048935.73	100500745.2	86347201.63	49950114.37	49503743.74	97465705.23
E	95754268.55	111870493.48	133592912.04	108430260.7	126525517.91	166806362.99	70457130.9	39395608.63	59614925.42	87931920.61	94511153.34	43214864.4	59824958.63	80521471.45
F	98643459.64	107944414.5	117008450.66	99972429.82	175910686.13	41566369.78	45746280.24	33990995.76	52904358.47	83587069.47	91817231.82	33439519.43	59857288.58	61859909.89
G	72127415.39	49518934.95	64651720.91	59131202.32	42661464.61	20782704.67	44730907.07	32284295.33	38433179.02	75353595.37	80899553.06	13357982.9	32924076.7	19703024.28
H	69206601.89	63373238.56	44156842.51	55303888.52	28043671.1	45342961.33	39286309.95	31860662.85	47585022.66	71767363.59	71352270.47	11820313.46	52083239.88	10464172.6
I	45917413.96	36566813.53	26745549.85	26206813.78	9104756.42	12441440.41	29878755.93	25916837.98	36710348.8	67674158.77	73630322.08	20659478.13	50988828.69	19089712.67
J	43655474.67	33839354.12	23446280.22	22544685.29	8480342.91	10277575.01	23751472.75	24438195.19	37517410.04	66891560.64	70614827.62	36127886.83	55919360.3	19504486.9
K	59781852.48	43878054.43	44604944.12	42310509.16	27998050.41	27355418.07	30395732.09	34037916.09	42378930.21	67151293.37	73621509.87	36490642.48	60686153.18	33516649.59
L	73094133.75	67794019.39	48469757.15	37763794.01	18300331.44	39159202.37	63028948.7	46179517.56	49102411.0	70192965.47	87979802.08	43298827.57	17214183.78	29864571.01
M	120893295.17	115031475.79	94509190.47	96317879.25	84287247.17	67699162.71	94633469.3	56398051.94	41554216.26	102834173.54	100205917.18	42595563.87	122771875.73	37746020.59
N	65320922.26	60989080.12	46722158.35	33082798.09	27674154.0	34470850.03	51142709.16	46967338.94	46718182.24	73108602.99	82883132.4	42663849.97	36422130.26	40207589.13
O	60497319.39	46693522.35	38746130.29	35691542.96	30198938.63	37332765.93	38983763.47	38676978.65	47250810.41	68963101.15	80075736.87	45071426.13	71699447.68	40221917.31
P	66494656.82	56493391.85	41143298.75	40988515.28	37979935.18	35414439.35	37531008.62	42655407.07	34401195.48	70587377.97	73241591.21	37619749.6	8704472.43	17223419.39
Q	60857485.91	44122736.05	35212921.3	37549917.04	48615939.99	50106549.33	41239534.28	63058177.38	32189565.68	60300917.89	63402362.76	31495848.49	9004408.47	20674619.53
R	49503368.4	46260773.97	35961663.43	41976484.73	38906246.76	60609200.73	39504392.86	58641317.17	37470194.97	65024396.67	72160161.78	16714772.15	60029992.58	23190690.0
S	46446146.82	37123850.6	45243356.97	40785127.8	32423671.6	50521886.5	41065627.37	37996090.33	39989863.81	80595008.31	80199884.22	25427688.99	32383293.77	31450794.65
T	57341643.61	43274053.23	46796700.46	54108809.13	24426897.44	45113046.3	40752073.65	37372687.54	41594489.87	70491073.1	73635308.16	160472383.67	61269693.87	73584202.81
U	63602767.73	63757146.58	59866946.8	54445579.19	40404374.31	37235514.47	47101121.42	51352418.7	47793230.76	80155931.96	77576692.11	78613928.88	78330362.8	95559042.28
V	61150262.17	60775285.39	37514927.73	44508535.19	28328904.53	36759250.36	31212216.7	39977931.96	40202747.63	72138085.17	70281063.43	115521378.78	90625488.65	50494050.94
W	66066481.5	55022762.81	45832147.06	51028547.66	15786621.52	14945685.55	31496810.41	50379016.98	41384544.7	70107804.12	76936360.82	110762147.38	116506783.05	23150741.57
X	61908315.12	61413485.69	44349108.3	50652924.49	27966089.04	11856763.85	27031309.51	69955349.44	46529710.23	92915962.68	78395149.33	114387252.7	110061311.0	10395556.01
