 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	18857695.12	16316712.2	11021601.53	8778512.24	5210213.5	5330245.05	7954971.22	4822886.02	11789461.2	304208.22	265999.36	114749.32	267687.38	70438.37
B	14580616.13	13631059.03	11362550.59	10681780.15	9847406.72	9458609.36	9606575.86	7189460.89	9632162.99	359335.34	323722.53	129239.37	262185.94	72482.18
C	8557859.34	9108148.66	10022826.81	9892767.51	17059500.3	11648297.06	35446335.03	5644120.99	4997438.37	373463.86	455124.47	431472.47	289495.6	71100.69
D	8671471.15	9969885.39	9263874.8	10760583.94	23278641.39	10815652.63	15179929.66	5338856.09	4863312.5	302349.54	337233.36	397380.69	240955.23	70368.63
E	9970759.92	12909676.65	14922335.61	12792805.46	13933848.68	18073874.0	12146739.01	4630252.28	7091885.34	358086.73	325059.97	447757.19	311447.97	71304.1
F	11310171.1	9403905.06	13031688.5	12007962.71	21484083.18	7427365.47	12158276.56	5012399.6	5966112.52	337291.53	359358.32	399396.54	304323.11	81119.94
G	12416406.66	9408653.81	9001329.3	9637770.03	12958015.9	5103593.45	9659723.03	4469816.05	6419240.04	350825.19	346857.24	857386.52	250359.25	68713.81
H	12621099.91	11748398.55	8083987.85	10651580.8	4296402.16	10296450.9	7260555.94	6127929.41	7649558.31	349109.19	448804.38	1091829.18	382183.57	64820.18
I	18322357.31	13115509.23	11133099.18	13592193.05	5060659.93	7205493.38	12108470.66	9049192.68	10975724.62	405480.98	410197.3	548032.79	305695.75	57655.97
J	14566107.31	11777958.39	9260266.95	12206322.59	4763833.89	4880870.04	9572865.54	7714361.94	9206803.92	386769.41	443633.89	700790.07	315163.5	62811.64
K	15259080.85	12142107.3	11118573.34	9263230.35	5890859.79	5668400.28	10495446.6	8838525.2	10003133.9	458643.59	481418.67	602368.29	316135.7	60289.14
L	12409533.93	11157181.62	11080876.22	6323656.33	4242745.63	7906560.52	15317383.91	11290666.6	11475770.75	504454.97	547315.47	536095.68	150108.03	55925.79
M	15357749.19	21175349.14	23635388.38	19237145.47	9149254.39	9085348.38	16632009.76	14438193.3	9289725.25	542593.96	517788.74	331725.08	604807.48	56947.15
N	10254189.27	10708791.18	12017302.72	6984789.53	5634728.86	6781643.93	11071077.44	8048879.3	9179696.21	415259.71	453950.82	201169.41	145486.4	50537.69
O	10141961.65	10992286.77	10368683.87	8884401.99	5918737.12	8513318.2	8547820.47	10779101.26	8567744.33	353895.75	346318.98	195325.66	332343.4	48922.67
P	8893336.1	10561545.9	9599931.62	11139196.76	10400015.67	6233420.06	8988579.74	13398470.67	7457604.92	340800.67	456205.42	197891.36	166669.29	49137.9
Q	8943546.46	16179825.6	16510391.48	10093309.55	15438221.12	8058959.18	9171320.3	16533745.22	8703621.62	300422.79	344713.54	159425.89	170191.37	47575.57
R	12060458.57	15013949.42	12199944.23	8163968.55	9679463.0	12109331.92	9840270.71	14049227.24	9376659.29	315040.46	370027.35	276216.85	277491.73	47848.02
S	11516362.78	9415177.52	9824587.08	8776868.91	6413235.39	5338174.67	6556796.47	5760193.79	6889126.15	362786.45	362127.35	249577.43	135163.54	60053.61
T	11996690.74	10306070.58	10463579.28	12649460.91	4296788.14	6358834.27	6969329.26	5853956.58	7354657.59	367848.84	325189.09	295030.27	109056.51	49130.86
U	27948732.04	25955786.99	19464823.7	18301856.54	13180319.01	18342666.43	18141381.68	20421330.7	22745607.16	744433.75	636903.48	220451.77	113323.15	44185.71
V	18621078.97	19544886.44	10333402.13	14575846.15	6735189.14	13393285.39	8306026.39	8317271.28	8900100.43	322180.52	311542.31	348464.32	159608.32	42441.57
W	15386867.25	15807482.96	9381070.49	7919753.7	3432850.4	5501487.19	4086804.92	5223256.33	9756049.68	358078.23	324032.94	512548.51	189654.06	41280.09
X	12986162.11	14345062.1	9634208.55	12496306.93	4047036.01	2773619.06	5532500.82	9018197.71	11176745.82	382978.04	345247.06	449025.48	115259.14	40398.7
