 	1	2	3	4	5	6	7	8	9	10	11	12	13	14
A	253316867.64	226788531.57	175372037.56	130009068.81	38128351.81	38855765.56	171397607.63	112877652.61	277733741.57	34561472.57	29056594.52	4089957.87	20800867.56	6357047.81
B	249140145.06	235091275.1	214512686.86	217698343.24	202543684.82	203889276.99	193679674.11	123179610.8	177163469.32	26047317.15	25007574.55	4912224.53	17201478.28	12521761.01
C	190536929.81	328975805.79	297952119.01	215203403.56	139786297.14	182898389.41	185314242.53	44701103.54	42208150.94	13885366.39	14065215.36	21362234.36	30601808.86	12577507.73
D	258283797.81	227702084.74	220022197.0	272387488.82	349551947.37	118215716.87	190953822.52	28840672.2	39366248.27	14336994.98	15706072.32	21283176.5	10213686.92	23540414.39
E	250704305.46	328504801.52	377078475.2	310974083.73	140194088.49	237546550.02	159902358.07	31128697.05	81280049.58	17012907.36	21302220.97	18298468.34	21726574.85	20458735.15
F	283982526.28	280796248.98	331303813.82	258339561.29	101090550.61	154744168.92	92273215.35	36153306.29	70639351.0	22103462.01	32435999.57	8829143.06	24393951.74	23351435.0
G	273816901.97	223301565.76	264899761.05	231853743.99	49705346.94	81219310.96	139974354.09	63411366.97	116810677.12	29436243.98	21829183.81	15963714.74	9699292.49	1878505.9
H	255351615.72	238406323.91	189611396.56	221729674.11	62002455.96	147385545.1	142966927.74	66388471.57	146243464.65	29996003.88	30688320.68	6619762.99	23149315.1	2432007.53
I	216811124.14	164865438.2	118951479.74	128550607.47	27470242.31	65914443.21	180493458.92	229148731.34	246619547.25	42835729.23	38596147.3	5827019.29	22512769.23	2100238.73
J	188471456.05	133699564.69	105061449.66	118552124.04	35561971.21	40712226.94	140243814.89	111009687.71	241511759.06	34253471.41	35234370.23	13881045.09	22727076.59	2885751.82
K	212877022.75	195936448.72	187820235.41	182897044.95	87251928.09	118342642.94	106562670.65	156905712.33	149410391.9	27012849.44	26687830.79	10699919.32	22897603.4	2335544.68
L	214779615.17	198713361.93	208007479.6	138241433.48	67295213.36	195829418.07	165722299.34	297867470.24	189511838.25	37081891.1	36576562.56	15778459.41	6042225.91	2399759.23
M	344642079.37	347238406.86	387564882.23	295274232.83	247547640.63	229317120.73	230514737.14	456795070.17	236546312.6	57993320.18	66215211.65	16235457.31	19795479.0	1508606.65
N	212485945.07	165169132.26	167246258.61	105624689.0	121734024.86	92472513.93	116225582.38	243839706.98	135715450.7	41053532.63	42084414.22	10485957.17	5174744.93	1814618.36
O	194332007.75	159184760.78	136447996.98	134153054.34	103030987.96	206800987.56	119138682.7	137582025.51	149532921.99	29133594.5	31715704.99	8511958.17	14025187.93	1785309.99
P	191550297.93	185245005.58	136506242.89	147028134.21	222803330.28	103229019.04	112937273.53	247012285.29	129300330.88	30144071.52	37908762.23	8760757.16	2209740.9	6596450.94
Q	185009416.35	159276791.24	102689941.3	122565735.19	323917283.55	110976986.04	139671176.97	283388089.65	123941819.41	20446872.71	28981450.02	5520334.1	2668305.63	5053034.84
R	155549538.49	150488185.29	129481015.98	138325772.89	305674970.77	130645573.79	179639603.72	195871439.28	123330898.59	28493703.1	34964768.4	9793398.47	27088706.6	7119821.14
S	186034807.72	147748585.51	166736624.54	181481810.48	152632729.18	123589143.35	203619629.15	102985773.46	123832550.22	30985423.0	38913611.2	5690777.22	3740612.44	6858985.68
T	198543873.16	177914955.3	183427173.85	224700900.82	46647328.55	167040784.29	195876098.26	96192395.17	132750787.53	40956343.37	38486205.9	8388596.27	10097056.32	6255423.58
U	216392659.63	220225499.26	194279465.53	225910062.35	81005549.74	134396307.86	141870101.5	132202409.66	197752006.12	22321751.15	22959389.12	20397682.72	13429808.06	23424855.23
V	233501265.63	216182147.01	163469004.88	188641167.3	84166818.7	254764261.02	161622975.51	101951263.69	135275625.92	36609004.12	36995849.01	45640988.5	30130143.99	13285145.1
W	258535145.15	250990156.8	205164830.94	249223789.57	48003192.19	443663605.34	139896941.48	133491637.06	172356552.26	36512191.26	32626164.5	36996593.52	41305461.35	9088677.8
X	271165629.82	241883700.05	189650561.78	243398955.79	96031642.82	33811823.39	199521559.69	124003601.58	156099179.67	41959335.59	40095342.32	23573791.64	11847902.43	4307082.82
